"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"084001","Agrigento","27032","28086","55118"
"084002","Alessandria della Rocca","1104","1197","2301"
"084003","Aragona","4241","4428","8669"
"084004","Bivona","1451","1549","3000"
"084005","Burgio","1182","1227","2409"
"084006","Calamonaci","553","574","1127"
"084007","Caltabellotta","1474","1591","3065"
"084008","Camastra","1006","967","1973"
"084009","Cammarata","2889","2912","5801"
"084010","Campobello di Licata","4335","4538","8873"
"084011","Canicattì","16691","17558","34249"
"084012","Casteltermini","3425","3610","7035"
"084013","Castrofilippo","1230","1327","2557"
"084014","Cattolica Eraclea","1610","1622","3232"
"084015","Cianciana","1411","1560","2971"
"084016","Comitini","469","450","919"
"084017","Favara","15178","15989","31167"
"084018","Grotte","2379","2665","5044"
"084019","Joppolo Giancaxio","506","558","1064"
"084020","Lampedusa e Linosa","3392","3093","6485"
"084021","Licata","17056","17147","34203"
"084022","Lucca Sicula","842","858","1700"
"084023","Menfi","5689","6038","11727"
"084024","Montallegro","1155","1187","2342"
"084025","Montevago","1301","1378","2679"
"084026","Naro","3313","3420","6733"
"084027","Palma di Montechiaro","10231","11071","21302"
"084028","Porto Empedocle","7544","7886","15430"
"084029","Racalmuto","3782","3719","7501"
"084030","Raffadali","5724","6045","11769"
"084031","Ravanusa","4911","5213","10124"
"084032","Realmonte","2149","2219","4368"
"084033","Ribera","8609","9135","17744"
"084034","Sambuca di Sicilia","2583","2619","5202"
"084035","San Biagio Platani","1300","1444","2744"
"084036","San Giovanni Gemini","3684","3699","7383"
"084037","Santa Elisabetta","1117","1091","2208"
"084038","Santa Margherita di Belice","2910","3071","5981"
"084039","Sant'Angelo Muxaro","539","580","1119"
"084040","Santo Stefano Quisquina","1873","1981","3854"
"084041","Sciacca","18633","19754","38387"
"084042","Siculiana","2126","2061","4187"
"084043","Villafranca Sicula","630","665","1295"
