"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"006001","Acqui Terme","8998","10019","19017"
"006002","Albera Ligure","153","139","292"
"006003","Alessandria","45877","47532","93409"
"006004","Alfiano Natta","321","334","655"
"006005","Alice Bel Colle","346","286","632"
"006007","Altavilla Monferrato","198","188","386"
"006008","Alzano Scrivia","189","165","354"
"006009","Arquata Scrivia","3068","3267","6335"
"006010","Avolasca","123","118","241"
"006011","Balzola","637","615","1252"
"006012","Basaluzzo","997","1012","2009"
"006013","Bassignana","790","784","1574"
"006014","Belforte Monferrato","250","236","486"
"006015","Bergamasco","326","336","662"
"006016","Berzano di Tortona","81","82","163"
"006017","Bistagno","825","867","1692"
"006018","Borghetto di Borbera","967","922","1889"
"006019","Borgoratto Alessandrino","257","277","534"
"006020","Borgo San Martino","687","646","1333"
"006021","Bosco Marengo","1097","1043","2140"
"006022","Bosio","543","494","1037"
"006023","Bozzole","189","154","343"
"006024","Brignano-Frascata","220","200","420"
"006025","Cabella Ligure","217","220","437"
"006026","Camagna Monferrato","221","243","464"
"006027","Camino","372","358","730"
"006028","Cantalupo Ligure","209","222","431"
"006029","Capriata d'Orba","896","880","1776"
"006030","Carbonara Scrivia","554","560","1114"
"006031","Carentino","159","152","311"
"006032","Carezzano","215","222","437"
"006033","Carpeneto","425","423","848"
"006034","Carrega Ligure","46","30","76"
"006035","Carrosio","275","244","519"
"006036","Cartosio","347","364","711"
"006037","Casal Cermelli","587","602","1189"
"006038","Casaleggio Boiro","174","161","335"
"006039","Casale Monferrato","15475","16986","32461"
"006040","Casalnoceto","472","473","945"
"006041","Casasco","69","65","134"
"006043","Cassine","1446","1365","2811"
"006044","Cassinelle","449","396","845"
"006045","Castellania Coppi","43","42","85"
"006046","Castellar Guidobono","223","206","429"
"006047","Castellazzo Bormida","2292","2227","4519"
"006048","Castelletto d'Erro","55","60","115"
"006049","Castelletto d'Orba","916","895","1811"
"006050","Castelletto Merli","225","220","445"
"006051","Castelletto Monferrato","719","720","1439"
"006052","Castelnuovo Bormida","304","332","636"
"006053","Castelnuovo Scrivia","2363","2444","4807"
"006054","Castelspina","193","198","391"
"006055","Cavatore","114","134","248"
"006056","Cella Monte","230","216","446"
"006057","Cereseto","187","168","355"
"006058","Cerreto Grue","140","153","293"
"006059","Cerrina Monferrato","625","639","1264"
"006060","Coniolo","217","203","420"
"006061","Conzano","461","431","892"
"006062","Costa Vescovato","164","146","310"
"006063","Cremolino","527","475","1002"
"006065","Denice","79","82","161"
"006066","Dernice","85","89","174"
"006067","Fabbrica Curone","250","280","530"
"006068","Felizzano","1024","1042","2066"
"006069","Fraconalto","170","137","307"
"006070","Francavilla Bisio","240","251","491"
"006071","Frascaro","200","225","425"
"006072","Frassinello Monferrato","220","229","449"
"006073","Frassineto Po","658","691","1349"
"006074","Fresonara","338","313","651"
"006075","Frugarolo","925","957","1882"
"006076","Fubine Monferrato","783","821","1604"
"006077","Gabiano","517","516","1033"
"006078","Gamalero","364","419","783"
"006079","Garbagna","319","319","638"
"006081","Gavi","2151","2193","4344"
"006082","Giarole","328","354","682"
"006083","Gremiasco","140","137","277"
"006084","Grognardo","127","98","225"
"006085","Grondona","231","246","477"
"006086","Guazzora","142","146","288"
"006087","Isola Sant'Antonio","368","286","654"
"006088","Lerma","381","416","797"
"006090","Malvicino","34","45","79"
"006091","Masio","646","630","1276"
"006092","Melazzo","598","638","1236"
"006093","Merana","86","86","172"
"006094","Mirabello Monferrato","598","606","1204"
"006095","Molare","971","1013","1984"
"006096","Molino dei Torti","317","250","567"
"006097","Mombello Monferrato","431","459","890"
"006098","Momperone","103","97","200"
"006099","Moncestino","92","102","194"
"006100","Mongiardino Ligure","80","65","145"
"006101","Monleale","285","267","552"
"006102","Montacuto","118","109","227"
"006103","Montaldeo","97","109","206"
"006104","Montaldo Bormida","283","293","576"
"006105","Montecastello","134","138","272"
"006106","Montechiaro d'Acqui","277","232","509"
"006107","Montegioco","144","127","271"
"006108","Montemarzino","160","152","312"
"006109","Morano sul Po","618","652","1270"
"006110","Morbello","213","175","388"
"006111","Mornese","330","336","666"
"006112","Morsasco","281","312","593"
"006113","Murisengo Monferrato","613","597","1210"
"006114","Novi Ligure","13311","14116","27427"
"006115","Occimiano","577","618","1195"
"006116","Odalengo Grande","205","192","397"
"006117","Odalengo Piccolo","109","98","207"
"006118","Olivola","51","54","105"
"006119","Orsara Bormida","192","185","377"
"006120","Ottiglio","273","259","532"
"006121","Ovada","5296","5645","10941"
"006122","Oviglio","622","602","1224"
"006123","Ozzano Monferrato","670","652","1322"
"006124","Paderna","102","104","206"
"006125","Pareto","268","241","509"
"006126","Parodi Ligure","309","284","593"
"006127","Pasturana","603","660","1263"
"006128","Pecetto di Valenza","570","586","1156"
"006129","Pietra Marazzi","410","440","850"
"006131","Pomaro Monferrato","185","144","329"
"006132","Pontecurone","1787","1783","3570"
"006133","Pontestura","649","668","1317"
"006134","Ponti","250","241","491"
"006135","Ponzano Monferrato","161","167","328"
"006136","Ponzone","526","487","1013"
"006137","Pozzol Groppo","161","150","311"
"006138","Pozzolo Formigaro","2293","2265","4558"
"006139","Prasco","257","244","501"
"006140","Predosa","901","959","1860"
"006141","Quargnento","643","719","1362"
"006142","Quattordio","702","733","1435"
"006143","Ricaldone","311","293","604"
"006144","Rivalta Bormida","658","674","1332"
"006145","Rivarone","230","170","400"
"006146","Roccaforte Ligure","67","46","113"
"006147","Rocca Grimalda","716","680","1396"
"006148","Rocchetta Ligure","126","96","222"
"006149","Rosignano Monferrato","689","698","1387"
"006150","Sala Monferrato","156","170","326"
"006151","Sale","1901","1952","3853"
"006152","San Cristoforo","258","261","519"
"006153","San Giorgio Monferrato","590","614","1204"
"006154","San Salvatore Monferrato","2047","2006","4053"
"006155","San Sebastiano Curone","247","283","530"
"006156","Sant'Agata Fossili","171","166","337"
"006157","Sardigliano","178","197","375"
"006158","Sarezzano","552","544","1096"
"006159","Serralunga di Crea","261","249","510"
"006160","Serravalle Scrivia","3052","2952","6004"
"006161","Sezzadio","590","595","1185"
"006162","Silvano d'Orba","916","923","1839"
"006163","Solero","794","787","1581"
"006164","Solonghello","100","96","196"
"006165","Spigno Monferrato","446","441","887"
"006166","Spineto Scrivia","184","172","356"
"006167","Stazzano","1096","1163","2259"
"006168","Strevi","978","962","1940"
"006169","Tagliolo Monferrato","721","739","1460"
"006170","Tassarolo","304","290","594"
"006171","Terruggia","406","454","860"
"006172","Terzo","406","411","817"
"006173","Ticineto","624","673","1297"
"006174","Tortona","12923","13720","26643"
"006175","Treville","131","132","263"
"006176","Trisobbio","311","310","621"
"006177","Valenza","8786","9527","18313"
"006178","Valmacca","482","491","973"
"006179","Vignale Monferrato","448","478","926"
"006180","Vignole Borbera","1025","1041","2066"
"006181","Viguzzolo","1563","1531","3094"
"006182","Villadeati","232","222","454"
"006183","Villalvernia","444","402","846"
"006184","Villamiroglio","149","134","283"
"006185","Villanova Monferrato","813","888","1701"
