"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"042001","Agugliano","2312","2320","4632"
"042002","Ancona","49609","50542","100151"
"042003","Arcevia","2139","2106","4245"
"042004","Barbara","640","627","1267"
"042005","Belvedere Ostrense","1019","1051","2070"
"042006","Camerano","3417","3580","6997"
"042007","Camerata Picena","1240","1241","2481"
"042008","Castelbellino","2371","2534","4905"
"042010","Castelfidardo","9033","9300","18333"
"042011","Castelleone di Suasa","789","753","1542"
"042012","Castelplanio","1825","1787","3612"
"042013","Cerreto d'Esi","1654","1679","3333"
"042014","Chiaravalle","6831","7348","14179"
"042015","Corinaldo","2305","2424","4729"
"042016","Cupramontana","2130","2191","4321"
"042017","Fabriano","13929","14540","28469"
"042018","Falconara Marittima","12784","13238","26022"
"042019","Filottrano","4384","4465","8849"
"042020","Genga","798","814","1612"
"042021","Jesi","19230","20200","39430"
"042022","Loreto","6355","6728","13083"
"042023","Maiolati Spontini","2856","3071","5927"
"042024","Mergo","479","491","970"
"042025","Monsano","1548","1636","3184"
"042026","Montecarotto","920","929","1849"
"042027","Montemarciano","4890","4937","9827"
"042029","Monte Roberto","1488","1504","2992"
"042030","Monte San Vito","3282","3398","6680"
"042031","Morro d'Alba","891","909","1800"
"042032","Numana","1887","1850","3737"
"042033","Offagna","1068","1049","2117"
"042034","Osimo","17166","17614","34780"
"042035","Ostra","3053","3163","6216"
"042036","Ostra Vetere","1534","1508","3042"
"042037","Poggio San Marcello","351","332","683"
"042038","Polverigi","2272","2267","4539"
"042040","Rosora","907","881","1788"
"042041","San Marcello","997","1009","2006"
"042042","San Paolo di Jesi","453","456","909"
"042043","Santa Maria Nuova","1945","1935","3880"
"042044","Sassoferrato","3323","3474","6797"
"042045","Senigallia","21111","22697","43808"
"042046","Serra de' Conti","1726","1789","3515"
"042047","Serra San Quirico","1202","1267","2469"
"042048","Sirolo","1945","2145","4090"
"042049","Staffolo","1056","1093","2149"
"042050","Trecastelli","3795","3802","7597"
