"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"051001","Anghiari","2621","2722","5343"
"051002","Arezzo","47177","49329","96506"
"051003","Badia Tedalda","499","442","941"
"051004","Bibbiena","6022","5949","11971"
"051005","Bucine","4891","5015","9906"
"051006","Capolona","2552","2651","5203"
"051007","Caprese Michelangelo","653","672","1325"
"051008","Castel Focognano","1512","1419","2931"
"051010","Castel San Niccolò","1236","1257","2493"
"051011","Castiglion Fibocchi","1083","1039","2122"
"051012","Castiglion Fiorentino","6359","6464","12823"
"051013","Cavriglia","4735","4769","9504"
"051014","Chitignano","442","430","872"
"051015","Chiusi della Verna","910","982","1892"
"051016","Civitella in Val di Chiana","4283","4325","8608"
"051017","Cortona","10017","10708","20725"
"051018","Foiano della Chiana","4455","4571","9026"
"051020","Loro Ciuffenna","2918","2956","5874"
"051021","Lucignano","1638","1756","3394"
"051022","Marciano della Chiana","1724","1793","3517"
"051023","Montemignaio","263","232","495"
"051024","Monterchi","869","850","1719"
"051025","Monte San Savino","4222","4366","8588"
"051026","Montevarchi","11909","12135","24044"
"051027","Ortignano Raggiolo","435","399","834"
"051030","Pieve Santo Stefano","1449","1517","2966"
"051031","Poppi","2922","2810","5732"
"051033","San Giovanni Valdarno","7934","8630","16564"
"051034","Sansepolcro","7500","7692","15192"
"051035","Sestino","596","554","1150"
"051037","Subbiano","3273","3132","6405"
"051038","Talla","505","459","964"
"051039","Terranuova Bracciolini","6003","6132","12135"
"051040","Castelfranco Piandiscò","4801","5007","9808"
"051041","Pratovecchio Stia","2676","2730","5406"
"051042","Laterina Pergine Valdarno","3141","3150","6291"
