"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"044001","Acquasanta Terme","1222","1189","2411"
"044002","Acquaviva Picena","1771","1815","3586"
"044005","Appignano del Tronto","798","843","1641"
"044006","Arquata del Tronto","473","437","910"
"044007","Ascoli Piceno","22014","23179","45193"
"044010","Carassai","534","508","1042"
"044011","Castel di Lama","4144","4268","8412"
"044012","Castignano","1252","1259","2511"
"044013","Castorano","1119","1155","2274"
"044014","Colli del Tronto","1845","1836","3681"
"044015","Comunanza","1484","1435","2919"
"044016","Cossignano","430","449","879"
"044017","Cupra Marittima","2615","2728","5343"
"044020","Folignano","4342","4307","8649"
"044021","Force","546","534","1080"
"044023","Grottammare","7684","8229","15913"
"044027","Maltignano","1069","1104","2173"
"044029","Massignano","837","772","1609"
"044031","Monsampolo del Tronto","2202","2177","4379"
"044032","Montalto delle Marche","857","957","1814"
"044034","Montedinove","244","199","443"
"044036","Montefiore dell'Aso","943","1003","1946"
"044038","Montegallo","205","159","364"
"044044","Montemonaco","258","260","518"
"044045","Monteprandone","6549","6562","13111"
"044054","Offida","2232","2337","4569"
"044056","Palmiano","66","84","150"
"044063","Ripatransone","2054","2051","4105"
"044064","Roccafluvione","922","894","1816"
"044065","Rotella","391","373","764"
"044066","San Benedetto del Tronto","22326","24650","46976"
"044071","Spinetoli","3505","3654","7159"
"044073","Venarotta","928","934","1862"
