"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"005001","Agliano Terme","785","760","1545"
"005002","Albugnano","258","267","525"
"005003","Antignano","479","478","957"
"005004","Aramengo","304","270","574"
"005005","Asti","35386","38218","73604"
"005006","Azzano d'Asti","184","199","383"
"005007","Baldichieri d'Asti","551","553","1104"
"005008","Belveglio","144","148","292"
"005009","Berzano di San Pietro","224","180","404"
"005010","Bruno","146","159","305"
"005011","Bubbio","387","406","793"
"005012","Buttigliera d'Asti","1272","1233","2505"
"005013","Calamandrana","813","830","1643"
"005014","Calliano Monferrato","629","606","1235"
"005015","Calosso","574","528","1102"
"005016","Camerano Casasco","213","208","421"
"005017","Canelli","4924","5090","10014"
"005018","Cantarana","493","481","974"
"005019","Capriglio","162","133","295"
"005020","Casorzo Monferrato","282","299","581"
"005021","Cassinasco","302","257","559"
"005022","Castagnole delle Lanze","1793","1867","3660"
"005023","Castagnole Monferrato","557","572","1129"
"005024","Castel Boglione","313","278","591"
"005025","Castell'Alfero","1276","1312","2588"
"005026","Castellero","134","147","281"
"005027","Castelletto Molina","61","76","137"
"005028","Castello di Annone","961","866","1827"
"005029","Castelnuovo Belbo","394","421","815"
"005030","Castelnuovo Calcea","348","332","680"
"005031","Castelnuovo Don Bosco","1520","1575","3095"
"005032","Castel Rocchero","189","167","356"
"005033","Cellarengo","368","363","731"
"005034","Celle Enomondo","208","222","430"
"005035","Cerreto d'Asti","108","109","217"
"005036","Cerro Tanaro","302","292","594"
"005037","Cessole","161","166","327"
"005038","Chiusano d'Asti","123","119","242"
"005039","Cinaglio","206","198","404"
"005040","Cisterna d'Asti","638","583","1221"
"005041","Coazzolo","149","136","285"
"005042","Cocconato","703","712","1415"
"005044","Corsione","99","92","191"
"005045","Cortandone","151","156","307"
"005046","Cortanze","132","130","262"
"005047","Cortazzone","303","293","596"
"005048","Cortiglione","254","253","507"
"005049","Cossombrato","254","252","506"
"005050","Costigliole d'Asti","2855","2809","5664"
"005051","Cunico","220","207","427"
"005052","Dusino San Michele","573","508","1081"
"005053","Ferrere","757","754","1511"
"005054","Fontanile","245","228","473"
"005055","Frinco","357","365","722"
"005056","Grana Monferrato","244","263","507"
"005057","Grazzano Badoglio","260","251","511"
"005058","Incisa Scapaccino","1016","990","2006"
"005059","Isola d'Asti","937","960","1897"
"005060","Loazzolo","159","137","296"
"005061","Maranzana","110","94","204"
"005062","Maretto","198","172","370"
"005063","Moasca","280","242","522"
"005064","Mombaldone","103","87","190"
"005065","Mombaruzzo","471","421","892"
"005066","Mombercelli","1006","1032","2038"
"005067","Monale","486","504","990"
"005068","Monastero Bormida","386","434","820"
"005069","Moncalvo","1314","1448","2762"
"005070","Moncucco Torinese","441","428","869"
"005071","Mongardino","412","422","834"
"005072","Montabone","162","139","301"
"005073","Montafia","474","458","932"
"005074","Montaldo Scarampi","360","348","708"
"005075","Montechiaro d'Asti","613","608","1221"
"005076","Montegrosso d'Asti","1194","1126","2320"
"005077","Montemagno Monferrato","502","528","1030"
"005080","Nizza Monferrato","4965","5203","10168"
"005081","Olmo Gentile","35","32","67"
"005082","Passerano Marmorito","253","193","446"
"005083","Penango","212","205","417"
"005084","Piea","236","253","489"
"005085","Pino d'Asti","126","91","217"
"005086","Piovà Massaia","266","291","557"
"005087","Portacomaro","922","969","1891"
"005088","Quaranti","75","69","144"
"005089","Refrancore","742","793","1535"
"005090","Revigliasco d'Asti","380","372","752"
"005091","Roatto","179","171","350"
"005092","Robella","244","196","440"
"005093","Rocca d'Arazzo","467","468","935"
"005094","Roccaverano","192","168","360"
"005095","Rocchetta Palafea","167","153","320"
"005096","Rocchetta Tanaro","681","676","1357"
"005097","San Damiano d'Asti","3942","4098","8040"
"005098","San Giorgio Scarampi","47","51","98"
"005099","San Martino Alfieri","339","322","661"
"005100","San Marzano Oliveto","476","454","930"
"005101","San Paolo Solbrito","576","587","1163"
"005103","Scurzolengo","268","254","522"
"005104","Serole","48","48","96"
"005105","Sessame","110","112","222"
"005106","Settime","267","264","531"
"005107","Soglio","61","67","128"
"005108","Tigliole","890","849","1739"
"005109","Tonco","394","368","762"
"005111","Vaglio Serra","131","129","260"
"005112","Valfenera","1228","1217","2445"
"005113","Vesime","310","272","582"
"005114","Viale","117","110","227"
"005115","Viarigi","401","406","807"
"005116","Vigliano d'Asti","403","389","792"
"005117","Villafranca d'Asti","1497","1462","2959"
"005118","Villanova d'Asti","2721","2786","5507"
"005119","Villa San Secondo","192","196","388"
"005120","Vinchio","278","253","531"
"005121","Montiglio Monferrato","746","751","1497"
"005122","Moransengo-Tonengo","206","214","420"
