"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"064001","Aiello del Sabato","2005","2040","4045"
"064002","Altavilla Irpina","1890","1913","3803"
"064003","Andretta","806","824","1630"
"064004","Aquilonia","718","663","1381"
"064005","Ariano Irpino","10090","10567","20657"
"064006","Atripalda","4919","5263","10182"
"064007","Avella","3610","3807","7417"
"064008","Avellino","24576","27243","51819"
"064009","Bagnoli Irpino","1524","1466","2990"
"064010","Baiano","2097","2274","4371"
"064011","Bisaccia","1740","1684","3424"
"064012","Bonito","1084","1085","2169"
"064013","Cairano","142","139","281"
"064014","Calabritto","1039","1057","2096"
"064015","Calitri","2004","2086","4090"
"064016","Candida","564","519","1083"
"064017","Caposele","1572","1613","3185"
"064018","Capriglia Irpina","1095","1089","2184"
"064019","Carife","610","632","1242"
"064020","Casalbore","743","771","1514"
"064021","Cassano Irpino","485","474","959"
"064022","Castel Baronia","514","533","1047"
"064023","Castelfranci","810","856","1666"
"064024","Castelvetere sul Calore","733","721","1454"
"064025","Cervinara","4268","4450","8718"
"064026","Cesinali","1255","1257","2512"
"064027","Chianche","240","218","458"
"064028","Chiusano di San Domenico","1008","1047","2055"
"064029","Contrada","1637","1450","3087"
"064030","Conza della Campania","629","640","1269"
"064031","Domicella","901","893","1794"
"064032","Flumeri","1213","1249","2462"
"064033","Fontanarosa","1404","1428","2832"
"064034","Forino","2680","2538","5218"
"064035","Frigento","1702","1694","3396"
"064036","Gesualdo","1578","1616","3194"
"064037","Greci","300","294","594"
"064038","Grottaminarda","3751","3813","7564"
"064039","Grottolella","914","897","1811"
"064040","Guardia Lombardi","698","748","1446"
"064041","Lacedonia","1021","990","2011"
"064042","Lapio","736","685","1421"
"064043","Lauro","1557","1686","3243"
"064044","Lioni","2862","3000","5862"
"064045","Luogosano","556","506","1062"
"064046","Manocalzati","1531","1460","2991"
"064047","Marzano di Nola","817","839","1656"
"064048","Melito Irpino","896","863","1759"
"064049","Mercogliano","5568","5848","11416"
"064050","Mirabella Eclano","3255","3291","6546"
"064051","Montaguto","160","173","333"
"064052","Montecalvo Irpino","1572","1654","3226"
"064053","Montefalcione","1497","1545","3042"
"064054","Monteforte Irpino","5776","5576","11352"
"064055","Montefredane","1073","1080","2153"
"064056","Montefusco","584","599","1183"
"064057","Montella","3479","3658","7137"
"064058","Montemarano","1269","1251","2520"
"064059","Montemiletto","2520","2493","5013"
"064060","Monteverde","328","332","660"
"064063","Morra De Sanctis","516","567","1083"
"064064","Moschiano","751","784","1535"
"064065","Mugnano del Cardinale","2619","2496","5115"
"064066","Nusco","1860","1923","3783"
"064067","Ospedaletto d'Alpinolo","973","990","1963"
"064068","Pago del Vallo di Lauro","822","862","1684"
"064069","Parolise","298","314","612"
"064070","Paternopoli","1041","1027","2068"
"064071","Petruro Irpino","152","145","297"
"064072","Pietradefusi","994","925","1919"
"064073","Pietrastornina","750","713","1463"
"064074","Prata di Principato Ultra","1342","1313","2655"
"064075","Pratola Serra","1784","1777","3561"
"064076","Quadrelle","913","951","1864"
"064077","Quindici","869","888","1757"
"064078","Roccabascerana","1209","1134","2343"
"064079","Rocca San Felice","383","382","765"
"064080","Rotondi","1717","1612","3329"
"064081","Salza Irpina","365","362","727"
"064082","San Mango sul Calore","593","511","1104"
"064083","San Martino Valle Caudina","2359","2374","4733"
"064084","San Michele di Serino","1201","1190","2391"
"064085","San Nicola Baronia","361","376","737"
"064086","San Potito Ultra","686","771","1457"
"064087","San Sossio Baronia","714","748","1462"
"064088","Santa Lucia di Serino","654","688","1342"
"064089","Sant'Andrea di Conza","658","683","1341"
"064090","Sant'Angelo all'Esca","342","346","688"
"064091","Sant'Angelo a Scala","385","287","672"
"064092","Sant'Angelo dei Lombardi","1932","1851","3783"
"064093","Santa Paolina","559","566","1125"
"064095","Santo Stefano del Sole","1022","1024","2046"
"064096","Savignano Irpino","515","495","1010"
"064097","Scampitella","476","505","981"
"064098","Senerchia","391","317","708"
"064099","Serino","3288","3275","6563"
"064100","Sirignano","1440","1501","2941"
"064101","Solofra","5904","6017","11921"
"064102","Sorbo Serpico","265","247","512"
"064103","Sperone","1770","1857","3627"
"064104","Sturno","1324","1380","2704"
"064105","Summonte","735","734","1469"
"064106","Taurano","685","720","1405"
"064107","Taurasi","1012","1044","2056"
"064108","Teora","709","715","1424"
"064109","Torella dei Lombardi","947","998","1945"
"064110","Torre Le Nocelle","608","615","1223"
"064111","Torrioni","268","193","461"
"064112","Trevico","385","404","789"
"064113","Tufo","381","376","757"
"064114","Vallata","1174","1231","2405"
"064115","Vallesaccarda","582","613","1195"
"064116","Venticano","1136","1148","2284"
"064117","Villamaina","425","471","896"
"064118","Villanova del Battista","701","738","1439"
"064119","Volturara Irpina","1389","1489","2878"
"064120","Zungoli","429","469","898"
"064121","Montoro","9734","9779","19513"
