"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"072001","Acquaviva delle Fonti","9574","10106","19680"
"072002","Adelfia","8044","8327","16371"
"072003","Alberobello","4895","5134","10029"
"072004","Altamura","34574","35762","70336"
"072006","Bari","152764","163484","316248"
"072008","Binetto","1075","1109","2184"
"072010","Bitetto","5733","6012","11745"
"072011","Bitonto","26076","26792","52868"
"072012","Bitritto","5583","5873","11456"
"072014","Capurso","7340","7767","15107"
"072015","Casamassima","9421","9672","19093"
"072016","Cassano delle Murge","7626","7656","15282"
"072017","Castellana Grotte","9619","10083","19702"
"072018","Cellamare","2850","2911","5761"
"072019","Conversano","12769","13224","25993"
"072020","Corato","22998","23847","46845"
"072021","Gioia del Colle","13074","13359","26433"
"072022","Giovinazzo","9225","9862","19087"
"072023","Gravina in Puglia","20822","21168","41990"
"072024","Grumo Appula","6079","5877","11956"
"072025","Locorotondo","6714","7078","13792"
"072027","Modugno","17562","18431","35993"
"072028","Mola di Bari","11917","12178","24095"
"072029","Molfetta","27659","29357","57016"
"072030","Monopoli","23248","24409","47657"
"072031","Noci","8792","9303","18095"
"072032","Noicattaro","12785","12981","25766"
"072033","Palo del Colle","9974","10279","20253"
"072034","Poggiorsini","633","607","1240"
"072035","Polignano a Mare","8508","8763","17271"
"072036","Putignano","12570","13126","25696"
"072037","Rutigliano","8937","9317","18254"
"072038","Ruvo di Puglia","11815","12277","24092"
"072039","Sammichele di Bari","2895","3026","5921"
"072040","Sannicandro di Bari","4935","4673","9608"
"072041","Santeramo in Colle","12634","12944","25578"
"072043","Terlizzi","12909","13049","25958"
"072044","Toritto","3901","4052","7953"
"072046","Triggiano","12289","13269","25558"
"072047","Turi","6329","6643","12972"
"072048","Valenzano","8298","8841","17139"
