"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"110001","Andria","47615","48905","96520"
"110002","Barletta","45661","46406","92067"
"110003","Bisceglie","26342","26900","53242"
"110004","Canosa di Puglia","13579","13696","27275"
"110005","Margherita di Savoia","5364","5661","11025"
"110006","Minervino Murge","3843","3968","7811"
"110007","San Ferdinando di Puglia","6977","6878","13855"
"110008","Spinazzola","2853","2941","5794"
"110009","Trani","27037","27694","54731"
"110010","Trinitapoli","6662","6951","13613"
