"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"025001","Agordo","1930","2132","4062"
"025003","Alleghe","522","542","1064"
"025004","Arsiè","1063","1111","2174"
"025005","Auronzo di Cadore","1467","1515","2982"
"025006","Belluno","17070","18429","35499"
"025007","Borca di Cadore","403","387","790"
"025008","Calalzo di Cadore","883","916","1799"
"025010","Cencenighe Agordino","597","605","1202"
"025011","Cesiomaggiore","2008","1946","3954"
"025012","Chies d'Alpago","626","618","1244"
"025013","Cibiana di Cadore","157","166","323"
"025014","Colle Santa Lucia","171","168","339"
"025015","Comelico Superiore","1007","1043","2050"
"025016","Cortina d'Ampezzo","2555","2844","5399"
"025017","Danta di Cadore","216","205","421"
"025018","Domegge di Cadore","1093","1142","2235"
"025019","Falcade","844","890","1734"
"025021","Feltre","10101","10499","20600"
"025022","Fonzaso","1478","1488","2966"
"025023","Canale d'Agordo","515","530","1045"
"025025","Gosaldo","267","244","511"
"025026","Lamon","1253","1323","2576"
"025027","La Valle Agordina","536","504","1040"
"025029","Limana","2722","2733","5455"
"025030","Livinallongo del Col di Lana","591","627","1218"
"025032","Lorenzago di Cadore","261","266","527"
"025033","Lozzo di Cadore","597","615","1212"
"025035","Ospitale di Cadore","135","124","259"
"025036","Pedavena","2106","2215","4321"
"025037","Perarolo di Cadore","182","177","359"
"025039","Pieve di Cadore","1773","1815","3588"
"025040","Ponte nelle Alpi","3905","3998","7903"
"025043","Rivamonte Agordino","306","286","592"
"025044","Rocca Pietore","559","560","1119"
"025045","San Gregorio nelle Alpi","801","781","1582"
"025046","San Nicolò di Comelico","188","180","368"
"025047","San Pietro di Cadore","724","688","1412"
"025048","Santa Giustina","3215","3406","6621"
"025049","San Tomaso Agordino","300","293","593"
"025050","Santo Stefano di Cadore","1081","1195","2276"
"025051","San Vito di Cadore","914","1011","1925"
"025053","Sedico","4989","5145","10134"
"025054","Selva di Cadore","254","250","504"
"025055","Seren del Grappa","1179","1144","2323"
"025056","Sospirolo","1554","1576","3130"
"025057","Soverzene","177","185","362"
"025058","Sovramonte","636","651","1287"
"025059","Taibon Agordino","866","844","1710"
"025060","Tambre","644","617","1261"
"025062","Vallada Agordina","213","245","458"
"025063","Valle di Cadore","880","932","1812"
"025065","Vigo di Cadore","655","667","1322"
"025066","Vodo Cadore","409","413","822"
"025067","Voltago Agordino","376","409","785"
"025069","Zoppè di Cadore","90","85","175"
"025071","Longarone","2437","2545","4982"
"025072","Alpago","3322","3257","6579"
"025073","Val di Zoldo","1349","1359","2708"
"025074","Borgo Valbelluna","6764","6856","13620"
"025075","Setteville","3054","2898","5952"
