"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"062001","Airola","4027","4062","8089"
"062002","Amorosi","1316","1313","2629"
"062003","Apice","2566","2609","5175"
"062004","Apollosa","1192","1227","2419"
"062005","Arpaia","1011","972","1983"
"062006","Arpaise","360","362","722"
"062007","Baselice","935","1045","1980"
"062008","Benevento","26517","28813","55330"
"062009","Bonea","674","662","1336"
"062010","Bucciano","950","1000","1950"
"062011","Buonalbergo","728","750","1478"
"062012","Calvi","1234","1231","2465"
"062013","Campolattaro","465","494","959"
"062014","Campoli del Monte Taburno","934","708","1642"
"062015","Casalduni","602","574","1176"
"062016","Castelfranco in Miscano","393","368","761"
"062017","Castelpagano","662","655","1317"
"062018","Castelpoto","526","567","1093"
"062019","Castelvenere","1143","1224","2367"
"062020","Castelvetere in Val Fortore","443","472","915"
"062021","Cautano","928","922","1850"
"062022","Ceppaloni","1615","1566","3181"
"062023","Cerreto Sannita","1733","1765","3498"
"062024","Circello","1034","1024","2058"
"062025","Colle Sannita","1053","1102","2155"
"062026","Cusano Mutri","1873","1860","3733"
"062027","Dugenta","1274","1353","2627"
"062028","Durazzano","1044","1013","2057"
"062029","Faicchio","1576","1585","3161"
"062030","Foglianise","1508","1593","3101"
"062031","Foiano di Val Fortore","642","659","1301"
"062032","Forchia","606","584","1190"
"062033","Fragneto l'Abate","418","475","893"
"062034","Fragneto Monforte","794","852","1646"
"062035","Frasso Telesino","971","975","1946"
"062036","Ginestra degli Schiavoni","187","191","378"
"062037","Guardia Sanframondi","2227","2238","4465"
"062038","Limatola","2172","2048","4220"
"062039","Melizzano","827","809","1636"
"062040","Moiano","1999","1987","3986"
"062041","Molinara","668","720","1388"
"062042","Montefalcone di Val Fortore","587","673","1260"
"062043","Montesarchio","6497","6472","12969"
"062044","Morcone","2159","2263","4422"
"062045","Paduli","1741","1783","3524"
"062046","Pago Veiano","1086","1081","2167"
"062047","Pannarano","1029","933","1962"
"062048","Paolisi","989","951","1940"
"062049","Paupisi","690","691","1381"
"062050","Pesco Sannita","869","929","1798"
"062051","Pietraroja","225","268","493"
"062052","Pietrelcina","1462","1407","2869"
"062053","Ponte","1185","1203","2388"
"062054","Pontelandolfo","955","986","1941"
"062055","Puglianello","637","625","1262"
"062056","Reino","525","538","1063"
"062057","San Bartolomeo in Galdo","2090","2101","4191"
"062058","San Giorgio del Sannio","4630","5003","9633"
"062059","San Giorgio La Molara","1347","1298","2645"
"062060","San Leucio del Sannio","1429","1448","2877"
"062061","San Lorenzello","1031","1048","2079"
"062062","San Lorenzo Maggiore","949","906","1855"
"062063","San Lupo","339","328","667"
"062064","San Marco dei Cavoti","1389","1506","2895"
"062065","San Martino Sannita","565","571","1136"
"062066","San Nazzaro","404","415","819"
"062067","San Nicola Manfredi","1652","1721","3373"
"062068","San Salvatore Telesino","1947","1909","3856"
"062069","Santa Croce del Sannio","430","427","857"
"062070","Sant'Agata de' Goti","4951","5056","10007"
"062071","Sant'Angelo a Cupolo","1983","2006","3989"
"062072","Sassinoro","296","310","606"
"062073","Solopaca","1606","1770","3376"
"062074","Telese Terme","3606","4001","7607"
"062075","Tocco Caudio","746","713","1459"
"062076","Torrecuso","1626","1598","3224"
"062077","Vitulano","1378","1284","2662"
"062078","Sant'Arcangelo Trimonte","232","228","460"
