"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"016001","Adrara San Martino","1172","1041","2213"
"016002","Adrara San Rocco","425","391","816"
"016003","Albano Sant'Alessandro","4188","4154","8342"
"016004","Albino","8669","8919","17588"
"016005","Almè","2654","2829","5483"
"016006","Almenno San Bartolomeo","3325","3305","6630"
"016007","Almenno San Salvatore","2688","2814","5502"
"016008","Alzano Lombardo","6615","6764","13379"
"016009","Ambivere","1206","1128","2334"
"016010","Antegnate","1797","1659","3456"
"016011","Arcene","2620","2492","5112"
"016012","Ardesio","1637","1602","3239"
"016013","Arzago d'Adda","1392","1375","2767"
"016014","Averara","101","78","179"
"016015","Aviatico","320","273","593"
"016016","Azzano San Paolo","3789","3936","7725"
"016017","Azzone","178","173","351"
"016018","Bagnatica","2237","2211","4448"
"016019","Barbata","354","341","695"
"016020","Bariano","2230","2102","4332"
"016021","Barzana","1067","972","2039"
"016022","Bedulita","353","359","712"
"016023","Berbenno","1251","1275","2526"
"016024","Bergamo","57636","62993","120629"
"016025","Berzo San Fermo","757","699","1456"
"016026","Bianzano","324","318","642"
"016027","Blello","35","36","71"
"016028","Bolgare","3394","3337","6731"
"016029","Boltiere","3165","3020","6185"
"016030","Bonate Sopra","5358","5294","10652"
"016031","Bonate Sotto","3318","3327","6645"
"016032","Borgo di Terzo","629","596","1225"
"016033","Bossico","492","473","965"
"016034","Bottanuco","2587","2498","5085"
"016035","Bracca","359","346","705"
"016036","Branzi","308","304","612"
"016037","Brembate","4450","4295","8745"
"016038","Brembate di Sopra","4013","4055","8068"
"016040","Brignano Gera d'Adda","3122","3145","6267"
"016041","Brumano","75","60","135"
"016042","Brusaporto","2827","2877","5704"
"016043","Calcinate","3235","3019","6254"
"016044","Calcio","2891","2660","5551"
"016046","Calusco d'Adda","4239","4193","8432"
"016047","Calvenzano","2250","2285","4535"
"016048","Camerata Cornello","268","277","545"
"016049","Canonica d'Adda","2210","2083","4293"
"016050","Capizzone","616","619","1235"
"016051","Capriate San Gervasio","4220","4096","8316"
"016052","Caprino Bergamasco","1594","1493","3087"
"016053","Caravaggio","8211","8302","16513"
"016055","Carobbio degli Angeli","2485","2427","4912"
"016056","Carona","133","149","282"
"016057","Carvico","2330","2370","4700"
"016058","Casazza","1905","1938","3843"
"016059","Casirate d'Adda","2127","2012","4139"
"016060","Casnigo","1517","1488","3005"
