"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"096001","Ailoche","140","149","289"
"096002","Andorno Micca","1487","1527","3014"
"096003","Benna","568","589","1157"
"096004","Biella","20754","22602","43356"
"096005","Bioglio","455","433","888"
"096006","Borriana","415","440","855"
"096007","Brusnengo","892","953","1845"
"096008","Callabiana","73","72","145"
"096009","Camandona","166","155","321"
"096010","Camburzano","546","581","1127"
"096012","Candelo","3484","3712","7196"
"096013","Caprile","100","91","191"
"096014","Casapinta","167","198","365"
"096015","Castelletto Cervo","392","366","758"
"096016","Cavaglià","1757","1707","3464"
"096018","Cerrione","1350","1400","2750"
"096019","Coggiola","782","835","1617"
"096020","Cossato","6671","7162","13833"
"096021","Crevacuore","681","692","1373"
"096023","Curino","218","248","466"
"096024","Donato","347","334","681"
"096025","Dorzano","272","256","528"
"096026","Gaglianico","1814","1989","3803"
"096027","Gifflenga","55","49","104"
"096028","Graglia","695","745","1440"
"096030","Magnano","180","159","339"
"096031","Massazza","322","259","581"
"096032","Masserano","943","952","1895"
"096033","Mezzana Mortigliengo","237","238","475"
"096034","Miagliano","251","284","535"
"096035","Mongrando","1729","1826","3555"
"096037","Mottalciata","642","630","1272"
"096038","Muzzano","256","295","551"
"096039","Netro","452","443","895"
"096040","Occhieppo Inferiore","1816","1977","3793"
"096041","Occhieppo Superiore","1214","1317","2531"
"096042","Pettinengo","730","713","1443"
"096043","Piatto","239","231","470"
"096044","Piedicavallo","89","79","168"
"096046","Pollone","943","1004","1947"
"096047","Ponderano","1736","1872","3608"
"096048","Portula","547","530","1077"
"096049","Pralungo","1126","1167","2293"
"096050","Pray","950","1049","1999"
"096053","Ronco Biellese","713","696","1409"
"096054","Roppolo","386","419","805"
"096055","Rosazza","45","50","95"
"096056","Sagliano Micca","769","825","1594"
"096057","Sala Biellese","265","266","531"
"096058","Salussola","947","888","1835"
"096059","Sandigliano","1231","1332","2563"
"096063","Sordevolo","623","637","1260"
"096064","Sostegno","353","379","732"
"096065","Strona","462","479","941"
"096066","Tavigliano","443","441","884"
"096067","Ternengo","130","134","264"
"096068","Tollegno","1122","1220","2342"
"096069","Torrazzo","99","93","192"
"096071","Valdengo","1148","1193","2341"
"096072","Vallanzengo","88","101","189"
"096074","Valle San Nicolao","415","400","815"
"096075","Veglio","214","207","421"
"096076","Verrone","578","582","1160"
"096077","Vigliano Biellese","3626","3951","7577"
"096078","Villa del Bosco","145","167","312"
"096079","Villanova Biellese","86","87","173"
"096080","Viverone","629","689","1318"
"096081","Zimone","194","183","377"
"096082","Zubiena","581","557","1138"
"096083","Zumaglia","462","497","959"
"096085","Lessona","1253","1337","2590"
"096086","Campiglia Cervo","260","228","488"
"096087","Quaregna Cerreto","1012","1033","2045"
"096088","Valdilana","4829","5051","9880"
