"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"037001","Anzola dell'Emilia","6131","6283","12414"
"037002","Argelato","4675","4898","9573"
"037003","Baricella","3586","3621","7207"
"037005","Bentivoglio","2932","2923","5855"
"037006","Bologna","188003","203470","391473"
"037007","Borgo Tossignano","1613","1618","3231"
"037008","Budrio","9076","9418","18494"
"037009","Calderara di Reno","6767","7000","13767"
"037010","Camugnano","951","960","1911"
"037011","Casalecchio di Reno","16704","18655","35359"
"037012","Casalfiumanese","1715","1646","3361"
"037013","Castel d'Aiano","1038","931","1969"
"037014","Castel del Rio","597","627","1224"
"037015","Castel di Casio","1661","1687","3348"
"037016","Castel Guelfo di Bologna","2244","2229","4473"
"037017","Castello d'Argile","3392","3302","6694"
"037019","Castel Maggiore","8938","9541","18479"
"037020","Castel San Pietro Terme","10219","10483","20702"
"037021","Castenaso","8045","8625","16670"
"037022","Castiglione dei Pepoli","2788","2711","5499"
"037024","Crevalcore","7101","7109","14210"
"037025","Dozza","3216","3297","6513"
"037026","Fontanelice","959","951","1910"
"037027","Gaggio Montano","2480","2451","4931"
"037028","Galliera","2968","2808","5776"
"037030","Granarolo dell'Emilia","6421","6696","13117"
"037031","Grizzana Morandi","2044","1903","3947"
"037032","Imola","33796","35906","69702"
"037033","Lizzano in Belvedere","1132","1163","2295"
"037034","Loiano","2283","2306","4589"
"037035","Malalbergo","4635","4768","9403"
"037036","Marzabotto","3480","3446","6926"
"037037","Medicina","8330","8487","16817"
"037038","Minerbio","4422","4537","8959"
"037039","Molinella","7841","8069","15910"
"037040","Monghidoro","2071","1863","3934"
"037041","Monterenzio","3116","3053","6169"
"037042","Monte San Pietro","5311","5534","10845"
"037044","Monzuno","3280","3153","6433"
"037045","Mordano","2320","2268","4588"
"037046","Ozzano dell'Emilia","7156","7260","14416"
"037047","Pianoro","8787","9065","17852"
"037048","Pieve di Cento","3704","3727","7431"
"037050","Sala Bolognese","4234","4217","8451"
"037051","San Benedetto Val di Sambro","2193","2075","4268"
"037052","San Giorgio di Piano","4833","4938","9771"
"037053","San Giovanni in Persiceto","13806","14389","28195"
"037054","San Lazzaro di Savena","15842","17108","32950"
"037055","San Pietro in Casale","6579","6627","13206"
"037056","Sant'Agata Bolognese","3719","3626","7345"
"037057","Sasso Marconi","7155","7674","14829"
"037059","Vergato","3994","3952","7946"
"037060","Zola Predosa","9541","9975","19516"
"037061","Valsamoggia","15994","16264","32258"
"037062","Alto Reno Terme","3516","3663","7179"
