"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"021001","Aldino/Aldein","831","778","1609"
"021002","Andriano/Andrian","532","526","1058"
"021003","Anterivo/Altrei","197","191","388"
"021004","Appiano sulla strada del vino/Eppan an der Weinstraße","7500","7562","15062"
"021005","Avelengo/Hafling","425","398","823"
"021006","Badia/Abtei","1779","1810","3589"
"021007","Barbiano/Barbian","891","897","1788"
"021008","Bolzano/Bozen","51726","55175","106901"
"021009","Braies/Prags","347","343","690"
"021010","Brennero/Brenner","1266","1168","2434"
"021011","Bressanone/Brixen","11427","11923","23350"
"021012","Bronzolo/Branzoll","1402","1422","2824"
"021013","Brunico/Bruneck","8538","8628","17166"
"021014","Caines/Kuens","185","201","386"
"021015","Caldaro sulla strada del vino/Kaltern an der Weinstraße","4064","4237","8301"
"021016","Campo di Trens/Freienfeld","1458","1353","2811"
"021017","Campo Tures/Sand in Taufers","2942","2935","5877"
"021018","Castelbello-Ciardes/Kastelbell-Tschars","1227","1191","2418"
"021019","Castelrotto/Kastelruth","3578","3484","7062"
"021020","Cermes/Tscherms","818","835","1653"
"021021","Chienes/Kiens","1561","1506","3067"
"021022","Chiusa/Klausen","2645","2580","5225"
"021023","Cornedo all'Isarco/Karneid","1724","1723","3447"
"021024","Cortaccia sulla strada del vino/Kurtatsch an der Weinstraße","1094","1144","2238"
"021025","Cortina sulla strada del vino/Kurtinig an der Weinstraße","340","336","676"
"021026","Corvara in Badia/Corvara","707","731","1438"
"021027","Curon Venosta/Graun im Vinschgau","1223","1175","2398"
"021028","Dobbiaco/Toblach","1738","1754","3492"
"021029","Egna/Neumarkt","2713","2805","5518"
"021030","Falzes/Pfalzen","1622","1570","3192"
"021031","Fiè allo Sciliar/Völs am Schlern","1869","1878","3747"
"021032","Fortezza/Franzensfeste","598","541","1139"
"021033","Funes/Villnöß","1290","1260","2550"
"021034","Gais/Gais","1676","1607","3283"
"021035","Gargazzone/Gargazon","862","928","1790"
"021036","Glorenza/Glurns","464","473","937"
"021037","Laces/Latsch","2616","2663","5279"
"021038","Lagundo/Algund","2447","2628","5075"
"021039","Laion/Lajen","1439","1394","2833"
"021040","Laives/Leifers","9309","9372","18681"
"021041","Lana/Lana","6291","6454","12745"
"021042","Lasa/Laas","2093","2089","4182"
"021043","Lauregno/Laurein","178","138","316"
"021044","Luson/Lüsen","801","778","1579"
"021045","Magrè sulla strada del vino/Margreid an der Weinstraße","661","651","1312"
"021046","Malles Venosta/Mals","2672","2574","5246"
"021047","Marebbe/Enneberg","1630","1591","3221"
"021048","Marlengo/Marling","1489","1421","2910"
"021049","Martello/Martell","457","383","840"
"021050","Meltina/Mölten","880","844","1724"
"021051","Merano/Meran","20261","21397","41658"
"021052","Monguelfo-Tesido/Welsberg-Taisten","1458","1446","2904"
"021053","Montagna sulla Strada del Vino/Montan an der Weinstraße","886","880","1766"
"021054","Moso in Passiria/Moos in Passeier","1082","947","2029"
"021055","Nalles/Nals","1054","1057","2111"
"021056","Naturno/Naturns","3057","3044","6101"
"021057","Naz-Sciaves/Natz-Schabs","1767","1755","3522"
"021058","Nova Levante/Welschnofen","1108","1002","2110"
"021059","Nova Ponente/Deutschnofen","2122","2026","4148"
"021060","Ora/Auer","1930","2002","3932"
"021061","Ortisei/St Ulrich","2337","2373","4710"
"021062","Parcines/Partschins","1947","2026","3973"
"021063","Perca/Percha","885","883","1768"
"021064","Plaus/Plaus","386","374","760"
"021065","Ponte Gardena/Waidbruck","145","126","271"
"021066","Postal/Burgstall","1023","1034","2057"
"021067","Prato allo Stelvio/Prad am Stilfserjoch","1932","1934","3866"
"021068","Predoi/Prettau","261","247","508"
"021069","Proves/Proveis","140","103","243"
"021070","Racines/Ratschings","2432","2270","4702"
"021071","Rasun-Anterselva/Rasen-Antholz","1487","1449","2936"
"021072","Renon/Ritten","4208","4124","8332"
"021073","Rifiano/Riffian","710","683","1393"
"021074","Rio di Pusteria/Mühlbach","1673","1657","3330"
"021075","Rodengo/Rodeneck","673","631","1304"
"021076","Salorno sulla strada del vino/Salurn an der Weinstraße","1942","1893","3835"
"021077","San Candido/Innichen","1611","1707","3318"
"021079","San Genesio Atesino/Jenesien","1546","1480","3026"
"021080","San Leonardo in Passiria/St Leonhard in Passeier","1887","1793","3680"
"021081","San Lorenzo di Sebato/St Lorenzen","2040","1953","3993"
"021082","San Martino in Badia/St Martin in Thurn","937","857","1794"
"021083","San Martino in Passiria/St Martin in Passeier","1686","1637","3323"
"021084","San Pancrazio/St Pankraz","807","741","1548"
"021085","Santa Cristina Valgardena/St Christina in Gröden","1011","1025","2036"
"021086","Sarentino/Sarntal","3685","3597","7282"
"021087","Scena/Schenna","1538","1531","3069"
"021088","Selva dei Molini/Mühlwald","706","661","1367"
"021089","Selva di Val Gardena/Wolkenstein in Gröden","1288","1342","2630"
"021091","Senales/Schnals","639","595","1234"
"021092","Sesto/Sexten","897","902","1799"
"021093","Silandro/Schlanders","3217","3191","6408"
"021094","Sluderno/Schluderns","952","942","1894"
"021095","Stelvio/Stilfs","598","581","1179"
"021096","Terento/Terenten","954","883","1837"
"021097","Terlano/Terlan","2539","2478","5017"
"021098","Termeno sulla strada del vino/Tramin an der Weinstraße","1689","1704","3393"
"021099","Tesimo/Tisens","1060","1023","2083"
"021100","Tires/Tiers","492","544","1036"
"021101","Tirolo/Tirol","1241","1252","2493"
"021102","Trodena nel parco naturale/Truden im Naturpark","532","536","1068"
"021103","Tubre/Taufers im Münstertal","462","499","961"
"021104","Ultimo/Ulten","1462","1459","2921"
"021105","Vadena/Pfatten","593","504","1097"
"021106","Valdaora/Olang","1654","1622","3276"
"021107","Val di Vizze/Pfitsch","1571","1536","3107"
"021108","Valle Aurina/Ahrntal","3076","2940","6016"
"021109","Valle di Casies/Gsies","1205","1151","2356"
"021110","Vandoies/Vintl","1697","1687","3384"
"021111","Varna/Vahrn","2587","2517","5104"
"021112","Verano/Vöran","534","479","1013"
"021113","Villabassa/Niederdorf","822","785","1607"
"021114","Villandro/Villanders","959","913","1872"
"021115","Vipiteno/Sterzing","3503","3537","7040"
"021116","Velturno/Feldthurns","1582","1519","3101"
"021117","La Valle/Wengen","726","693","1419"
"021118","Senale-San Felice/Unsere Liebe Frau im Walde-St Felix","422","392","814"
