"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"017001","Acquafredda","779","770","1549"
"017002","Adro","3627","3569","7196"
"017003","Agnosine","842","804","1646"
"017004","Alfianello","1166","1141","2307"
"017005","Anfo","228","211","439"
"017006","Angolo Terme","1199","1125","2324"
"017007","Artogne","1862","1852","3714"
"017008","Azzano Mella","1824","1695","3519"
"017009","Bagnolo Mella","6304","6232","12536"
"017010","Bagolino","1878","1860","3738"
"017011","Barbariga","1173","1134","2307"
"017012","Barghe","608","530","1138"
"017013","Bassano Bresciano","1211","1152","2363"
"017014","Bedizzole","6082","6184","12266"
"017015","Berlingo","1407","1344","2751"
"017016","Berzo Demo","739","705","1444"
"017017","Berzo Inferiore","1275","1247","2522"
"017018","Bienno","1862","1894","3756"
"017019","Bione","656","663","1319"
"017020","Borgo San Giacomo","2859","2731","5590"
"017021","Borgosatollo","4590","4509","9099"
"017022","Borno","1183","1220","2403"
"017023","Botticino","5314","5535","10849"
"017024","Bovegno","986","1026","2012"
"017025","Bovezzo","3608","3778","7386"
"017026","Brandico","902","865","1767"
"017027","Braone","347","334","681"
"017028","Breno","2322","2352","4674"
"017029","Brescia","97804","103538","201342"
"017030","Brione","408","351","759"
"017031","Caino","1125","1055","2180"
"017032","Calcinato","6678","6469","13147"
"017033","Calvagese della Riviera","1850","1829","3679"
"017034","Calvisano","4339","4122","8461"
"017035","Capo di Ponte","1131","1162","2293"
"017036","Capovalle","163","169","332"
"017037","Capriano del Colle","2542","2375","4917"
"017038","Capriolo","4765","4640","9405"
"017039","Carpenedolo","6596","6454","13050"
"017040","Castegnato","4242","4215","8457"
"017041","Castelcovati","3607","3480","7087"
"017042","Castel Mella","5507","5454","10961"
"017043","Castenedolo","5808","5835","11643"
"017044","Casto","862","751","1613"
"017045","Castrezzato","4027","3957","7984"
"017046","Cazzago San Martino","5359","5425","10784"
"017047","Cedegolo","567","562","1129"
"017048","Cellatica","2338","2477","4815"
"017049","Cerveno","365","342","707"
"017050","Ceto","886","889","1775"
"017051","Cevo","404","367","771"
"017052","Chiari","9860","9857","19717"
"017053","Cigole","756","747","1503"
"017054","Cimbergo","272","254","526"
"017055","Cividate Camuno","1379","1308","2687"
"017056","Coccaglio","4514","4423","8937"
"017057","Collebeato","2154","2315","4469"
"017058","Collio","1008","947","1955"
"017059","Cologne","3796","3812","7608"
"017060","Comezzano-Cizzago","2154","2048","4202"
"017061","Concesio","7813","7922","15735"
"017062","Corte Franca","3570","3580","7150"
"017063","Corteno Golgi","973","936","1909"
"017064","Corzano","783","757","1540"
"017065","Darfo Boario Terme","7940","8034","15974"
"017066","Dello","2868","2818","5686"
"017067","Desenzano del Garda","14003","15350","29353"
"017068","Edolo","2157","2290","4447"
"017069","Erbusco","4524","4328","8852"
"017070","Esine","2505","2550","5055"
"017071","Fiesse","1076","1019","2095"
"017072","Flero","4424","4388","8812"
"017073","Gambara","2492","2268","4760"
"017074","Gardone Riviera","1280","1288","2568"
"017075","Gardone Val Trompia","5840","5759","11599"
"017076","Gargnano","1263","1352","2615"
"017077","Gavardo","6353","6085","12438"
"017078","Ghedi","9422","9124","18546"
"017079","Gianico","1032","1046","2078"
"017080","Gottolengo","2502","2549","5051"
"017081","Gussago","8222","8441","16663"
"017082","Idro","929","944","1873"
"017083","Incudine","168","177","345"
"017084","Irma","73","62","135"
"017085","Iseo","4316","4653","8969"
"017086","Isorella","2134","1989","4123"
"017087","Lavenone","253","255","508"
"017088","Leno","7300","7174","14474"
"017089","Limone sul Garda","544","552","1096"
"017090","Lodrino","846","781","1627"
"017091","Lograto","1939","1906","3845"
"017092","Lonato del Garda","8592","8576","17168"
"017093","Longhena","303","262","565"
"017094","Losine","326","321","647"
"017095","Lozio","191","174","365"
"017096","Lumezzane","10943","10799","21742"
"017097","Maclodio","737","741","1478"
"017098","Magasa","61","43","104"
"017099","Mairano","1779","1719","3498"
"017100","Malegno","961","964","1925"
"017101","Malonno","1476","1521","2997"
"017102","Manerba del Garda","2730","2685","5415"
"017103","Manerbio","6773","6857","13630"
"017104","Marcheno","2089","2063","4152"
"017105","Marmentino","337","311","648"
"017106","Marone","1501","1595","3096"
"017107","Mazzano","6408","6307","12715"
"017108","Milzano","860","844","1704"
"017109","Moniga del Garda","1325","1357","2682"
"017110","Monno","247","268","515"
"017111","Monte Isola","793","783","1576"
"017112","Monticelli Brusati","2298","2258","4556"
"017113","Montichiari","13459","13047","26506"
"017114","Montirone","2609","2552","5161"
"017115","Mura","383","382","765"
"017116","Muscoline","1394","1336","2730"
"017117","Nave","5238","5389","10627"
"017118","Niardo","955","994","1949"
"017119","Nuvolento","1955","2007","3962"
"017120","Nuvolera","2368","2409","4777"
"017121","Odolo","981","967","1948"
"017122","Offlaga","2128","2039","4167"
"017123","Ome","1534","1569","3103"
"017124","Ono San Pietro","479","494","973"
"017125","Orzinuovi","6274","6222","12496"
"017126","Orzivecchi","1286","1231","2517"
"017127","Ospitaletto","7623","7346","14969"
"017128","Ossimo","731","708","1439"
"017129","Padenghe sul Garda","2359","2553","4912"
"017130","Paderno Franciacorta","1843","1824","3667"
"017131","Paisco Loveno","86","78","164"
"017132","Paitone","1164","1084","2248"
"017133","Palazzolo sull'Oglio","10445","10158","20603"
"017134","Paratico","2525","2498","5023"
"017135","Paspardo","301","275","576"
"017136","Passirano","3367","3475","6842"
"017137","Pavone del Mella","1352","1365","2717"
"017138","San Paolo","2247","2243","4490"
"017139","Pertica Alta","291","258","549"
"017140","Pertica Bassa","274","269","543"
"017141","Pezzaze","730","689","1419"
"017142","Pian Camuno","2447","2379","4826"
"017143","Pisogne","3873","4028","7901"
"017144","Polaveno","1289","1242","2531"
"017145","Polpenazze del Garda","1365","1370","2735"
"017146","Pompiano","1882","1873","3755"
"017147","Poncarale","2576","2616","5192"
"017148","Ponte di Legno","857","899","1756"
"017149","Pontevico","3408","3723","7131"
"017150","Pontoglio","3503","3501","7004"
"017151","Pozzolengo","1783","1794","3577"
"017152","Pralboino","1507","1343","2850"
"017153","Preseglie","767","703","1470"
"017155","Prevalle","3461","3441","6902"
"017156","Provaglio d'Iseo","3469","3599","7068"
"017157","Provaglio Val Sabbia","436","408","844"
"017158","Puegnago del Garda","1697","1781","3478"
"017159","Quinzano d'Oglio","3224","3168","6392"
"017160","Remedello","1744","1702","3446"
"017161","Rezzato","6717","6875","13592"
"017162","Roccafranca","2549","2440","4989"
"017163","Rodengo Saiano","4803","5065","9868"
"017164","Roè Volciano","2101","2222","4323"
"017165","Roncadelle","4625","4690","9315"
"017166","Rovato","10125","9621","19746"
"017167","Rudiano","3004","2906","5910"
"017168","Sabbio Chiese","2083","2010","4093"
"017169","Sale Marasino","1572","1666","3238"
"017170","Salò","4843","5449","10292"
"017171","San Felice del Benaco","1712","1756","3468"
"017172","San Gervasio Bresciano","1337","1342","2679"
"017173","San Zeno Naviglio","2318","2415","4733"
"017174","Sarezzo","6650","6659","13309"
"017175","Saviore dell'Adamello","393","394","787"
"017176","Sellero","690","690","1380"
"017177","Seniga","745","702","1447"
"017178","Serle","1551","1575","3126"
"017179","Sirmione","4039","4415","8454"
"017180","Soiano del Lago","979","974","1953"
"017181","Sonico","597","589","1186"
"017182","Sulzano","978","963","1941"
"017183","Tavernole sul Mella","614","586","1200"
"017184","Temù","590","564","1154"
"017185","Tignale","562","596","1158"
