"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"074001","Brindisi","39099","42082","81181"
"074002","Carovigno","8717","8376","17093"
"074003","Ceglie Messapica","8809","9554","18363"
"074004","Cellino San Marco","2789","3100","5889"
"074005","Cisternino","5258","5696","10954"
"074006","Erchie","3925","4116","8041"
"074007","Fasano","19017","19730","38747"
"074008","Francavilla Fontana","16637","17715","34352"
"074009","Latiano","6420","6802","13222"
"074010","Mesagne","12387","13351","25738"
"074011","Oria","6924","7440","14364"
"074012","Ostuni","14376","15427","29803"
"074013","San Donaci","2939","3111","6050"
"074014","San Michele Salentino","2945","3061","6006"
"074015","San Pancrazio Salentino","4332","4626","8958"
"074016","San Pietro Vernotico","6198","6609","12807"
"074017","San Vito dei Normanni","8639","9154","17793"
"074018","Torchiarolo","2639","2647","5286"
"074019","Torre Santa Susanna","4942","5103","10045"
"074020","Villa Castelli","4496","4443","8939"
