Codice comune,Comune,Totale maschi,Totale femmine,Totale
118001,Armungia,209,186,395
118002,Assemini,12507,13068,25575
118003,Ballao,359,347,706
118004,Barrali,566,521,1087
118005,Burcei,1286,1285,2571
118006,Cagliari,68229,77752,145981
118007,Capoterra,11463,11552,23015
118008,Castiadas,890,850,1740
118009,Decimomannu,4197,4178,8375
118010,Decimoputzu,2131,2034,4165
118011,Dolianova,4693,4664,9357
118012,Domus de Maria,817,813,1630
118013,Donori,960,952,1912
118014,Elmas,4679,4801,9480
118015,Escalaplano,1089,928,2017
118016,Escolca,255,276,531
118017,Esterzili,263,273,536
118018,Genoni,356,360,716
118019,Gergei,560,535,1095
118020,Gesico,359,339,698
118021,Goni,246,188,434
118022,Guamaggiore,435,437,872
118023,Guasila,1198,1213,2411
118024,Isili,1220,1209,2429
118025,Mandas,988,950,1938
118026,Maracalagonis,4018,3867,7885
118027,Monastir,2655,2229,4884
118028,Monserrato,8850,9774,18624
118029,Muravera,2424,2549,4973
118030,Nuragus,393,402,795
118031,Nurallao,557,532,1089
118032,Nuraminis,1165,1172,2337
118033,Nurri,993,995,1988
118034,Orroli,969,940,1909
118035,Ortacesus,445,414,859
118036,Pimentel,557,521,1078
118037,Pula,3544,3504,7048
118038,Quartu Sant'Elena,33159,34710,67869
118039,Quartucciu,6194,6529,12723
118040,Sadali,378,394,772
118041,Samatzai,750,752,1502
118042,San Basilio,550,517,1067
118044,San Sperate,4318,4307,8625
118045,San Vito,1709,1700,3409
118046,Sant'Andrea Frius,858,801,1659
118047,Sarroch,2490,2490,4980
118048,Selargius,13599,14673,28272
118049,Selegas,616,637,1253
118051,Serdiana,1322,1321,2643
118052,Serri,292,296,588
118053,Sestu,10358,10272,20630
118054,Settimo San Pietro,3456,3512,6968
118056,Siliqua,1732,1736,3468
118057,Silius,532,455,987
118058,Sinnai,8750,8697,17447
118059,Siurgus Donigala,907,913,1820
118060,Soleminis,958,944,1902
118061,Suelli,533,516,1049
118063,Ussana,1986,2011,3997
118064,Uta,4554,4345,8899
118065,Vallermosa,898,884,1782
118066,Villa San Pietro,1056,1039,2095
118067,Villanova Tulo,506,471,977
118068,Villaputzu,2142,2222,4364
118069,Villasalto,440,436,876
118070,Villasimius,1916,1846,3762
118071,Villasor,3247,3233,6480
118072,Villaspeciosa,1358,1342,2700
