"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"085001","Acquaviva Platani","408","411","819"
"085002","Bompensiere","224","244","468"
"085003","Butera","1999","2054","4053"
"085004","Caltanissetta","28223","29699","57922"
"085005","Campofranco","1168","1344","2512"
"085006","Delia","1812","2039","3851"
"085007","Gela","34154","35955","70109"
"085008","Marianopoli","727","778","1505"
"085009","Mazzarino","5058","5509","10567"
"085010","Milena","1270","1329","2599"
"085011","Montedoro","641","679","1320"
"085012","Mussomeli","4709","5033","9742"
"085013","Niscemi","12118","12417","24535"
"085014","Resuttano","824","863","1687"
"085015","Riesi","4863","5295","10158"
"085016","San Cataldo","9727","10502","20229"
"085017","Santa Caterina Villarmosa","2090","2331","4421"
"085018","Serradifalco","2536","2806","5342"
"085019","Sommatino","2954","3266","6220"
"085020","Sutera","514","582","1096"
"085021","Vallelunga Pratameno","1451","1552","3003"
"085022","Villalba","650","693","1343"
