"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"070001","Acquaviva Collecroce","271","265","536"
"070002","Baranello","1217","1207","2424"
"070003","Bojano","3705","3791","7496"
"070004","Bonefro","561","567","1128"
"070005","Busso","568","574","1142"
"070006","Campobasso","23098","24301","47399"
"070007","Campochiaro","272","284","556"
"070008","Campodipietra","1182","1221","2403"
"070009","Campolieto","393","400","793"
"070010","Campomarino","4101","3873","7974"
"070011","Casacalenda","952","872","1824"
"070012","Casalciprano","210","214","424"
"070013","Castelbottaccio","106","117","223"
"070014","Castellino del Biferno","213","204","417"
"070015","Castelmauro","524","551","1075"
"070016","Castropignano","408","431","839"
"070017","Cercemaggiore","1792","1737","3529"
"070018","Cercepiccola","318","342","660"
"070019","Civitacampomarano","129","148","277"
"070020","Colle d'Anchise","352","357","709"
"070021","Colletorto","806","812","1618"
"070022","Duronia","205","173","378"
"070023","Ferrazzano","1680","1710","3390"
"070024","Fossalto","542","557","1099"
"070025","Gambatesa","608","625","1233"
"070026","Gildone","350","357","707"
"070027","Guardialfiera","475","467","942"
"070028","Guardiaregia","348","311","659"
"070029","Guglionesi","2491","2383","4874"
"070030","Jelsi","779","751","1530"
"070031","Larino","3148","3109","6257"
"070032","Limosano","359","302","661"
"070033","Lucito","310","306","616"
"070034","Lupara","192","199","391"
"070035","Macchia Valfortore","222","217","439"
"070036","Mafalda","539","535","1074"
"070037","Matrice","509","510","1019"
"070038","Mirabello Sannitico","1015","1019","2034"
"070039","Molise","81","63","144"
"070040","Monacilioni","207","232","439"
"070041","Montagano","476","475","951"
"070042","Montecilfone","619","601","1220"
"070043","Montefalcone nel Sannio","670","643","1313"
"070044","Montelongo","146","130","276"
"070045","Montemitro","136","146","282"
"070046","Montenero di Bisaccia","3093","3093","6186"
"070047","Montorio nei Frentani","168","174","342"
"070048","Morrone del Sannio","255","250","505"
"070049","Oratino","871","807","1678"
"070050","Palata","717","738","1455"
"070051","Petacciato","1793","1760","3553"
"070052","Petrella Tifernina","480","510","990"
"070053","Pietracatella","603","589","1192"
"070054","Pietracupa","94","87","181"
"070055","Portocannone","1178","1145","2323"
"070056","Provvidenti","48","49","97"
"070057","Riccia","2301","2345","4646"
"070058","Ripabottoni","214","196","410"
"070059","Ripalimosani","1554","1416","2970"
"070060","Roccavivara","272","295","567"
"070061","Rotello","596","527","1123"
"070062","Salcito","337","302","639"
"070063","San Biase","60","57","117"
"070064","San Felice del Molise","265","260","525"
"070065","San Giacomo degli Schiavoni","681","694","1375"
"070066","San Giovanni in Galdo","248","247","495"
"070067","San Giuliano del Sannio","501","455","956"
"070068","San Giuliano di Puglia","459","498","957"
"070069","San Martino in Pensilis","2144","2221","4365"
"070070","San Massimo","457","368","825"
"070071","San Polo Matese","260","227","487"
"070072","Santa Croce di Magliano","1846","1974","3820"
"070073","Sant'Angelo Limosano","149","149","298"
"070074","Sant'Elia a Pianisi","717","763","1480"
"070075","Sepino","956","859","1815"
"070076","Spinete","571","557","1128"
"070077","Tavenna","254","291","545"
"070078","Termoli","15342","16412","31754"
"070079","Torella del Sannio","343","333","676"
"070080","Toro","604","605","1209"
"070081","Trivento","2143","2155","4298"
"070082","Tufara","376","372","748"
"070083","Ururi","1125","1196","2321"
"070084","Vinchiaturo","1652","1646","3298"
