"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"061001","Ailano","513","614","1127"
"061002","Alife","3616","3633","7249"
"061003","Alvignano","2197","2236","4433"
"061004","Arienzo","2693","2706","5399"
"061005","Aversa","23537","25323","48860"
"061006","Baia e Latina","984","998","1982"
"061007","Bellona","2982","3073","6055"
"061008","Caianello","959","866","1825"
"061009","Caiazzo","2473","2604","5077"
"061010","Calvi Risorta","2607","2773","5380"
"061011","Camigliano","987","984","1971"
"061012","Cancello ed Arnone","3021","2762","5783"
"061013","Capodrise","4913","5090","10003"
"061014","Capriati a Volturno","671","710","1381"
"061015","Capua","8904","9113","18017"
"061016","Carinaro","3514","3668","7182"
"061017","Carinola","3607","3435","7042"
"061018","Casagiove","6161","6672","12833"
"061019","Casal di Principe","11139","10865","22004"
"061020","Casaluce","4588","4808","9396"
"061021","Casapulla","4010","4254","8264"
"061022","Caserta","34465","38292","72757"
"061023","Castel Campagnano","676","739","1415"
"061024","Castel di Sasso","488","507","995"
"061025","Castello del Matese","640","682","1322"
"061026","Castel Morrone","1717","1857","3574"
"061027","Castel Volturno","16360","14870","31230"
"061028","Cervino","2326","2393","4719"
"061029","Cesa","4896","4952","9848"
"061030","Ciorlano","179","168","347"
"061031","Conca della Campania","570","556","1126"
"061032","Curti","3153","3464","6617"
"061033","Dragoni","877","985","1862"
"061034","Fontegreca","375","362","737"
"061035","Formicola","665","728","1393"
"061036","Francolise","2342","2319","4661"
"061037","Frignano","4420","4554","8974"
"061038","Gallo Matese","220","219","439"
"061039","Galluccio","986","1001","1987"
"061040","Giano Vetusto","318","347","665"
"061041","Gioia Sannitica","1596","1610","3206"
"061042","Grazzanise","3433","3372","6805"
"061043","Gricignano di Aversa","6694","6529","13223"
"061044","Letino","287","323","610"
"061045","Liberi","502","506","1008"
"061046","Lusciano","8052","8319","16371"
"061047","Macerata Campania","4956","5116","10072"
"061048","Maddaloni","17802","18736","36538"
"061049","Marcianise","18563","19481","38044"
"061050","Marzano Appio","988","925","1913"
"061051","Mignano Monte Lungo","1469","1505","2974"
"061052","Mondragone","13925","14404","28329"
"061053","Orta di Atella","13598","13856","27454"
"061054","Parete","6621","6650","13271"
"061055","Pastorano","1451","1401","2852"
"061056","Piana di Monte Verna","1049","1025","2074"
"061057","Piedimonte Matese","4807","5181","9988"
"061058","Pietramelara","2178","2272","4450"
"061059","Pietravairano","1380","1402","2782"
"061060","Pignataro Maggiore","2912","2907","5819"
"061061","Pontelatone","745","775","1520"
"061062","Portico di Caserta","3797","3941","7738"
"061063","Prata Sannita","644","677","1321"
"061064","Pratella","644","680","1324"
"061065","Presenzano","840","768","1608"
"061066","Raviscanina","555","574","1129"
"061067","Recale","3837","3871","7708"
"061068","Riardo","1072","1098","2170"
"061069","Rocca d'Evandro","1462","1465","2927"
"061070","Roccamonfina","1511","1576","3087"
"061071","Roccaromana","398","445","843"
"061072","Rocchetta e Croce","232","207","439"
"061073","Ruviano","787","839","1626"
"061074","San Cipriano d'Aversa","6786","6710","13496"
"061075","San Felice a Cancello","8291","8519","16810"
"061076","San Gregorio Matese","417","425","842"
"061077","San Marcellino","7311","7412","14723"
"061078","San Nicola la Strada","10787","11055","21842"
"061079","San Pietro Infine","379","396","775"
"061080","San Potito Sannitico","952","995","1947"
"061081","San Prisco","5751","6343","12094"
"061082","Santa Maria a Vico","6975","7400","14375"
"061083","Santa Maria Capua Vetere","15433","16622","32055"
"061084","Santa Maria la Fossa","1258","1244","2502"
"061085","San Tammaro","2870","2882","5752"
"061086","Sant'Angelo d'Alife","991","1056","2047"
"061087","Sant'Arpino","7746","7821","15567"
"061088","Sessa Aurunca","9875","10160","20035"
"061089","Sparanise","3593","3706","7299"
"061090","Succivo","4432","4486","8918"
"061091","Teano","5378","5573","10951"
"061092","Teverola","7377","7666","15043"
"061093","Tora e Piccilli","357","378","735"
"061094","Trentola Ducenta","10260","10637","20897"
"061095","Vairano Patenora","3081","3335","6416"
"061096","Valle Agricola","340","366","706"
"061097","Valle di Maddaloni","1264","1309","2573"
"061098","Villa di Briano","3782","3780","7562"
"061099","Villa Literno","6866","6164","13030"
"061100","Vitulazio","3763","3962","7725"
"061101","Falciano del Massico","1682","1747","3429"
"061102","Cellole","4002","4290","8292"
"061103","Casapesenna","3800","3627","7427"
"061104","San Marco Evangelista","3214","3260","6474"
