"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"087001","Aci Bonaccorsi","1689","1870","3559"
"087002","Aci Castello","8419","9063","17482"
"087003","Aci Catena","13429","13920","27349"
"087004","Acireale","24648","25880","50528"
"087005","Aci Sant'Antonio","8953","9138","18091"
"087006","Adrano","16276","17230","33506"
"087007","Belpasso","14064","14257","28321"
"087008","Biancavilla","11160","11757","22917"
"087009","Bronte","8767","9334","18101"
"087010","Calatabiano","2550","2595","5145"
"087011","Caltagirone","17428","17945","35373"
"087012","Camporotondo Etneo","2624","2584","5208"
"087013","Castel di Iudica","2053","2110","4163"
"087014","Castiglione di Sicilia","1391","1441","2832"
"087015","Catania","143549","153435","296984"
"087016","Fiumefreddo di Sicilia","4256","4709","8965"
"087017","Giarre","12849","13617","26466"
"087018","Grammichele","5949","6178","12127"
"087019","Gravina di Catania","12047","13283","25330"
"087020","Licodia Eubea","1385","1377","2762"
"087021","Linguaglossa","2398","2589","4987"
"087022","Maletto","1708","1814","3522"
"087023","Mascali","7155","7331","14486"
"087024","Mascalucia","15615","16509","32124"
"087025","Militello in Val di Catania","3293","3312","6605"
"087026","Milo","522","495","1017"
"087027","Mineo","2116","2229","4345"
"087028","Mirabella Imbaccari","1952","2180","4132"
"087029","Misterbianco","23715","24905","48620"
"087030","Motta Sant'Anastasia","5968","6171","12139"
"087031","Nicolosi","3841","3879","7720"
"087032","Palagonia","7576","7793","15369"
"087033","Paternò","21725","22777","44502"
"087034","Pedara","7735","7787","15522"
"087035","Piedimonte Etneo","1924","1941","3865"
"087036","Raddusa","1373","1378","2751"
"087037","Ramacca","5028","5001","10029"
"087038","Randazzo","4791","5168","9959"
"087039","Riposto","6818","7083","13901"
"087040","San Cono","1198","1165","2363"
"087041","San Giovanni la Punta","11806","12652","24458"
"087042","San Gregorio di Catania","5517","6001","11518"
"087043","San Michele di Ganzaria","1372","1435","2807"
"087044","San Pietro Clarenza","4155","4217","8372"
"087045","Sant'Agata li Battiati","4287","4930","9217"
"087046","Sant'Alfio","732","789","1521"
"087047","Santa Maria di Licodia","3775","3900","7675"
"087048","Santa Venerina","4150","4337","8487"
"087049","Scordia","7967","7918","15885"
"087050","Trecastagni","5626","5770","11396"
"087051","Tremestieri Etneo","9116","10056","19172"
"087052","Valverde","3860","3950","7810"
"087053","Viagrande","4359","4584","8943"
"087054","Vizzini","2704","2932","5636"
"087055","Zafferana Etnea","4694","4647","9341"
"087056","Mazzarrone","2020","1990","4010"
"087057","Maniace","1872","1867","3739"
"087058","Ragalna","2255","2141","4396"
