"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"079002","Albi","374","365","739"
"079003","Amaroni","779","816","1595"
"079004","Amato","371","398","769"
"079005","Andali","286","295","581"
"079007","Argusto","190","210","400"
"079008","Badolato","1360","1469","2829"
"079009","Belcastro","622","589","1211"
"079011","Borgia","3517","3668","7185"
"079012","Botricello","2464","2558","5022"
"079017","Caraffa di Catanzaro","855","827","1682"
"079018","Cardinale","804","909","1713"
"079020","Carlopoli","664","639","1303"
"079023","Catanzaro","39494","43214","82708"
"079024","Cenadi","243","259","502"
"079025","Centrache","180","173","353"
"079027","Cerva","466","545","1011"
"079029","Chiaravalle Centrale","2425","2647","5072"
"079030","Cicala","419","413","832"
"079033","Conflenti","667","650","1317"
"079034","Cortale","850","952","1802"
"079036","Cropani","2412","2500","4912"
"079039","Curinga","3173","3185","6358"
"079042","Davoli","2830","2849","5679"
"079043","Decollatura","1415","1402","2817"
"079047","Falerna","2127","1886","4013"
"079048","Feroleto Antico","944","987","1931"
"079052","Fossato Serralta","263","264","527"
"079055","Gagliato","192","219","411"
"079056","Gasperina","936","924","1860"
"079058","Gimigliano","1435","1460","2895"
"079059","Girifalco","2630","2771","5401"
"079060","Gizzeria","2844","2545","5389"
"079061","Guardavalle","1938","2066","4004"
"079063","Isca sullo Ionio","748","732","1480"
"079065","Jacurso","232","280","512"
"079068","Magisano","513","529","1042"
"079069","Maida","2197","2268","4465"
"079071","Marcedusa","182","172","354"
"079072","Marcellinara","1043","1105","2148"
"079073","Martirano","395","389","784"
"079074","Martirano Lombardo","458","465","923"
"079077","Miglierina","310","361","671"
"079080","Montauro","932","998","1930"
"079081","Montepaone","2927","2963","5890"
"079083","Motta Santa Lucia","418","400","818"
"079087","Nocera Terinese","2436","2337","4773"
"079088","Olivadi","236","245","481"
"079089","Palermiti","513","523","1036"
"079092","Pentone","872","919","1791"
"079094","Petrizzi","498","490","988"
"079095","Petronà","1135","1178","2313"
"079096","Pianopoli","1296","1276","2572"
"079099","Platania","1017","948","1965"
"079108","San Floro","345","346","691"
"079110","San Mango d'Aquino","666","718","1384"
"079114","San Pietro a Maida","1893","1917","3810"
"079115","San Pietro Apostolo","784","749","1533"
"079116","San Sostene","717","690","1407"
"079117","Santa Caterina dello Ionio","953","965","1918"
"079118","Sant'Andrea Apostolo dello Ionio","863","828","1691"
"079122","San Vito sullo Ionio","741","795","1536"
"079123","Satriano","1649","1722","3371"
"079126","Sellia","216","236","452"
"079127","Sellia Marina","3985","3813","7798"
"079129","Serrastretta","1429","1449","2878"
"079130","Sersale","1996","2091","4087"
"079131","Settingiano","1686","1606","3292"
"079133","Simeri Crichi","2309","2380","4689"
"079134","Sorbo San Basile","352","356","708"
"079137","Soverato","3929","4480","8409"
"079138","Soveria Mannelli","1314","1419","2733"
"079139","Soveria Simeri","686","727","1413"
"079142","Squillace","1803","1797","3600"
"079143","Stalettì","1228","1166","2394"
"079146","Taverna","1246","1219","2465"
"079147","Tiriolo","1724","1737","3461"
"079148","Torre di Ruggiero","437","496","933"
"079151","Vallefiorita","670","760","1430"
"079157","Zagarise","641","672","1313"
"079160","Lamezia Terme","33242","33763","67005"
