"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"069001","Altino","1490","1520","3010"
"069002","Archi","932","997","1929"
"069003","Ari","550","521","1071"
"069004","Arielli","512","530","1042"
"069005","Atessa","5037","5171","10208"
"069006","Bomba","345","341","686"
"069007","Borrello","160","168","328"
"069008","Bucchianico","2419","2473","4892"
"069009","Montebello sul Sangro","38","42","80"
"069010","Canosa Sannita","591","616","1207"
"069011","Carpineto Sinello","260","226","486"
"069012","Carunchio","301","234","535"
"069013","Casacanditella","594","578","1172"
"069014","Casalanguida","390","399","789"
"069015","Casalbordino","2705","2886","5591"
"069016","Casalincontrada","1455","1505","2960"
"069017","Casoli","2499","2534","5033"
"069018","Castel Frentano","2045","2136","4181"
"069019","Castelguidone","130","140","270"
"069020","Castiglione Messer Marino","692","706","1398"
"069021","Celenza sul Trigno","382","376","758"
"069022","Chieti","23197","25171","48368"
"069023","Civitaluparella","136","136","272"
"069024","Civitella Messer Raimondo","374","364","738"
"069025","Colledimacine","90","59","149"
"069026","Colledimezzo","207","194","401"
"069027","Crecchio","1265","1285","2550"
"069028","Cupello","2447","2452","4899"
"069029","Dogliola","167","137","304"
"069030","Fara Filiorum Petri","1009","963","1972"
"069031","Fara San Martino","631","622","1253"
"069032","Filetto","396","411","807"
"069033","Fossacesia","3128","3141","6269"
"069034","Fraine","113","125","238"
"069035","Francavilla al Mare","12155","13366","25521"
"069036","Fresagrandinaria","462","451","913"
"069037","Frisa","777","817","1594"
"069038","Furci","377","402","779"
"069039","Gamberale","138","129","267"
"069040","Gessopalena","562","575","1137"
"069041","Gissi","1196","1205","2401"
"069042","Giuliano Teatino","547","558","1105"
"069043","Guardiagrele","4028","4133","8161"
"069044","Guilmi","233","210","443"
"069045","Lama dei Peligni","499","508","1007"
"069046","Lanciano","16349","17494","33843"
"069047","Lentella","339","314","653"
"069048","Lettopalena","168","138","306"
"069049","Liscia","326","297","623"
"069050","Miglianico","2285","2335","4620"
"069051","Montazzoli","395","395","790"
"069052","Monteferrante","54","46","100"
"069053","Montelapiano","32","36","68"
"069054","Montenerodomo","295","267","562"
"069055","Monteodorisio","1156","1158","2314"
"069056","Mozzagrogna","1170","1252","2422"
"069057","Orsogna","1739","1856","3595"
"069058","Ortona","10727","11194","21921"
"069059","Paglieta","2034","2066","4100"
"069060","Palena","606","590","1196"
"069061","Palmoli","451","400","851"
"069062","Palombaro","456","465","921"
"069063","Pennadomo","99","102","201"
"069064","Pennapiedimonte","185","180","365"
"069065","Perano","722","741","1463"
"069066","Pizzoferrato","502","447","949"
"069067","Poggiofiorito","360","391","751"
"069068","Pollutri","988","1028","2016"
"069069","Pretoro","422","437","859"
"069070","Quadri","315","357","672"
"069071","Rapino","562","553","1115"
"069072","Ripa Teatina","1969","1930","3899"
"069073","Roccamontepiano","771","762","1533"
"069074","Rocca San Giovanni","1141","1158","2299"
"069075","Roccascalegna","510","501","1011"
"069076","Roccaspinalveti","548","573","1121"
"069077","Roio del Sangro","56","45","101"
"069078","Rosello","86","89","175"
"069079","San Buono","429","406","835"
"069080","San Giovanni Lipioni","72","67","139"
"069081","San Giovanni Teatino","7142","7399","14541"
"069082","San Martino sulla Marrucina","429","439","868"
"069083","San Salvo","9960","9958","19918"
"069084","Santa Maria Imbaro","1012","1010","2022"
"069085","Sant'Eusanio del Sangro","1080","1144","2224"
"069086","San Vito Chietino","2513","2545","5058"
"069087","Scerni","1438","1463","2901"
"069088","Schiavi di Abruzzo","302","314","616"
"069089","Taranta Peligna","157","144","301"
"069090","Tollo","1923","1945","3868"
"069091","Torino di Sangro","1499","1426","2925"
"069092","Tornareccio","817","823","1640"
"069093","Torrebruna","305","330","635"
"069094","Torrevecchia Teatina","2078","2105","4183"
"069095","Torricella Peligna","527","550","1077"
"069096","Treglio","846","875","1721"
"069097","Tufillo","144","163","307"
"069098","Vacri","734","737","1471"
"069099","Vasto","20039","20881","40920"
"069100","Villalfonsina","428","427","855"
"069101","Villamagna","1057","1069","2126"
"069102","Villa Santa Maria","547","525","1072"
"069103","Pietraferrazzana","62","64","126"
"069104","Fallo","66","55","121"
