"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"013003","Albavilla","3112","3236","6348"
"013004","Albese con Cassano","2081","2196","4277"
"013005","Albiolo","1430","1370","2800"
"013006","Alserio","714","703","1417"
"013007","Alzate Brianza","2395","2439","4834"
"013009","Anzano del Parco","821","854","1675"
"013010","Appiano Gentile","3769","3980","7749"
"013011","Argegno","337","339","676"
"013012","Arosio","2592","2635","5227"
"013013","Asso","1776","1779","3555"
"013015","Barni","304","307","611"
"013021","Bene Lario","175","174","349"
"013022","Beregazzo con Figliaro","1385","1440","2825"
"013023","Binago","2393","2421","4814"
"013024","Bizzarone","906","883","1789"
"013025","Blessagno","160","153","313"
"013026","Blevio","474","528","1002"
"013028","Bregnano","3240","3162","6402"
"013029","Brenna","1115","1079","2194"
"013030","Brienno","152","159","311"
"013032","Brunate","778","794","1572"
"013034","Bulgarograsso","2000","1957","3957"
"013035","Cabiate","3668","3736","7404"
"013036","Cadorago","4037","4014","8051"
"013037","Caglio","247","229","476"
"013040","Campione d'Italia","925","923","1848"
"013041","Cantù","19917","20534","40451"
"013042","Canzo","2555","2668","5223"
"013043","Capiago Intimiano","2658","2775","5433"
"013044","Carate Urio","534","556","1090"
"013045","Carbonate","1485","1492","2977"
"013046","Carimate","2173","2201","4374"
"013047","Carlazzo","1512","1634","3146"
"013048","Carugo","3328","3330","6658"
"013052","Caslino d'Erba","823","847","1670"
"013053","Casnate con Bernate","2460","2573","5033"
"013055","Cassina Rizzardi","1616","1647","3263"
"013058","Castelmarte","669","598","1267"
"013059","Castelnuovo Bozzente","457","459","916"
"013062","Cavargna","92","79","171"
"013063","Cerano d'Intelvi","275","318","593"
"013064","Cermenate","4676","4781","9457"
"013065","Cernobbio","2940","3212","6152"
"013068","Cirimido","1118","1080","2198"
"013071","Claino con Osteno","286","257","543"
"013074","Colonno","217","215","432"
"013075","Como","40433","42602","83035"
"013077","Corrido","426","419","845"
"013083","Cremia","333","341","674"
"013084","Cucciago","1686","1679","3365"
"013085","Cusino","131","119","250"
"013087","Dizzasco","308","334","642"
"013089","Domaso","685","707","1392"
"013090","Dongo","1555","1603","3158"
"013092","Dosso del Liro","114","121","235"
"013095","Erba","7931","8335","16266"
"013097","Eupilio","1274","1252","2526"
"013098","Faggeto Lario","542","521","1063"
