"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"078001","Acquaformosa","480","450","930"
"078002","Acquappesa","854","900","1754"
"078003","Acri","8775","9284","18059"
"078004","Aiello Calabro","662","662","1324"
"078005","Aieta","350","353","703"
"078006","Albidona","526","521","1047"
"078007","Alessandria del Carretto","185","152","337"
"078008","Altilia","367","302","669"
"078009","Altomonte","1916","2027","3943"
"078010","Amantea","6858","7001","13859"
"078011","Amendolara","1287","1303","2590"
"078012","Aprigliano","1133","1174","2307"
"078013","Belmonte Calabro","802","862","1664"
"078014","Belsito","461","431","892"
"078015","Belvedere Marittimo","4282","4645","8927"
"078016","Bianchi","590","551","1141"
"078017","Bisignano","4724","4704","9428"
"078018","Bocchigliero","502","536","1038"
"078019","Bonifati","1207","1297","2504"
"078020","Buonvicino","937","1034","1971"
"078021","Calopezzati","609","615","1224"
"078022","Caloveto","505","541","1046"
"078023","Campana","663","674","1337"
"078024","Canna","286","291","577"
"078025","Cariati","3699","3883","7582"
"078026","Carolei","1526","1501","3027"
"078027","Carpanzano","87","98","185"
"078029","Cassano all'Ionio","8267","8070","16337"
"078030","Castiglione Cosentino","1445","1286","2731"
"078031","Castrolibero","4339","4735","9074"
"078032","Castroregio","125","83","208"
"078033","Castrovillari","9853","10578","20431"
"078034","Celico","1230","1191","2421"
"078035","Cellara","243","230","473"
"078036","Cerchiara di Calabria","1046","1028","2074"
"078037","Cerisano","1444","1465","2909"
"078038","Cervicati","388","379","767"
"078039","Cerzeto","609","599","1208"
"078040","Cetraro","4498","4661","9159"
"078041","Civita","366","407","773"
"078042","Cleto","668","602","1270"
"078043","Colosimi","528","549","1077"
"078045","Cosenza","29989","33460","63449"
"078046","Cropalati","473","474","947"
"078047","Crosia","4787","4829","9616"
"078048","Diamante","2397","2550","4947"
"078049","Dipignano","1977","2077","4054"
"078050","Domanico","447","468","915"
"078051","Fagnano Castello","1583","1674","3257"
"078052","Falconara Albanese","738","769","1507"
"078053","Figline Vegliaturo","528","560","1088"
"078054","Firmo","871","887","1758"
"078055","Fiumefreddo Bruzio","1992","1987","3979"
"078056","Francavilla Marittima","1338","1370","2708"
"078057","Frascineto","866","946","1812"
"078058","Fuscaldo","4062","3861","7923"
"078059","Grimaldi","762","727","1489"
"078060","Grisolia","1066","1095","2161"
"078061","Guardia Piemontese","866","901","1767"
"078062","Lago","1177","1185","2362"
"078063","Laino Borgo","772","806","1578"
"078064","Laino Castello","351","398","749"
"078065","Lappano","443","406","849"
"078066","Lattarico","1810","1861","3671"
"078067","Longobardi","1709","1509","3218"
"078068","Longobucco","1195","1240","2435"
"078069","Lungro","1023","1023","2046"
"078070","Luzzi","4277","4403","8680"
"078071","Maierà","565","542","1107"
"078072","Malito","336","345","681"
"078073","Malvito","788","779","1567"
"078074","Mandatoriccio","1221","1171","2392"
"078075","Mangone","954","941","1895"
"078076","Marano Marchesato","1603","1726","3329"
"078077","Marano Principato","1466","1529","2995"
"078078","Marzi","480","459","939"
"078079","Mendicino","4446","4446","8892"
"078080","Mongrassano","715","731","1446"
