"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"019001","Acquanegra Cremonese","583","584","1167"
"019002","Agnadello","1983","1980","3963"
"019003","Annicco","999","981","1980"
"019004","Azzanello","317","314","631"
"019005","Bagnolo Cremasco","2569","2546","5115"
"019006","Bonemerse","702","732","1434"
"019007","Bordolano","322","280","602"
"019009","Calvatone","594","536","1130"
"019010","Camisano","633","620","1253"
"019011","Campagnola Cremasca","319","330","649"
"019012","Capergnanica","1104","1046","2150"
"019013","Cappella Cantone","271","267","538"
"019014","Cappella de' Picenardi","232","190","422"
"019015","Capralba","1162","1131","2293"
"019016","Casalbuttano ed Uniti","1911","1885","3796"
"019017","Casale Cremasco-Vidolasco","948","867","1815"
"019018","Casaletto Ceredano","594","577","1171"
"019019","Casaletto di Sopra","278","249","527"
"019020","Casaletto Vaprio","880","898","1778"
"019021","Casalmaggiore","7676","7438","15114"
"019022","Casalmorano","868","859","1727"
"019023","Casteldidone","280","262","542"
"019024","Castel Gabbiano","290","252","542"
"019025","Castelleone","4598","4742","9340"
"019026","Castelverde","2848","2851","5699"
"019027","Castelvisconti","161","145","306"
"019028","Cella Dati","252","262","514"
"019029","Chieve","1129","1141","2270"
"019030","Cicognolo","489","488","977"
"019031","Cingia de' Botti","593","578","1171"
"019032","Corte de' Cortesi con Cignone","563","507","1070"
"019033","Corte de' Frati","674","644","1318"
"019034","Credera Rubbiano","729","747","1476"
"019035","Crema","16538","17609","34147"
"019036","Cremona","34732","36361","71093"
"019037","Cremosano","890","840","1730"
"019038","Crotta d'Adda","325","288","613"
"019039","Cumignano sul Naviglio","213","193","406"
"019040","Derovere","145","139","284"
"019041","Dovera","1852","1882","3734"
"019043","Fiesco","614","603","1217"
"019044","Formigara","512","526","1038"
"019045","Gabbioneta-Binanuova","436","423","859"
"019046","Gadesco-Pieve Delmona","966","916","1882"
"019047","Genivolta","549","533","1082"
"019048","Gerre de' Caprioli","669","641","1310"
"019049","Gombito","321","290","611"
"019050","Grontardo","751","747","1498"
"019051","Grumello Cremonese ed Uniti","884","841","1725"
"019052","Gussola","1348","1339","2687"
"019053","Isola Dovarese","539","526","1065"
"019054","Izano","995","956","1951"
"019055","Madignano","1397","1367","2764"
"019056","Malagnino","824","879","1703"
"019057","Martignana di Po","1021","1003","2024"
"019058","Monte Cremasco","1110","1107","2217"
"019059","Montodine","1197","1197","2394"
"019060","Moscazzano","358","339","697"
"019061","Motta Baluffi","401","368","769"
"019062","Offanengo","2973","2972","5945"
"019063","Olmeneta","444","490","934"
"019064","Ostiano","1450","1375","2825"
"019065","Paderno Ponchielli","666","626","1292"
"019066","Palazzo Pignano","1912","1881","3793"
"019067","Pandino","4457","4531","8988"
"019068","Persico Dosimo","1621","1629","3250"
"019069","Pescarolo ed Uniti","778","769","1547"
"019070","Pessina Cremonese","298","276","574"
"019072","Pianengo","1309","1261","2570"
"019073","Pieranica","562","545","1107"
"019074","Pieve d'Olmi","613","625","1238"
"019075","Pieve San Giacomo","790","781","1571"
"019076","Pizzighettone","3081","3161","6242"
"019077","Pozzaglio ed Uniti","715","701","1416"
"019078","Quintano","470","462","932"
"019079","Ricengo","893","831","1724"
"019080","Ripalta Arpina","568","520","1088"
"019081","Ripalta Cremasca","1726","1728","3454"
"019082","Ripalta Guerina","285","253","538"
"019083","Rivarolo del Re ed Uniti","955","893","1848"
"019084","Rivolta d'Adda","4130","4228","8358"
"019085","Robecco d'Oglio","1107","1143","2250"
"019086","Romanengo","1620","1637","3257"
"019087","Salvirola","572","571","1143"
"019088","San Bassano","981","1076","2057"
"019089","San Daniele Po","677","620","1297"
"019090","San Giovanni in Croce","983","932","1915"
"019091","San Martino del Lago","190","194","384"
"019092","Scandolara Ravara","644","593","1237"
"019093","Scandolara Ripa d'Oglio","266","239","505"
"019094","Sergnano","1770","1690","3460"
"019095","Sesto ed Uniti","1660","1626","3286"
"019096","Solarolo Rainerio","465","456","921"
"019097","Soncino","3780","3774","7554"
"019098","Soresina","4689","4617","9306"
"019099","Sospiro","1569","1472","3041"
"019100","Spinadesco","741","744","1485"
"019101","Spineda","295","313","608"
"019102","Spino d'Adda","3497","3516","7013"
"019103","Stagno Lombardo","712","690","1402"
"019104","Ticengo","228","227","455"
"019105","Torlino Vimercati","229","222","451"
"019106","Tornata","223","177","400"
"019107","Torre de' Picenardi","1121","1062","2183"
"019108","Torricella del Pizzo","302","283","585"
"019109","Trescore Cremasco","1435","1481","2916"
"019110","Trigolo","780","868","1648"
"019111","Vaiano Cremasco","1813","1779","3592"
"019112","Vailate","2379","2344","4723"
"019113","Vescovato","2024","1970","3994"
"019114","Volongo","241","214","455"
"019115","Voltido","168","166","334"
"019116","Piadena Drizzona","2055","2008","4063"
