"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"101001","Belvedere di Spinello","920","958","1878"
"101002","Caccuri","751","746","1497"
"101003","Carfizzi","277","257","534"
"101004","Casabona","1033","1130","2163"
"101005","Castelsilano","450","452","902"
"101006","Cerenzia","484","499","983"
"101007","Cirò","1096","1225","2321"
"101008","Cirò Marina","6943","7290","14233"
"101009","Cotronei","2501","2567","5068"
"101010","Crotone","28661","29475","58136"
"101011","Crucoli","1311","1441","2752"
"101012","Cutro","4548","4617","9165"
"101013","Isola di Capo Rizzuto","10255","8730","18985"
"101014","Melissa","1626","1671","3297"
"101015","Mesoraca","2793","2908","5701"
"101016","Pallagorio","434","448","882"
"101017","Petilia Policastro","4223","4207","8430"
"101018","Roccabernarda","1500","1545","3045"
"101019","Rocca di Neto","2623","2663","5286"
"101020","San Mauro Marchesato","906","962","1868"
"101021","San Nicola dell'Alto","330","315","645"
"101022","Santa Severina","907","922","1829"
"101023","Savelli","519","486","1005"
"101024","Scandale","1404","1452","2856"
"101025","Strongoli","2990","3123","6113"
"101026","Umbriatico","340","345","685"
"101027","Verzino","725","781","1506"
