"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"004001","Acceglio","84","87","171"
"004002","Aisone","105","101","206"
"004003","Alba","14843","16142","30985"
"004004","Albaretto della Torre","99","106","205"
"004005","Alto","80","72","152"
"004006","Argentera","38","38","76"
"004007","Arguello","96","94","190"
"004008","Bagnasco","458","471","929"
"004009","Bagnolo Piemonte","2812","2873","5685"
"004010","Baldissero d'Alba","531","512","1043"
"004011","Barbaresco","300","300","600"
"004012","Barge","3806","3704","7510"
"004013","Barolo","292","321","613"
"004014","Bastia Mondovì","311","317","628"
"004015","Battifollo","162","94","256"
"004016","Beinette","1780","1760","3540"
"004017","Bellino","52","47","99"
"004018","Belvedere Langhe","160","173","333"
"004019","Bene Vagienna","1842","1803","3645"
"004020","Benevello","221","236","457"
"004021","Bergolo","26","25","51"
"004022","Bernezzo","2138","2138","4276"
"004023","Bonvicino","49","53","102"
"004024","Borgomale","173","199","372"
"004025","Borgo San Dalmazzo","6230","6388","12618"
"004026","Bosia","81","87","168"
"004027","Bossolasco","316","348","664"
"004028","Boves","4771","4841","9612"
"004029","Bra","14538","15292","29830"
"004030","Briaglia","165","146","311"
"004031","Briga Alta","25","16","41"
"004032","Brondello","144","116","260"
"004033","Brossasco","488","491","979"
"004034","Busca","5164","5064","10228"
"004035","Camerana","277","274","551"
"004037","Canale","2681","2723","5404"
"004038","Canosio","39","37","76"
"004039","Caprauna","44","34","78"
"004040","Caraglio","3447","3395","6842"
"004041","Caramagna Piemonte","1505","1508","3013"
"004042","Cardè","579","595","1174"
"004043","Carrù","2284","2210","4494"
"004044","Cartignano","79","82","161"
"004045","Casalgrasso","748","710","1458"
"004046","Castagnito","1147","1147","2294"
"004047","Casteldelfino","70","73","143"
"004049","Castelletto Stura","692","685","1377"
"004050","Castelletto Uzzone","143","134","277"
"004051","Castellinaldo d'Alba","463","448","911"
"004052","Castellino Tanaro","137","136","273"
"004053","Castelmagno","34","17","51"
"004054","Castelnuovo di Ceva","50","52","102"
"004055","Castiglione Falletto","334","321","655"
"004056","Castiglione Tinella","393","353","746"
"004057","Castino","228","203","431"
"004058","Cavallerleone","340","324","664"
"004059","Cavallermaggiore","2689","2640","5329"
"004060","Celle di Macra","47","36","83"
"004061","Centallo","3673","3312","6985"
"004062","Ceresole Alba","998","977","1975"
"004063","Cerretto Langhe","197","190","387"
"004064","Cervasca","2627","2563","5190"
"004065","Cervere","1145","1135","2280"
"004066","Ceva","3013","2882","5895"
"004067","Cherasco","4874","4839","9713"
"004068","Chiusa di Pesio","1872","1844","3716"
"004069","Cigliè","101","95","196"
"004070","Cissone","46","30","76"
"004071","Clavesana","375","400","775"
"004072","Corneliano d'Alba","1067","1100","2167"
"004073","Cortemilia","1034","1070","2104"
"004074","Cossano Belbo","438","420","858"
"004075","Costigliole Saluzzo","1735","1572","3307"
"004076","Cravanzana","166","178","344"
"004077","Crissolo","76","56","132"
"004078","Cuneo","27258","28489","55747"
"004079","Demonte","978","870","1848"
"004080","Diano d'Alba","1796","1751","3547"
"004081","Dogliani","2340","2265","4605"
"004082","Dronero","3537","3470","7007"
"004083","Elva","39","41","80"
"004084","Entracque","363","378","741"
"004085","Envie","996","956","1952"
"004086","Farigliano","850","848","1698"
"004087","Faule","235","239","474"
"004088","Feisoglio","139","149","288"
"004089","Fossano","12121","12036","24157"
"004090","Frabosa Soprana","432","308","740"
"004091","Frabosa Sottana","889","755","1644"
"004092","Frassino","137","113","250"
"004093","Gaiola","301","273","574"
"004094","Gambasca","201","175","376"
"004095","Garessio","1388","1445","2833"
"004096","Genola","1307","1257","2564"
"004097","Gorzegno","118","121","239"
"004098","Gottasecca","59","57","116"
"004099","Govone","1102","1131","2233"
"004100","Grinzane Cavour","954","984","1938"
"004101","Guarene","1758","1790","3548"
"004102","Igliano","33","30","63"
"004103","Isasca","37","26","63"
"004104","Lagnasco","729","655","1384"
"004105","La Morra","1336","1290","2626"
"004106","Lequio Berria","234","191","425"
"004107","Lequio Tanaro","392","338","730"
"004108","Lesegno","462","405","867"
"004109","Levice","90","84","174"
"004110","Limone Piemonte","665","664","1329"
"004111","Lisio","86","95","181"
"004112","Macra","21","21","42"
"004113","Magliano Alfieri","1054","1115","2169"
"004114","Magliano Alpi","1089","1077","2166"
"004115","Mango","627","606","1233"
"004116","Manta","1904","1966","3870"
"004117","Marene","1735","1632","3367"
"004118","Margarita","715","698","1413"
"004119","Marmora","27","29","56"
"004120","Marsaglia","117","105","222"
"004121","Martiniana Po","454","357","811"
"004122","Melle","163","130","293"
"004123","Moiola","116","96","212"
"004124","Mombarcaro","129","134","263"
"004125","Mombasiglio","272","290","562"
"004126","Monastero di Vasco","619","638","1257"
"004127","Monasterolo Casotto","43","39","82"
"004128","Monasterolo di Savigliano","654","658","1312"
"004129","Monchiero","299","282","581"
"004130","Mondovì","11126","11245","22371"
"004131","Monesiglio","269","298","567"
"004132","Monforte d'Alba","940","924","1864"
"004133","Montà","2248","2401","4649"
"004134","Montaldo di Mondovì","279","271","550"
"004135","Montaldo Roero","443","451","894"
"004136","Montanera","355","327","682"
"004137","Montelupo Albese","239","241","480"
"004138","Montemale di Cuneo","125","119","244"
"004139","Monterosso Grana","312","236","548"
"004140","Monteu Roero","804","778","1582"
"004141","Montezemolo","117","112","229"
"004142","Monticello d'Alba","1156","1177","2333"
"004143","Moretta","2020","2021","4041"
"004144","Morozzo","1035","997","2032"
"004145","Murazzano","419","422","841"
"004146","Murello","475","461","936"
"004147","Narzole","1779","1749","3528"
"004148","Neive","1565","1627","3192"
"004149","Neviglie","184","166","350"
"004150","Niella Belbo","158","154","312"
"004151","Niella Tanaro","499","440","939"
"004152","Novello","457","464","921"
"004153","Nucetto","198","189","387"
"004154","Oncino","45","37","82"
"004155","Ormea","752","694","1446"
"004156","Ostana","42","36","78"
"004157","Paesana","1342","1321","2663"
"004158","Pagno","284","285","569"
"004159","Pamparato","149","114","263"
"004160","Paroldo","90","92","182"
"004161","Perletto","136","119","255"
"004162","Perlo","61","45","106"
"004163","Peveragno","2736","2766","5502"
"004164","Pezzolo Valle Uzzone","133","148","281"
"004165","Pianfei","1049","1044","2093"
"004166","Piasco","1383","1375","2758"
"004167","Pietraporzio","34","34","68"
"004168","Piobesi d'Alba","739","730","1469"
"004169","Piozzo","510","481","991"
"004170","Pocapaglia","1626","1680","3306"
"004171","Polonghera","550","569","1119"
"004172","Pontechianale","95","92","187"
"004173","Pradleves","139","123","262"
"004174","Prazzo","85","81","166"
"004175","Priero","248","238","486"
"004176","Priocca","1003","1013","2016"
"004177","Priola","296","313","609"
"004178","Prunetto","187","182","369"
"004179","Racconigi","4801","4825","9626"
"004180","Revello","2139","2045","4184"
"004181","Rifreddo","506","508","1014"
"004182","Rittana","47","51","98"
"004183","Roaschia","40","47","87"
"004184","Roascio","44","39","83"
"004185","Robilante","1053","1050","2103"
"004186","Roburent","255","232","487"
"004187","Roccabruna","759","760","1519"
"004188","Rocca Cigliè","61","63","124"
"004189","Rocca de' Baldi","813","802","1615"
"004190","Roccaforte Mondovì","1098","1034","2132"
"004191","Roccasparvera","383","361","744"
"004192","Roccavione","1299","1311","2610"
"004193","Rocchetta Belbo","75","75","150"
"004194","Roddi","832","759","1591"
"004195","Roddino","210","184","394"
"004196","Rodello","465","494","959"
"004197","Rossana","431","405","836"
"004198","Ruffia","191","166","357"
"004199","Sale delle Langhe","244","229","473"
"004200","Sale San Giovanni","77","74","151"
"004201","Saliceto","556","588","1144"
"004202","Salmour","393","326","719"
"004203","Saluzzo","8685","8890","17575"
"004204","Sambuco","41","40","81"
"004205","Sampeyre","486","481","967"
"004206","San Benedetto Belbo","73","68","141"
"004207","San Damiano Macra","210","192","402"
"004208","Sanfrè","1505","1546","3051"
"004209","Sanfront","1111","1142","2253"
"004210","San Michele Mondovì","955","941","1896"
"004211","Sant'Albano Stura","1266","1154","2420"
