"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"086001","Agira","3726","3803","7529"
"086002","Aidone","2137","2068","4205"
"086003","Assoro","2359","2390","4749"
"086004","Barrafranca","5402","6054","11456"
"086005","Calascibetta","1930","2018","3948"
"086006","Catenanuova","2204","2254","4458"
"086007","Centuripe","2438","2543","4981"
"086008","Cerami","913","954","1867"
"086009","Enna","11884","13000","24884"
"086010","Gagliano Castelferrato","1504","1607","3111"
"086011","Leonforte","5824","6199","12023"
"086012","Nicosia","6027","6355","12382"
"086013","Nissoria","1403","1378","2781"
"086014","Piazza Armerina","10227","10331","20558"
"086015","Pietraperzia","2951","3232","6183"
"086016","Regalbuto","3291","3265","6556"
"086017","Sperlinga","316","323","639"
"086018","Troina","3980","4221","8201"
"086019","Valguarnera Caropepe","3195","3548","6743"
"086020","Villarosa","2063","2208","4271"
