"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"109001","Altidona","1833","1966","3799"
"109002","Amandola","1611","1595","3206"
"109003","Belmonte Piceno","263","282","545"
"109004","Campofilone","971","959","1930"
"109005","Falerone","1602","1546","3148"
"109006","Fermo","17505","18348","35853"
"109007","Francavilla d'Ete","476","438","914"
"109008","Grottazzolina","1584","1655","3239"
"109009","Lapedona","572","572","1144"
"109010","Magliano di Tenna","718","687","1405"
"109011","Massa Fermana","394","425","819"
"109012","Monsampietro Morico","289","293","582"
"109013","Montappone","761","776","1537"
"109014","Montefalcone Appennino","180","183","363"
"109015","Montefortino","506","508","1014"
"109016","Monte Giberto","368","369","737"
"109017","Montegiorgio","3085","3151","6236"
"109018","Montegranaro","6265","6217","12482"
"109019","Monteleone di Fermo","182","169","351"
"109020","Montelparo","355","329","684"
"109021","Monte Rinaldo","155","147","302"
"109022","Monterubbiano","989","975","1964"
"109023","Monte San Pietrangeli","1047","1100","2147"
"109024","Monte Urano","3867","3910","7777"
"109025","Monte Vidon Combatte","189","205","394"
"109026","Monte Vidon Corrado","340","326","666"
"109027","Montottone","413","477","890"
"109028","Moresco","247","263","510"
"109029","Ortezzano","366","364","730"
"109030","Pedaso","1359","1460","2819"
"109031","Petritoli","1031","1055","2086"
"109032","Ponzano di Fermo","806","783","1589"
"109033","Porto San Giorgio","7298","8190","15488"
"109034","Porto Sant'Elpidio","12621","13114","25735"
"109035","Rapagnano","962","946","1908"
"109036","Santa Vittoria in Matenano","530","579","1109"
"109037","Sant'Elpidio a Mare","8129","8196","16325"
"109038","Servigliano","1129","1076","2205"
"109039","Smerillo","169","161","330"
"109040","Torre San Patrizio","905","905","1810"
