"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"038001","Argenta","10558","10737","21295"
"038003","Bondeno","7090","7089","14179"
"038004","Cento","17794","18042","35836"
"038005","Codigoro","5264","5668","10932"
"038006","Comacchio","10844","11159","22003"
"038007","Copparo","7523","8134","15657"
"038008","Ferrara","61868","67180","129048"
"038010","Jolanda di Savoia","1302","1293","2595"
"038011","Lagosanto","2247","2411","4658"
"038012","Masi Torello","1060","1181","2241"
"038014","Mesola","3082","3233","6315"
"038017","Ostellato","2792","2817","5609"
"038018","Poggio Renatico","4800","4920","9720"
"038019","Portomaggiore","6397","6036","12433"
"038022","Vigarano Mainarda","3771","3866","7637"
"038023","Voghiera","1753","1841","3594"
"038025","Goro","1608","1745","3353"
"038027","Fiscaglia","4235","4328","8563"
"038028","Terre del Reno","5176","5281","10457"
"038029","Riva del Po","3662","3739","7401"
"038030","Tresignana","3368","3588","6956"
