"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"048001","Bagno a Ripoli","11771","13035","24806"
"048002","Barberino di Mugello","5473","5508","10981"
"048004","Borgo San Lorenzo","9008","9404","18412"
"048005","Calenzano","8843","9165","18008"
"048006","Campi Bisenzio","23602","23833","47435"
"048008","Capraia e Limite","3833","3971","7804"
"048010","Castelfiorentino","8631","8857","17488"
"048011","Cerreto Guidi","5184","5475","10659"
"048012","Certaldo","7824","7907","15731"
"048013","Dicomano","2911","2699","5610"
"048014","Empoli","24191","25335","49526"
"048015","Fiesole","6626","7116","13742"
"048017","Firenze","171535","190090","361625"
"048018","Firenzuola","2253","2191","4444"
"048019","Fucecchio","11315","11604","22919"
"048020","Gambassi Terme","2381","2491","4872"
"048021","Greve in Chianti","6620","6745","13365"
"048022","Impruneta","6832","7354","14186"
"048024","Lastra a Signa","9883","9997","19880"
"048025","Londa","939","909","1848"
"048026","Marradi","1423","1385","2808"
"048027","Montaione","1688","1745","3433"
"048028","Montelupo Fiorentino","6925","7347","14272"
"048030","Montespertoli","6512","6685","13197"
"048031","Palazzuolo sul Senio","579","516","1095"
"048032","Pelago","3986","3980","7966"
"048033","Pontassieve","9933","10189","20122"
"048035","Reggello","8205","8350","16555"
"048036","Rignano sull'Arno","4238","4273","8511"
"048037","Rufina","3509","3594","7103"
"048038","San Casciano in Val di Pesa","7845","8443","16288"
"048039","San Godenzo","591","524","1115"
"048041","Scandicci","23547","25588","49135"
"048043","Sesto Fiorentino","23533","25704","49237"
"048044","Signa","9345","9645","18990"
"048046","Vaglia","2692","2679","5371"
"048049","Vicchio","4150","4014","8164"
"048050","Vinci","7180","7394","14574"
"048052","Figline e Incisa Valdarno","11399","11892","23291"
"048053","Scarperia e San Piero","5921","6022","11943"
"048054","Barberino Tavarnelle","5985","5998","11983"
