"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"071001","Accadia","1109","1095","2204"
"071002","Alberona","419","417","836"
"071003","Anzano di Puglia","511","544","1055"
"071004","Apricena","6299","6187","12486"
"071005","Ascoli Satriano","2874","2760","5634"
"071006","Biccari","1291","1288","2579"
"071007","Bovino","1431","1431","2862"
"071008","Cagnano Varano","3204","3321","6525"
"071009","Candela","1393","1303","2696"
"071010","Carapelle","3405","3463","6868"
"071011","Carlantino","354","392","746"
"071012","Carpino","1868","1830","3698"
"071013","Casalnuovo Monterotaro","704","698","1402"
"071014","Casalvecchio di Puglia","803","817","1620"
"071015","Castelluccio dei Sauri","1007","951","1958"
"071016","Castelluccio Valmaggiore","574","603","1177"
"071017","Castelnuovo della Daunia","618","600","1218"
"071018","Celenza Valfortore","604","663","1267"
"071019","Celle di San Vito","69","74","143"
"071020","Cerignola","28250","28461","56711"
"071021","Chieuti","731","736","1467"
"071022","Deliceto","1701","1723","3424"
"071023","Faeto","322","302","624"
"071024","Foggia","72167","72911","145078"
"071025","Ischitella","2018","2010","4028"
"071026","Isole Tremiti","269","201","470"
"071027","Lesina","3198","3057","6255"
"071028","Lucera","14882","15453","30335"
"071029","Manfredonia","26367","26648","53015"
"071031","Mattinata","2874","2966","5840"
"071032","Monteleone di Puglia","482","432","914"
"071033","Monte Sant'Angelo","5353","5538","10891"
"071034","Motta Montecorvino","280","303","583"
"071035","Orsara di Puglia","1248","1221","2469"
"071036","Orta Nova","8250","8326","16576"
"071037","Panni","318","355","673"
"071038","Peschici","2143","2148","4291"
"071039","Pietramontecorvino","1141","1226","2367"
"071040","Poggio Imperiale","1343","1208","2551"
"071041","Rignano Garganico","847","875","1722"
"071042","Rocchetta Sant'Antonio","780","817","1597"
"071043","Rodi Garganico","1646","1660","3306"
"071044","Roseto Valfortore","478","504","982"
"071046","San Giovanni Rotondo","13017","13112","26129"
"071047","San Marco in Lamis","6065","6140","12205"
"071048","San Marco la Catola","395","415","810"
"071049","San Nicandro Garganico","6409","6958","13367"
"071050","San Paolo di Civitate","2659","2663","5322"
"071051","San Severo","24051","24756","48807"
"071052","Sant'Agata di Puglia","865","872","1737"
"071053","Serracapriola","1746","1782","3528"
"071054","Stornara","2937","2841","5778"
"071055","Stornarella","2681","2721","5402"
"071056","Torremaggiore","8165","8118","16283"
"071058","Troia","3141","3350","6491"
"071059","Vico del Gargano","3506","3646","7152"
"071060","Vieste","6510","6724","13234"
"071061","Volturara Appula","158","182","340"
"071062","Volturino","728","771","1499"
"071063","Ordona","1707","1659","3366"
"071064","Zapponeta","1641","1551","3192"
