"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"040001","Bagno di Romagna","2734","2850","5584"
"040003","Bertinoro","5520","5673","11193"
"040004","Borghi","1499","1416","2915"
"040005","Castrocaro Terme e Terra del Sole","3159","3371","6530"
"040007","Cesena","46519","49101","95620"
"040008","Cesenatico","12641","13401","26042"
"040009","Civitella di Romagna","1819","1807","3626"
"040011","Dovadola","781","810","1591"
"040012","Forlì","58019","60034","118053"
"040013","Forlimpopoli","6524","6616","13140"
"040014","Galeata","1313","1243","2556"
"040015","Gambettola","5361","5602","10963"
"040016","Gatteo","4720","4749","9469"
"040018","Longiano","3579","3615","7194"
"040019","Meldola","4982","5055","10037"
"040020","Mercato Saraceno","3486","3340","6826"
"040022","Modigliana","2149","2152","4301"
"040028","Montiano","838","857","1695"
"040031","Portico e San Benedetto","368","348","716"
"040032","Predappio","3258","3106","6364"
"040033","Premilcuore","344","331","675"
"040036","Rocca San Casciano","916","907","1823"
"040037","Roncofreddo","1804","1754","3558"
"040041","San Mauro Pascoli","6142","6316","12458"
"040043","Santa Sofia","2016","2017","4033"
"040044","Sarsina","1660","1627","3287"
"040045","Savignano sul Rubicone","9015","9132","18147"
"040046","Sogliano al Rubicone","1568","1577","3145"
"040049","Tredozio","545","530","1075"
"040050","Verghereto","897","824","1721"
