"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"060001","Acquafondata","137","116","253"
"060002","Acuto","888","891","1779"
"060003","Alatri","13441","13995","27436"
"060004","Alvito","1194","1240","2434"
"060005","Amaseno","2012","2017","4029"
"060006","Anagni","10132","10498","20630"
"060007","Aquino","2429","2469","4898"
"060008","Arce","2685","2691","5376"
"060009","Arnara","1037","1099","2136"
"060010","Arpino","3188","3324","6512"
"060011","Atina","1961","2118","4079"
"060012","Ausonia","1194","1211","2405"
"060013","Belmonte Castello","333","324","657"
"060014","Boville Ernica","4084","4130","8214"
"060015","Broccostella","1281","1328","2609"
"060016","Campoli Appennino","778","818","1596"
"060017","Casalattico","250","265","515"
"060018","Casalvieri","1179","1206","2385"
"060019","Cassino","17128","17632","34760"
"060020","Castelliri","1521","1568","3089"
"060021","Castelnuovo Parano","411","416","827"
"060022","Castrocielo","1800","1927","3727"
"060023","Castro dei Volsci","2110","2227","4337"
"060024","Ceccano","10712","11250","21962"
"060025","Ceprano","3953","3987","7940"
"060026","Cervaro","3772","3936","7708"
"060027","Colfelice","869","878","1747"
"060028","Collepardo","440","415","855"
"060029","Colle San Magno","310","293","603"
"060030","Coreno Ausonio","731","733","1464"
"060031","Esperia","1789","1756","3545"
"060032","Falvaterra","259","244","503"
"060033","Ferentino","9931","9971","19902"
"060034","Filettino","286","247","533"
"060035","Fiuggi","4945","5235","10180"
"060036","Fontana Liri","1261","1328","2589"
"060037","Fontechiari","561","630","1191"
"060038","Frosinone","20614","22222","42836"
"060039","Fumone","953","976","1929"
"060040","Gallinaro","562","602","1164"
"060041","Giuliano di Roma","1154","1156","2310"
"060042","Guarcino","773","715","1488"
"060043","Isola del Liri","5085","5432","10517"
"060044","Monte San Giovanni Campano","5874","5920","11794"
"060045","Morolo","1566","1548","3114"
"060046","Paliano","3922","3930","7852"
"060047","Pastena","621","627","1248"
"060048","Patrica","1556","1493","3049"
"060049","Pescosolido","697","675","1372"
"060050","Picinisco","549","557","1106"
"060051","Pico","1259","1295","2554"
"060052","Piedimonte San Germano","3150","3176","6326"
"060053","Piglio","2100","2148","4248"
"060054","Pignataro Interamna","1171","1203","2374"
"060055","Pofi","1900","1947","3847"
"060056","Pontecorvo","5914","6153","12067"
"060057","Posta Fibreno","510","525","1035"
"060058","Ripi","2495","2496","4991"
"060059","Rocca d'Arce","418","417","835"
"060060","Roccasecca","3336","3335","6671"
"060061","San Biagio Saracinisco","145","144","289"
"060062","San Donato Val di Comino","884","968","1852"
"060063","San Giorgio a Liri","1439","1488","2927"
"060064","San Giovanni Incarico","1476","1490","2966"
"060065","Sant'Ambrogio sul Garigliano","442","423","865"
"060066","Sant'Andrea del Garigliano","622","641","1263"
"060067","Sant'Apollinare","858","907","1765"
"060068","Sant'Elia Fiumerapido","2768","2781","5549"
"060069","Santopadre","591","584","1175"
"060070","San Vittore del Lazio","1184","1155","2339"
"060071","Serrone","1478","1457","2935"
"060072","Settefrati","346","354","700"
"060073","Sgurgola","1177","1203","2380"
"060074","Sora","12257","12415","24672"
"060075","Strangolagalli","1107","1146","2253"
"060076","Supino","2268","2289","4557"
"060077","Terelle","133","130","263"
"060078","Torre Cajetani","695","622","1317"
"060079","Torrice","2311","2337","4648"
"060080","Trevi nel Lazio","893","806","1699"
"060081","Trivigliano","787","807","1594"
"060082","Vallecorsa","1140","1183","2323"
"060083","Vallemaio","434","447","881"
"060084","Vallerotonda","684","681","1365"
"060085","Veroli","9580","9822","19402"
"060086","Vicalvi","324","370","694"
"060087","Vico nel Lazio","1024","1026","2050"
"060088","Villa Latina","567","562","1129"
"060089","Villa Santa Lucia","1224","1212","2436"
"060090","Villa Santo Stefano","777","787","1564"
"060091","Viticuso","141","141","282"
