"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"010001","Arenzano","5316","5818","11134"
"010002","Avegno","1265","1268","2533"
"010003","Bargagli","1256","1222","2478"
"010004","Bogliasco","2049","2200","4249"
"010005","Borzonasca","934","897","1831"
"010006","Busalla","2502","2608","5110"
"010007","Camogli","2374","2424","4798"
"010008","Campo Ligure","1416","1405","2821"
"010009","Campomorone","3147","3285","6432"
"010010","Carasco","1824","1883","3707"
"010011","Casarza Ligure","3314","3415","6729"
"010012","Casella","1562","1487","3049"
"010013","Castiglione Chiavarese","745","786","1531"
"010014","Ceranesi","1826","1758","3584"
"010015","Chiavari","12753","14682","27435"
"010016","Cicagna","1193","1146","2339"
"010017","Cogoleto","3959","4290","8249"
"010018","Cogorno","2810","2882","5692"
"010019","Coreglia Ligure","130","111","241"
"010020","Crocefieschi","301","245","546"
"010021","Davagna","955","817","1772"
"010022","Fascia","35","30","65"
"010023","Favale di Malvaro","209","212","421"
"010024","Fontanigorda","126","100","226"
"010025","Genova","272950","293297","566247"
"010026","Gorreto","42","42","84"
"010027","Isola del Cantone","719","706","1425"
"010028","Lavagna","5801","6610","12411"
"010029","Leivi","1210","1237","2447"
"010030","Lorsica","187","190","377"
"010031","Lumarzo","718","719","1437"
"010032","Masone","1637","1677","3314"
"010033","Mele","1271","1240","2511"
"010034","Mezzanego","803","760","1563"
"010035","Mignanego","1759","1783","3542"
"010036","Moconesi","1267","1156","2423"
"010037","Moneglia","1217","1273","2490"
"010038","Montebruno","99","100","199"
"010039","Montoggio","1034","986","2020"
"010040","Ne","1106","1020","2126"
"010041","Neirone","473","417","890"
"010042","Orero","255","249","504"
"010043","Pieve Ligure","1161","1191","2352"
"010044","Portofino","172","187","359"
"010045","Propata","73","46","119"
"010046","Rapallo","14199","15396","29595"
"010047","Recco","4367","4906","9273"
"010048","Rezzoaglio","432","427","859"
"010049","Ronco Scrivia","2126","2087","4213"
"010050","Rondanina","34","23","57"
"010051","Rossiglione","1217","1306","2523"
"010052","Rovegno","262","207","469"
"010053","San Colombano Certenoli","1359","1338","2697"
"010054","Santa Margherita Ligure","3892","4367","8259"
"010055","Sant'Olcese","2759","2804","5563"
"010056","Santo Stefano d'Aveto","500","464","964"
"010057","Savignone","1484","1516","3000"
"010058","Serra Riccò","3757","3816","7573"
"010059","Sestri Levante","8156","8932","17088"
"010060","Sori","1905","1988","3893"
"010061","Tiglieto","251","225","476"
"010062","Torriglia","1098","1138","2236"
"010063","Tribogna","307","292","599"
"010064","Uscio","1029","1089","2118"
"010065","Valbrevenna","417","337","754"
"010066","Vobbia","192","173","365"
"010067","Zoagli","1142","1163","2305"
