"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"031001","Capriva del Friuli","748","818","1566"
"031002","Cormons","3321","3680","7001"
"031003","Doberdò del Lago-Doberdob","628","665","1293"
"031004","Dolegna del Collio","154","131","285"
"031005","Farra d'Isonzo","831","850","1681"
"031006","Fogliano Redipuglia","1445","1521","2966"
"031007","Gorizia","16624","17055","33679"
"031008","Gradisca d'Isonzo","3063","3331","6394"
"031009","Grado","3594","3860","7454"
"031010","Mariano del Friuli","727","751","1478"
"031011","Medea","480","476","956"
"031012","Monfalcone","16157","14610","30767"
"031013","Moraro","344","378","722"
"031014","Mossa","740","772","1512"
"031015","Romans d'Isonzo","1766","1790","3556"
"031016","Ronchi dei Legionari","5821","6038","11859"
"031017","Sagrado","1041","1091","2132"
"031018","San Canzian d'Isonzo","3000","3048","6048"
"031019","San Floriano del Collio-Števerjan","353","365","718"
"031020","San Lorenzo Isontino","733","746","1479"
"031021","San Pier d'Isonzo","985","929","1914"
"031022","Savogna d'Isonzo-Sovodnje ob Soci","867","811","1678"
"031023","Staranzano","3539","3591","7130"
"031024","Turriaco","1374","1410","2784"
"031025","Villesse","827","838","1665"
