"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"053001","Arcidosso","2235","2106","4341"
"053002","Campagnatico","1238","1107","2345"
"053003","Capalbio","1764","1896","3660"
"053004","Castel del Piano","2440","2363","4803"
"053005","Castell'Azzara","609","645","1254"
"053006","Castiglione della Pescaia","3496","3560","7056"
"053007","Cinigiano","1331","1135","2466"
"053008","Civitella Paganico","1467","1486","2953"
"053009","Follonica","9415","10585","20000"
"053010","Gavorrano","4173","4183","8356"
"053011","Grosseto","39345","41930","81275"
"053012","Isola del Giglio","691","588","1279"
"053013","Magliano in Toscana","1577","1672","3249"
"053014","Manciano","3330","3520","6850"
"053015","Massa Marittima","3974","4223","8197"
"053016","Monte Argentario","5645","5960","11605"
"053017","Montieri","605","584","1189"
"053018","Orbetello","6642","7275","13917"
"053019","Pitigliano","1688","1827","3515"
"053020","Roccalbegna","450","459","909"
"053021","Roccastrada","4384","4383","8767"
"053022","Santa Fiora","1254","1250","2504"
"053023","Scansano","2334","2026","4360"
"053024","Scarlino","1857","1823","3680"
"053025","Seggiano","566","488","1054"
"053026","Sorano","1474","1509","2983"
"053027","Monterotondo Marittimo","668","606","1274"
"053028","Semproniano","505","517","1022"
