"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"008001","Airole","195","176","371"
"008002","Apricale","306","279","585"
"008003","Aquila d'Arroscia","78","66","144"
"008004","Armo","61","60","121"
"008005","Aurigo","172","164","336"
"008006","Badalucco","525","540","1065"
"008007","Bajardo","205","147","352"
"008008","Bordighera","4850","5516","10366"
"008009","Borghetto d'Arroscia","210","179","389"
"008010","Borgomaro","431","392","823"
"008011","Camporosso","2847","2941","5788"
"008012","Caravonica","143","114","257"
"008014","Castellaro","574","635","1209"
"008015","Castel Vittorio","125","112","237"
"008016","Ceriana","593","505","1098"
"008017","Cervo","520","559","1079"
"008018","Cesio","132","115","247"
"008019","Chiusanico","321","273","594"
"008020","Chiusavecchia","275","258","533"
"008021","Cipressa","589","603","1192"
"008022","Civezza","310","320","630"
"008023","Cosio d'Arroscia","78","90","168"
"008024","Costarainera","377","390","767"
"008025","Diano Arentino","334","335","669"
"008026","Diano Castello","1094","1176","2270"
"008027","Diano Marina","2565","2910","5475"
"008028","Diano San Pietro","538","567","1105"
"008029","Dolceacqua","1110","1106","2216"
"008030","Dolcedo","633","631","1264"
"008031","Imperia","20921","21673","42594"
"008032","Isolabona","346","343","689"
"008033","Lucinasco","154","140","294"
"008034","Mendatica","97","64","161"
"008035","Molini di Triora","305","278","583"
"008037","Montegrosso Pian Latte","50","59","109"
"008038","Olivetta San Michele","97","93","190"
"008039","Ospedaletti","1548","1656","3204"
"008040","Perinaldo","397","378","775"
"008041","Pietrabruna","211","192","403"
"008042","Pieve di Teco","653","676","1329"
"008043","Pigna","372","370","742"
"008044","Pompeiana","426","423","849"
"008045","Pontedassio","1207","1176","2383"
"008046","Pornassio","396","286","682"
"008047","Prelà","267","230","497"
"008048","Ranzo","283","293","576"
"008049","Rezzo","156","155","311"
"008050","Riva Ligure","1356","1355","2711"
"008051","Rocchetta Nervina","146","121","267"
"008052","San Bartolomeo al Mare","1437","1530","2967"
"008053","San Biagio della Cima","621","662","1283"
"008054","San Lorenzo al Mare","580","644","1224"
"008055","Sanremo","25633","27524","53157"
"008056","Santo Stefano al Mare","999","985","1984"
"008057","Seborga","143","143","286"
"008058","Soldano","493","474","967"
"008059","Taggia","6672","7286","13958"
"008060","Terzorio","109","105","214"
"008061","Triora","224","195","419"
"008062","Vallebona","621","619","1240"
"008063","Vallecrosia","3290","3526","6816"
"008064","Vasia","173","182","355"
"008065","Ventimiglia","11305","11778","23083"
"008066","Vessalico","154","125","279"
"008067","Villa Faraldi","217","222","439"
"008068","Montalto Carpasio","251","227","478"
