"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"094001","Acquaviva d'Isernia","183","163","346"
"094002","Agnone","2353","2192","4545"
"094003","Bagnoli del Trigno","320","287","607"
"094004","Belmonte del Sannio","287","315","602"
"094005","Cantalupo nel Sannio","393","333","726"
"094006","Capracotta","381","361","742"
"094007","Carovilli","630","610","1240"
"094008","Carpinone","469","511","980"
"094009","Castel del Giudice","151","155","306"
"094010","Castelpetroso","769","727","1496"
"094011","Castelpizzuto","73","62","135"
"094012","Castel San Vincenzo","215","203","418"
"094013","Castelverrino","50","37","87"
"094014","Cerro al Volturno","588","515","1103"
"094015","Chiauci","103","86","189"
"094016","Civitanova del Sannio","445","418","863"
"094017","Colli a Volturno","630","623","1253"
"094018","Conca Casale","87","75","162"
"094019","Filignano","297","267","564"
"094020","Forlì del Sannio","324","303","627"
"094021","Fornelli","885","893","1778"
"094022","Frosolone","1388","1333","2721"
"094023","Isernia","9900","10591","20491"
"094024","Longano","311","307","618"
"094025","Macchia d'Isernia","525","495","1020"
"094026","Macchiagodena","826","829","1655"
"094027","Miranda","447","466","913"
"094028","Montaquila","1127","1091","2218"
"094029","Montenero Val Cocchiara","241","223","464"
"094030","Monteroduni","1122","999","2121"
"094031","Pesche","745","692","1437"
"094032","Pescolanciano","397","383","780"
"094033","Pescopennataro","113","112","225"
"094034","Pettoranello del Molise","249","202","451"
"094035","Pietrabbondante","299","260","559"
"094036","Pizzone","159","128","287"
"094037","Poggio Sannita","257","256","513"
"094038","Pozzilli","1071","1092","2163"
"094039","Rionero Sannitico","510","431","941"
"094040","Roccamandolfi","396","407","803"
"094041","Roccasicura","240","220","460"
"094042","Rocchetta a Volturno","544","522","1066"
"094043","San Pietro Avellana","194","196","390"
"094044","Sant'Agapito","657","676","1333"
"094045","Santa Maria del Molise","337","308","645"
"094046","Sant'Angelo del Pesco","157","143","300"
"094047","Sant'Elena Sannita","179","119","298"
"094048","Scapoli","280","279","559"
"094049","Sessano del Molise","305","359","664"
"094050","Sesto Campano","1078","1056","2134"
"094051","Vastogirardi","293","281","574"
"094052","Venafro","5238","5407","10645"
