"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"066001","Acciano","135","117","252"
"066002","Aielli","680","690","1370"
"066003","Alfedena","540","377","917"
"066004","Anversa degli Abruzzi","153","151","304"
"066005","Ateleta","565","538","1103"
"066006","Avezzano","20073","21165","41238"
"066007","Balsorano","1581","1615","3196"
"066008","Barete","329","305","634"
"066009","Barisciano","824","813","1637"
"066010","Barrea","343","334","677"
"066011","Bisegna","99","113","212"
"066012","Bugnara","510","488","998"
"066013","Cagnano Amiterno","551","528","1079"
"066014","Calascio","65","54","119"
"066015","Campo di Giove","372","370","742"
"066016","Campotosto","226","202","428"
"066017","Canistro","506","443","949"
"066018","Cansano","100","116","216"
"066019","Capestrano","392","419","811"
"066020","Capistrello","2238","2358","4596"
"066021","Capitignano","304","298","602"
"066022","Caporciano","113","88","201"
"066023","Cappadocia","340","248","588"
"066024","Carapelle Calvisio","36","32","68"
"066025","Carsoli","2468","2484","4952"
"066026","Castel del Monte","200","179","379"
"066027","Castel di Ieri","130","143","273"
"066028","Castel di Sangro","3381","3209","6590"
"066029","Castellafiume","557","520","1077"
"066030","Castelvecchio Calvisio","58","67","125"
"066031","Castelvecchio Subequo","389","414","803"
"066032","Celano","5145","4976","10121"
"066033","Cerchio","782","760","1542"
"066034","Civita d'Antino","477","446","923"
"066035","Civitella Alfedena","148","139","287"
"066036","Civitella Roveto","1547","1471","3018"
"066037","Cocullo","110","93","203"
"066038","Collarmele","354","398","752"
"066039","Collelongo","550","505","1055"
"066040","Collepietro","97","103","200"
"066041","Corfinio","491","456","947"
"066042","Fagnano Alto","165","172","337"
"066043","Fontecchio","138","142","280"
"066044","Fossa","336","346","682"
"066045","Gagliano Aterno","114","107","221"
"066046","Gioia dei Marsi","900","788","1688"
"066047","Goriano Sicoli","275","248","523"
"066048","Introdacqua","967","961","1928"
"066049","L'Aquila","35143","35660","70803"
"066050","Lecce nei Marsi","729","747","1476"
"066051","Luco dei Marsi","3060","2875","5935"
"066052","Lucoli","442","405","847"
"066053","Magliano de' Marsi","1671","1729","3400"
"066054","Massa d'Albe","687","650","1337"
"066055","Molina Aterno","165","163","328"
"066056","Montereale","1150","1033","2183"
"066057","Morino","645","635","1280"
"066058","Navelli","302","281","583"
"066059","Ocre","564","531","1095"
"066060","Ofena","260","202","462"
"066061","Opi","197","176","373"
"066062","Oricola","636","638","1274"
"066063","Ortona dei Marsi","175","191","366"
"066064","Ortucchio","876","860","1736"
"066065","Ovindoli","585","569","1154"
"066066","Pacentro","539","518","1057"
"066067","Pereto","335","295","630"
"066068","Pescasseroli","1022","971","1993"
"066069","Pescina","1837","1817","3654"
"066070","Pescocostanzo","565","516","1081"
"066071","Pettorano sul Gizio","640","619","1259"
"066072","Pizzoli","2176","2010","4186"
"066073","Poggio Picenze","495","533","1028"
"066074","Prata d'Ansidonia","206","218","424"
"066075","Pratola Peligna","3369","3512","6881"
"066076","Prezza","392","412","804"
"066077","Raiano","1230","1365","2595"
"066078","Rivisondoli","386","294","680"
"066079","Roccacasale","282","280","562"
"066080","Rocca di Botte","485","406","891"
"066081","Rocca di Cambio","277","246","523"
"066082","Rocca di Mezzo","689","625","1314"
"066083","Rocca Pia","83","70","153"
"066084","Roccaraso","739","721","1460"
"066085","San Benedetto dei Marsi","1884","1831","3715"
"066086","San Benedetto in Perillis","60","40","100"
"066087","San Demetrio ne' Vestini","1030","972","2002"
"066088","San Pio delle Camere","332","331","663"
"066089","Sante Marie","540","513","1053"
"066090","Sant'Eusanio Forconese","184","180","364"
"066091","Santo Stefano di Sessanio","49","53","102"
"066092","San Vincenzo Valle Roveto","974","1039","2013"
"066093","Scanno","814","848","1662"
"066094","Scontrone","283","252","535"
"066095","Scoppito","1920","1889","3809"
"066096","Scurcola Marsicana","1352","1348","2700"
"066097","Secinaro","162","140","302"
"066098","Sulmona","10507","11103","21610"
"066099","Tagliacozzo","3181","3236","6417"
"066100","Tione degli Abruzzi","125","118","243"
"066101","Tornimparte","1395","1334","2729"
"066102","Trasacco","2991","2813","5804"
"066103","Villalago","254","236","490"
"066104","Villa Santa Lucia degli Abruzzi","38","38","76"
"066105","Villa Sant'Angelo","229","282","511"
"066106","Villavallelonga","393","429","822"
"066107","Villetta Barrea","307","282","589"
"066108","Vittorito","384","420","804"
