"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"011001","Ameglia","2100","2170","4270"
"011002","Arcola","5021","5208","10229"
"011003","Beverino","1141","1143","2284"
"011004","Bolano","3685","3771","7456"
"011005","Bonassola","364","397","761"
"011006","Borghetto di Vara","460","468","928"
"011007","Brugnato","628","663","1291"
"011008","Calice al Cornoviglio","523","500","1023"
"011009","Carro","229","260","489"
"011010","Carrodano","227","232","459"
"011011","Castelnuovo Magra","4011","4225","8236"
"011012","Deiva Marina","608","668","1276"
"011013","Follo","3120","3119","6239"
"011014","Framura","285","282","567"
"011015","La Spezia","45351","47259","92610"
"011016","Lerici","4379","4764","9143"
"011017","Levanto","2389","2629","5018"
"011018","Maissana","309","258","567"
"011019","Monterosso al Mare","598","691","1289"
"011020","Luni","4012","4087","8099"
"011021","Pignone","265","264","529"
"011022","Portovenere","1580","1575","3155"
"011023","Riccò del Golfo di Spezia","1803","1840","3643"
"011024","Riomaggiore","630","630","1260"
"011025","Rocchetta di Vara","348","313","661"
"011026","Santo Stefano di Magra","5067","4937","10004"
"011027","Sarzana","10532","11194","21726"
"011028","Sesta Godano","656","607","1263"
"011029","Varese Ligure","869","848","1717"
"011030","Vernazza","332","343","675"
"011031","Vezzano Ligure","3538","3676","7214"
"011032","Zignago","232","226","458"
