"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"059001","Aprilia","37139","37558","74697"
"059002","Bassiano","721","711","1432"
"059003","Campodimele","285","260","545"
"059004","Castelforte","1963","2047","4010"
"059005","Cisterna di Latina","18016","18239","36255"
"059006","Cori","5293","5172","10465"
"059007","Fondi","20166","20144","40310"
"059008","Formia","17725","19050","36775"
"059009","Gaeta","9189","9719","18908"
"059010","Itri","5400","5179","10579"
"059011","Latina","62690","64760","127450"
"059012","Lenola","2069","2026","4095"
"059013","Maenza","1466","1490","2956"
"059014","Minturno","10118","10282","20400"
"059015","Monte San Biagio","3097","2931","6028"
"059016","Norma","1816","1907","3723"
"059017","Pontinia","7529","7555","15084"
"059018","Ponza","1723","1572","3295"
"059019","Priverno","6806","6888","13694"
"059020","Prossedi","569","543","1112"
"059021","Roccagorga","2033","2054","4087"
"059022","Rocca Massima","583","544","1127"
"059023","Roccasecca dei Volsci","541","519","1060"
"059024","Sabaudia","9812","9514","19326"
"059025","San Felice Circeo","5268","4821","10089"
"059026","Santi Cosma e Damiano","3390","3488","6878"
"059027","Sermoneta","5025","4926","9951"
"059028","Sezze","12114","11652","23766"
"059029","Sonnino","3715","3750","7465"
"059030","Sperlonga","1488","1502","2990"
"059031","Spigno Saturnia","1362","1483","2845"
"059032","Terracina","22854","22201","45055"
"059033","Ventotene","381","297","678"
