"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"075002","Alessano","2919","3063","5982"
"075003","Alezio","2684","2960","5644"
"075004","Alliste","3055","3289","6344"
"075005","Andrano","2135","2271","4406"
"075006","Aradeo","4237","4561","8798"
"075007","Arnesano","1982","1921","3903"
"075008","Bagnolo del Salento","844","854","1698"
"075009","Botrugno","1235","1335","2570"
"075010","Calimera","3155","3478","6633"
"075011","Campi Salentina","4625","4990","9615"
"075012","Cannole","791","777","1568"
"075013","Caprarica di Lecce","1066","1177","2243"
"075014","Carmiano","5762","5884","11646"
"075015","Carpignano Salentino","1796","1819","3615"
"075016","Casarano","9048","9892","18940"
"075017","Castri di Lecce","1313","1381","2694"
"075018","Castrignano de' Greci","1784","1848","3632"
"075019","Castrignano del Capo","2454","2601","5055"
"075020","Cavallino","6322","6671","12993"
"075021","Collepasso","2656","2796","5452"
"075022","Copertino","11111","11587","22698"
"075023","Corigliano d'Otranto","2642","2877","5519"
"075024","Corsano","2493","2556","5049"
"075025","Cursi","1876","1893","3769"
"075026","Cutrofiano","4161","4477","8638"
"075027","Diso","1322","1470","2792"
"075028","Gagliano del Capo","2324","2455","4779"
"075029","Galatina","12117","13056","25173"
"075030","Galatone","7182","7673","14855"
"075031","Gallipoli","9154","9672","18826"
"075032","Giuggianello","545","573","1118"
"075033","Giurdignano","970","966","1936"
"075034","Guagnano","2517","2762","5279"
"075035","Lecce","45124","49263","94387"
"075036","Lequile","4187","4413","8600"
"075037","Leverano","6481","6853","13334"
"075038","Lizzanello","5965","6064","12029"
"075039","Maglie","6168","6893","13061"
"075040","Martano","4028","4369","8397"
"075041","Martignano","748","777","1525"
"075042","Matino","5231","5523","10754"
"075043","Melendugno","4986","5107","10093"
"075044","Melissano","3163","3374","6537"
"075045","Melpignano","1079","1075","2154"
"075046","Miggiano","1505","1717","3222"
"075047","Minervino di Lecce","1600","1792","3392"
"075048","Monteroni di Lecce","6402","6745","13147"
"075049","Montesano Salentino","1257","1333","2590"
"075050","Morciano di Leuca","1419","1611","3030"
"075051","Muro Leccese","2211","2363","4574"
"075052","Nardò","14714","16070","30784"
"075053","Neviano","2302","2453","4755"
"075054","Nociglia","980","1113","2093"
"075055","Novoli","3601","3825","7426"
"075056","Ortelle","1054","1140","2194"
"075057","Otranto","2681","2906","5587"
"075058","Palmariggi","657","689","1346"
"075059","Parabita","4137","4549","8686"
"075060","Patù","811","833","1644"
"075061","Poggiardo","2760","2985","5745"
"075063","Racale","5171","5499","10670"
"075064","Ruffano","4437","4780","9217"
"075065","Salice Salentino","3654","3895","7549"
"075066","Salve","2192","2388","4580"
"075067","Sanarica","713","762","1475"
"075068","San Cesario di Lecce","3709","4078","7787"
"075069","San Donato di Lecce","2518","2832","5350"
"075070","Sannicola","2652","2888","5540"
"075071","San Pietro in Lama","1596","1748","3344"
"075072","Santa Cesarea Terme","1298","1466","2764"
"075073","Scorrano","3174","3368","6542"
"075074","Seclì","852","932","1784"
"075075","Sogliano Cavour","1895","1915","3810"
"075076","Soleto","2455","2631","5086"
"075077","Specchia","2151","2302","4453"
"075078","Spongano","1639","1760","3399"
"075079","Squinzano","6396","6839","13235"
"075080","Sternatia","970","1102","2072"
"075081","Supersano","2020","2016","4036"
"075082","Surano","715","759","1474"
"075083","Surbo","7046","7435","14481"
"075084","Taurisano","5342","5717","11059"
"075085","Taviano","5441","5922","11363"
"075086","Tiggiano","1431","1394","2825"
"075087","Trepuzzi","6603","7161","13764"
"075088","Tricase","8205","8733","16938"
"075089","Tuglie","2457","2561","5018"
"075090","Ugento","5780","6143","11923"
"075091","Uggiano la Chiesa","2070","2252","4322"
"075092","Veglie","6319","6734","13053"
"075093","Vernole","3110","3412","6522"
"075094","Zollino","869","941","1810"
"075095","San Cassiano","981","955","1936"
"075096","Castro","1110","1164","2274"
"075097","Porto Cesareo","3261","3223","6484"
"075098","Presicce-Acquarica","4359","4681","9040"
