"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"097001","Abbadia Lariana","1537","1601","3138"
"097002","Airuno","1537","1391","2928"
"097003","Annone di Brianza","1145","1138","2283"
"097004","Ballabio","2144","2037","4181"
"097005","Barzago","1199","1208","2407"
"097006","Barzanò","2463","2584","5047"
"097007","Barzio","631","638","1269"
"097008","Bellano","1667","1690","3357"
"097009","Bosisio Parini","1606","1593","3199"
"097010","Brivio","2217","2134","4351"
"097011","Bulciago","1494","1431","2925"
"097012","Calco","2731","2745","5476"
"097013","Calolziocorte","6695","6898","13593"
"097014","Carenno","691","699","1390"
"097015","Casargo","418","415","833"
"097016","Casatenovo","6502","6732","13234"
"097017","Cassago Brianza","2228","2167","4395"
"097018","Cassina Valsassina","280","269","549"
"097019","Castello di Brianza","1321","1312","2633"
"097020","Cernusco Lombardone","1885","1952","3837"
"097021","Cesana Brianza","1158","1169","2327"
"097022","Civate","1853","1856","3709"
"097023","Colico","4112","4076","8188"
"097024","Colle Brianza","964","896","1860"
"097025","Cortenova","572","601","1173"
"097026","Costa Masnaga","2390","2348","4738"
"097027","Crandola Valsassina","139","122","261"
"097028","Cremella","837","852","1689"
"097029","Cremeno","1001","838","1839"
"097030","Dervio","1241","1277","2518"
"097031","Dolzago","1249","1295","2544"
"097032","Dorio","155","170","325"
"097033","Ello","574","613","1187"
"097034","Erve","319","325","644"
"097035","Esino Lario","384","367","751"
"097036","Galbiate","4131","4295","8426"
"097037","Garbagnate Monastero","1298","1205","2503"
"097038","Garlate","1320","1341","2661"
"097039","Imbersago","1272","1293","2565"
"097040","Introbio","992","956","1948"
"097042","Lecco","22798","24528","47326"
"097043","Lierna","1071","1040","2111"
"097044","Lomagna","2559","2559","5118"
"097045","Malgrate","2028","2118","4146"
"097046","Mandello del Lario","4823","5033","9856"
"097047","Margno","225","196","421"
"097048","Merate","7218","7813","15031"
"097049","Missaglia","4498","4512","9010"
"097050","Moggio","247","245","492"
"097051","Molteno","1785","1743","3528"
"097052","Monte Marenzo","883","892","1775"
"097053","Montevecchia","1356","1324","2680"
"097054","Monticello Brianza","2060","2124","4184"
"097055","Morterone","18","12","30"
"097056","Nibionno","1797","1791","3588"
"097057","Oggiono","4582","4636","9218"
"097058","Olgiate Molgora","3228","3186","6414"
"097059","Olginate","3470","3455","6925"
"097060","Oliveto Lario","595","553","1148"
"097061","Osnago","2337","2494","4831"
"097062","Paderno d'Adda","1919","1972","3891"
"097063","Pagnona","159","150","309"
"097064","Parlasco","72","63","135"
"097065","Pasturo","1008","951","1959"
"097067","Perledo","407","423","830"
"097068","Pescate","1083","1051","2134"
"097069","Premana","1101","1049","2150"
"097070","Primaluna","1139","1135","2274"
"097071","Robbiate","3251","3190","6441"
"097072","Rogeno","1572","1478","3050"
"097074","Santa Maria Hoè","1057","1022","2079"
"097075","Sirone","1167","1166","2333"
"097076","Sirtori","1405","1385","2790"
"097077","Sueglio","83","74","157"
"097078","Suello","835","869","1704"
"097079","Taceno","312","283","595"
"097082","Valgreghentino","1693","1664","3357"
"097083","Valmadrera","5551","5682","11233"
"097084","Varenna","322","324","646"
"097086","Vercurago","1272","1399","2671"
"097090","Viganò","1058","1050","2108"
"097091","Verderio","2755","2761","5516"
"097092","La Valletta Brianza","2339","2298","4637"
"097093","Valvarrone","260","239","499"
