"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"049001","Bibbona","1613","1559","3172"
"049002","Campiglia Marittima","5914","6321","12235"
"049003","Campo nell'Elba","2326","2303","4629"
"049004","Capoliveri","1974","1996","3970"
"049005","Capraia Isola","186","161","347"
"049006","Castagneto Carducci","4274","4365","8639"
"049007","Cecina","13434","14588","28022"
"049008","Collesalvetti","8034","8356","16390"
"049009","Livorno","73718","78733","152451"
"049010","Marciana","998","1051","2049"
"049011","Marciana Marina","913","939","1852"
"049012","Piombino","15922","16452","32374"
"049013","Porto Azzurro","1906","1781","3687"
"049014","Portoferraio","5744","6004","11748"
"049017","Rosignano Marittimo","14631","15472","30103"
"049018","San Vincenzo","2997","3345","6342"
"049019","Sassetta","278","276","554"
"049020","Suvereto","1436","1466","2902"
"049021","Rio","1743","1684","3427"
