"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"098001","Abbadia Cerreto","139","141","280"
"098002","Bertonico","552","529","1081"
"098003","Boffalora d'Adda","860","877","1737"
"098004","Borghetto Lodigiano","2242","2188","4430"
"098005","Borgo San Giovanni","1219","1225","2444"
"098006","Brembio","1459","1348","2807"
"098008","Casaletto Lodigiano","1538","1481","3019"
"098009","Casalmaiocco","1594","1624","3218"
"098010","Casalpusterlengo","8134","7935","16069"
"098011","Caselle Landi","726","705","1431"
"098012","Caselle Lurani","1593","1478","3071"
"098013","Castelnuovo Bocca d'Adda","778","766","1544"
"098014","Castiglione d'Adda","2279","2245","4524"
"098015","Castiraga Vidardo","1550","1498","3048"
"098017","Cavenago d'Adda","1057","1071","2128"
"098018","Cervignano d'Adda","1123","1124","2247"
"098019","Codogno","7620","8032","15652"
"098020","Comazzo","1233","1146","2379"
"098021","Cornegliano Laudense","1388","1473","2861"
"098022","Corno Giovine","557","587","1144"
"098023","Cornovecchio","100","99","199"
"098024","Corte Palasio","792","730","1522"
"098025","Crespiatica","1144","1064","2208"
"098026","Fombio","1170","1096","2266"
"098027","Galgagnano","669","639","1308"
"098028","Graffignana","1335","1267","2602"
"098029","Guardamiglio","1371","1359","2730"
"098030","Livraga","1264","1270","2534"
"098031","Lodi","22326","23317","45643"
"098032","Lodi Vecchio","3811","3906","7717"
"098033","Maccastorna","43","24","67"
"098034","Mairago","700","675","1375"
"098035","Maleo","1492","1563","3055"
"098036","Marudo","888","869","1757"
"098037","Massalengo","2272","2184","4456"
"098038","Meleti","235","221","456"
"098039","Merlino","844","811","1655"
"098040","Montanaso Lombardo","1114","1142","2256"
"098041","Mulazzano","2929","2900","5829"
"098042","Orio Litta","1042","1034","2076"
"098043","Ospedaletto Lodigiano","1066","942","2008"
"098044","Ossago Lodigiano","721","701","1422"
"098045","Pieve Fissiraga","875","878","1753"
"098046","Salerano sul Lambro","1341","1349","2690"
"098047","San Fiorano","962","931","1893"
"098048","San Martino in Strada","1898","1878","3776"
"098049","San Rocco al Porto","1702","1750","3452"
"098050","Sant'Angelo Lodigiano","6857","6720","13577"
"098051","Santo Stefano Lodigiano","939","913","1852"
"098052","Secugnago","986","1015","2001"
"098053","Senna Lodigiana","928","885","1813"
"098054","Somaglia","1942","1922","3864"
"098055","Sordio","1758","1686","3444"
"098056","Tavazzano con Villavesco","3056","3042","6098"
"098057","Terranova dei Passerini","485","467","952"
"098058","Turano Lodigiano","805","771","1576"
"098059","Valera Fratta","873","825","1698"
"098060","Villanova del Sillaro","988","911","1899"
"098061","Zelo Buon Persico","3632","3802","7434"
"098062","Castelgerundo","728","726","1454"
