"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"046001","Altopascio","8042","8144","16186"
"046002","Bagni di Lucca","2741","2735","5476"
"046003","Barga","4619","4674","9293"
"046004","Borgo a Mozzano","3297","3386","6683"
"046005","Camaiore","15373","16390","31763"
"046006","Camporgiano","980","1002","1982"
"046007","Capannori","23252","23487","46739"
"046008","Careggine","251","236","487"
"046009","Castelnuovo di Garfagnana","2700","2905","5605"
"046010","Castiglione di Garfagnana","843","842","1685"
"046011","Coreglia Antelminelli","2549","2526","5075"
"046013","Forte dei Marmi","3009","3541","6550"
"046014","Fosciandora","262","291","553"
"046015","Gallicano","1827","1765","3592"
"046017","Lucca","42924","45540","88464"
"046018","Massarosa","10736","11046","21782"
"046019","Minucciano","836","877","1713"
"046020","Molazzana","473","480","953"
"046021","Montecarlo","2109","2234","4343"
"046022","Pescaglia","1580","1574","3154"
"046023","Piazza al Serchio","977","1054","2031"
"046024","Pietrasanta","10736","11942","22678"
"046025","Pieve Fosciana","1089","1095","2184"
"046026","Porcari","4402","4506","8908"
"046027","San Romano in Garfagnana","640","655","1295"
"046028","Seravezza","5856","6428","12284"
"046030","Stazzema","1405","1378","2783"
"046031","Vagli Sotto","412","349","761"
"046033","Viareggio","29180","31500","60680"
"046034","Villa Basilica","733","727","1460"
"046035","Villa Collemandina","584","571","1155"
"046036","Fabbriche di Vergemoli","357","338","695"
"046037","Sillano Giuncugnano","466","499","965"
