"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"043002","Apiro","990","1025","2015"
"043003","Appignano","2022","2097","4119"
"043004","Belforte del Chienti","911","918","1829"
"043005","Bolognola","81","67","148"
"043006","Caldarola","806","815","1621"
"043007","Camerino","2871","3064","5935"
"043008","Camporotondo di Fiastrone","225","236","461"
"043009","Castelraimondo","2018","2162","4180"
"043010","Castelsantangelo sul Nera","110","97","207"
"043011","Cessapalombo","200","209","409"
"043012","Cingoli","4619","4819","9438"
"043013","Civitanova Marche","20027","21902","41929"
"043014","Colmurano","549","572","1121"
"043015","Corridonia","7235","7449","14684"
"043016","Esanatoglia","893","984","1877"
"043017","Fiastra","319","281","600"
"043019","Fiuminata","591","603","1194"
"043020","Gagliole","269","244","513"
"043021","Gualdo","337","363","700"
"043022","Loro Piceno","1090","1065","2155"
"043023","Macerata","19747","20942","40689"
"043024","Matelica","4381","4645","9026"
"043025","Mogliano","2098","2147","4245"
"043026","Montecassiano","3316","3378","6694"
"043027","Monte Cavallo","51","49","100"
"043028","Montecosaro","3660","3710","7370"
"043029","Montefano","1626","1678","3304"
"043030","Montelupone","1696","1684","3380"
"043031","Monte San Giusto","3689","3722","7411"
"043032","Monte San Martino","342","326","668"
"043033","Morrovalle","4901","4872","9773"
"043034","Muccia","384","402","786"
"043035","Penna San Giovanni","437","464","901"
"043036","Petriolo","914","907","1821"
"043038","Pieve Torina","602","602","1204"
"043039","Pioraco","456","459","915"
"043040","Poggio San Vicino","91","104","195"
"043041","Pollenza","3052","3097","6149"
"043042","Porto Recanati","6557","6177","12734"
"043043","Potenza Picena","7561","7909","15470"
"043044","Recanati","10005","10553","20558"
"043045","Ripe San Ginesio","391","406","797"
"043046","San Ginesio","1534","1513","3047"
"043047","San Severino Marche","5803","5990","11793"
"043048","Sant'Angelo in Pontano","592","627","1219"
"043049","Sarnano","1531","1527","3058"
"043050","Sefro","238","187","425"
"043051","Serrapetrona","428","420","848"
"043052","Serravalle di Chienti","553","482","1035"
"043053","Tolentino","8475","8964","17439"
"043054","Treia","4532","4470","9002"
"043055","Urbisaglia","1178","1185","2363"
"043056","Ussita","163","169","332"
"043057","Visso","443","477","920"
"043058","Valfornace","452","431","883"
