"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"020001","Acquanegra sul Chiese","1363","1359","2722"
"020002","Asola","4863","5007","9870"
"020003","Bagnolo San Vito","2929","2926","5855"
"020007","Bozzolo","2043","2038","4081"
"020008","Canneto sull'Oglio","2273","2172","4445"
"020010","Casalmoro","1128","1088","2216"
"020011","Casaloldo","1312","1312","2624"
"020012","Casalromano","759","739","1498"
"020013","Castelbelforte","1719","1662","3381"
"020014","Castel d'Ario","2318","2345","4663"
"020015","Castel Goffredo","6432","6300","12732"
"020016","Castellucchio","2600","2561","5161"
"020017","Castiglione delle Stiviere","11968","11982","23950"
"020018","Cavriana","1806","1848","3654"
"020019","Ceresara","1259","1206","2465"
"020020","Commessaggio","506","516","1022"
"020021","Curtatone","7203","7488","14691"
"020022","Dosolo","1566","1589","3155"
"020024","Gazoldo degli Ippoliti","1560","1486","3046"
"020025","Gazzuolo","1016","1019","2035"
"020026","Goito","5101","5034","10135"
"020027","Gonzaga","4386","4188","8574"
"020028","Guidizzolo","3042","3003","6045"
"020029","Magnacavallo","715","684","1399"
"020030","Mantova","24151","26064","50215"
"020031","Marcaria","3150","3188","6338"
"020032","Mariana Mantovana","385","409","794"
"020033","Marmirolo","3790","3863","7653"
"020034","Medole","2159","2084","4243"
"020035","Moglia","2709","2685","5394"
"020036","Monzambano","2380","2425","4805"
"020037","Motteggiana","1263","1145","2408"
"020038","Ostiglia","3474","3375","6849"
"020039","Pegognaga","3466","3506","6972"
"020041","Piubega","891","856","1747"
"020042","Poggio Rusco","3166","3089","6255"
"020043","Pomponesco","847","910","1757"
"020044","Ponti sul Mincio","1112","1165","2277"
"020045","Porto Mantovano","8264","8451","16715"
"020046","Quingentole","501","515","1016"
"020047","Quistello","2629","2652","5281"
"020048","Redondesco","589","599","1188"
"020050","Rivarolo Mantovano","1142","1160","2302"
"020051","Rodigo","2562","2612","5174"
"020052","Roncoferraro","3422","3513","6935"
"020053","Roverbella","4331","4383","8714"
"020054","Sabbioneta","2033","2043","4076"
"020055","San Benedetto Po","3416","3376","6792"
"020056","San Giacomo delle Segnate","760","748","1508"
"020057","San Giorgio Bigarello","5937","6021","11958"
"020058","San Giovanni del Dosso","632","612","1244"
"020059","San Martino dall'Argine","807","797","1604"
"020060","Schivenoglia","601","534","1135"
"020061","Sermide e Felonica","3578","3462","7040"
"020062","Serravalle a Po","745","729","1474"
"020063","Solferino","1307","1332","2639"
"020064","Sustinente","996","990","1986"
"020065","Suzzara","10730","10588","21318"
"020066","Viadana","10000","9787","19787"
"020068","Villimpenta","1090","1062","2152"
"020070","Volta Mantovana","3557","3691","7248"
"020071","Borgo Virgilio","7473","7579","15052"
"020072","Borgo Mantovano","2651","2728","5379"
"020073","Borgocarbonara","941","931","1872"
