"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"045001","Aulla","5344","5571","10915"
"045002","Bagnone","833","853","1686"
"045003","Carrara","29100","30623","59723"
"045004","Casola in Lunigiana","438","463","901"
"045005","Comano","316","320","636"
"045006","Filattiera","1067","1080","2147"
"045007","Fivizzano","3384","3502","6886"
"045008","Fosdinovo","2255","2325","4580"
"045009","Licciana Nardi","2336","2370","4706"
"045010","Massa","31937","33610","65547"
"045011","Montignoso","4884","5166","10050"
"045012","Mulazzo","1140","1129","2269"
"045013","Podenzana","1087","1066","2153"
"045014","Pontremoli","3313","3554","6867"
"045015","Tresana","947","933","1880"
"045016","Villafranca in Lunigiana","2483","2318","4801"
"045017","Zeri","445","445","890"
