"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"077001","Accettura","773","802","1575"
"077002","Aliano","401","403","804"
"077003","Bernalda","6087","5835","11922"
"077004","Calciano","312","304","616"
"077005","Cirigliano","129","150","279"
"077006","Colobraro","518","496","1014"
"077007","Craco","284","286","570"
"077008","Ferrandina","3899","3914","7813"
"077009","Garaguso","440","447","887"
"077010","Gorgoglione","427","401","828"
"077011","Grassano","2258","2272","4530"
"077012","Grottole","969","966","1935"
"077013","Irsina","2253","2039","4292"
"077014","Matera","29182","30186","59368"
"077015","Miglionico","1236","1100","2336"
"077016","Montalbano Jonico","3151","3310","6461"
"077017","Montescaglioso","4579","4618","9197"
"077018","Nova Siri","3467","3381","6848"
"077019","Oliveto Lucano","161","167","328"
"077020","Pisticci","8319","8175","16494"
"077021","Policoro","8720","9007","17727"
"077022","Pomarico","1807","1850","3657"
"077023","Rotondella","1101","1208","2309"
"077024","Salandra","1181","1210","2391"
"077025","San Giorgio Lucano","504","482","986"
"077026","San Mauro Forte","604","564","1168"
"077027","Stigliano","1610","1759","3369"
"077028","Tricarico","2295","2334","4629"
"077029","Tursi","2333","2326","4659"
"077030","Valsinni","636","651","1287"
"077031","Scanzano Jonico","3760","3715","7475"
