Codice comune,Comune,Totale maschi,Totale femmine,Totale
117001,Arbus,2740,2792,5532
117002,Barumini,553,531,1084
117003,Collinas,362,379,741
117004,Furtei,734,740,1474
117005,Genuri,141,154,295
117006,Gesturi,550,563,1113
117007,Gonnosfanadiga,2913,3046,5959
117008,Guspini,5219,5344,10563
117009,Las Plassas,110,98,208
117010,Lunamatrona,771,811,1582
117011,Pabillonis,1227,1177,2404
117012,Pauli Arbarei,269,255,524
117013,Samassi,2302,2372,4674
117014,San Gavino Monreale,3794,4029,7823
117015,Sanluri,3950,4046,7996
117016,Sardara,1839,1872,3711
117017,Segariu,536,538,1074
117018,Serramanna,4155,4233,8388
117019,Serrenti,2233,2192,4425
117020,Setzu,65,62,127
117021,Siddi,270,271,541
117022,Tuili,432,450,882
117023,Turri,190,185,375
117024,Ussaramanna,238,228,466
117025,Villacidro,6403,6475,12878
117026,Villamar,1206,1186,2392
117027,Villanovaforru,529,260,789
117028,Villanovafranca,573,562,1135
