"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"083001","Alcara li Fusi","746","843","1589"
"083002","Alì","295","301","596"
"083003","Alì Terme","1125","1192","2317"
"083004","Antillo","390","383","773"
"083005","Barcellona Pozzo di Gotto","19490","20266","39756"
"083006","Basicò","290","324","614"
"083007","Brolo","2713","2999","5712"
"083008","Capizzi","1320","1387","2707"
"083009","Capo d'Orlando","6137","6928","13065"
"083010","Capri Leone","2126","2275","4401"
"083011","Caronia","1429","1488","2917"
"083012","Casalvecchio Siculo","364","311","675"
"083013","Castel di Lucio","683","672","1355"
"083014","Castell'Umberto","1318","1413","2731"
"083015","Castelmola","542","529","1071"
"083016","Castroreale","1111","1120","2231"
"083017","Cesarò","1025","1035","2060"
"083018","Condrò","241","260","501"
"083019","Falcone","1377","1449","2826"
"083020","Ficarra","620","647","1267"
"083021","Fiumedinisi","607","643","1250"
"083022","Floresta","227","231","458"
"083023","Fondachelli-Fantina","631","427","1058"
"083024","Forza d'Agrò","456","446","902"
"083025","Francavilla di Sicilia","1735","1763","3498"
"083026","Frazzanò","250","274","524"
"083027","Furci Siculo","1569","1676","3245"
"083028","Furnari","2110","2136","4246"
"083029","Gaggi","1506","1588","3094"
"083030","Galati Mamertino","964","1144","2108"
"083031","Gallodoro","159","161","320"
"083032","Giardini-Naxos","4519","4918","9437"
"083033","Gioiosa Marea","3269","3417","6686"
"083034","Graniti","732","702","1434"
"083035","Gualtieri Sicaminò","711","797","1508"
"083036","Itala","714","777","1491"
"083037","Leni","342","327","669"
"083038","Letojanni","1433","1546","2979"
"083039","Librizzi","744","791","1535"
"083040","Limina","325","378","703"
"083041","Lipari","6542","6252","12794"
"083042","Longi","604","647","1251"
"083043","Malfa","521","482","1003"
"083044","Malvagna","270","305","575"
"083045","Mandanici","221","247","468"
"083046","Mazzarrà Sant'Andrea","716","689","1405"
"083047","Merì","1187","1207","2394"
"083048","Messina","104268","112190","216458"
"083049","Milazzo","14586","15193","29779"
"083050","Militello Rosmarino","578","590","1168"
"083051","Mirto","409","443","852"
"083052","Mistretta","1956","2194","4150"
"083053","Moio Alcantara","337","342","679"
"083054","Monforte San Giorgio","1169","1221","2390"
"083055","Mongiuffi Melia","252","254","506"
"083056","Montagnareale","667","675","1342"
"083057","Montalbano Elicona","1045","1027","2072"
"083058","Motta Camastra","383","379","762"
"083059","Motta d'Affermo","318","328","646"
"083060","Naso","1633","1711","3344"
"083061","Nizza di Sicilia","1729","1759","3488"
"083062","Novara di Sicilia","511","534","1045"
"083063","Oliveri","1095","1131","2226"
"083064","Pace del Mela","2907","3031","5938"
"083065","Pagliara","531","569","1100"
"083066","Patti","6064","6657","12721"
"083067","Pettineo","601","621","1222"
"083068","Piraino","1848","1876","3724"
"083069","Raccuja","411","428","839"
"083070","Reitano","350","355","705"
"083071","Roccafiorita","77","77","154"
"083072","Roccalumera","1984","2159","4143"
"083073","Roccavaldina","466","499","965"
"083074","Roccella Valdemone","262","270","532"
"083075","Rodì Milici","953","985","1938"
"083076","Rometta","3181","3316","6497"
"083077","San Filippo del Mela","3258","3359","6617"
"083078","San Fratello","1570","1589","3159"
"083079","San Marco d'Alunzio","855","920","1775"
"083080","San Pier Niceto","1243","1275","2518"
"083081","San Piero Patti","1222","1313","2535"
"083082","San Salvatore di Fitalia","501","602","1103"
"083083","Santa Domenica Vittoria","429","432","861"
"083084","Sant'Agata di Militello","5770","6363","12133"
"083085","Sant'Alessio Siculo","739","803","1542"
"083086","Santa Lucia del Mela","2167","2175","4342"
"083087","Santa Marina Salina","458","419","877"
"083088","Sant'Angelo di Brolo","1290","1335","2625"
"083089","Santa Teresa di Riva","4395","4738","9133"
"083090","San Teodoro","559","626","1185"
"083091","Santo Stefano di Camastra","2070","2255","4325"
"083092","Saponara","1793","1827","3620"
"083093","Savoca","834","915","1749"
"083094","Scaletta Zanclea","897","964","1861"
"083095","Sinagra","1204","1214","2418"
"083096","Spadafora","2241","2361","4602"
"083097","Taormina","5134","5342","10476"
"083098","Torregrotta","3415","3868","7283"
"083099","Tortorici","2693","2739","5432"
"083100","Tripi-Abakainon","334","370","704"
"083101","Tusa","1242","1238","2480"
"083102","Ucria","402","439","841"
"083103","Valdina","617","629","1246"
"083104","Venetico","1872","2089","3961"
"083105","Villafranca Tirrena","3621","4088","7709"
"083106","Terme Vigliatore","3632","3731","7363"
"083107","Acquedolci","2669","2863","5532"
"083108","Torrenova","2185","2298","4483"
