"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"015002","Abbiategrasso","16074","16719","32793"
"015005","Albairate","2334","2385","4719"
"015007","Arconate","3341","3530","6871"
"015009","Arese","9407","10138","19545"
"015010","Arluno","6216","6399","12615"
"015011","Assago","4569","4779","9348"
"015012","Bareggio","8450","8821","17271"
"015014","Basiano","1841","1804","3645"
"015015","Basiglio","3859","4168","8027"
"015016","Bellinzago Lombardo","1849","1879","3728"
"015019","Bernate Ticino","1439","1480","2919"
"015022","Besate","1014","1036","2050"
"015024","Binasco","3329","3739","7068"
"015026","Boffalora sopra Ticino","2025","2079","4104"
"015027","Bollate","17808","18946","36754"
"015032","Bresso","13201","13471","26672"
"015035","Bubbiano","1238","1208","2446"
"015036","Buccinasco","12692","13653","26345"
"015038","Buscate","2349","2347","4696"
"015040","Bussero","4017","4369","8386"
"015041","Busto Garolfo","7056","7075","14131"
"015042","Calvignasco","609","592","1201"
"015044","Cambiago","3689","3642","7331"
"015046","Canegrate","6298","6591","12889"
"015050","Carpiano","2128","1991","4119"
"015051","Carugate","7792","7971","15763"
"015055","Casarile","1940","1989","3929"
"015058","Casorezzo","2805","2916","5721"
"015059","Cassano d'Adda","9811","10169","19980"
"015060","Cassina de' Pecchi","6751","7204","13955"
"015061","Cassinetta di Lugagnano","951","1016","1967"
"015062","Castano Primo","5385","5546","10931"
"015070","Cernusco sul Naviglio","16784","18056","34840"
"015071","Cerro al Lambro","2560","2651","5211"
"015072","Cerro Maggiore","7466","7726","15192"
"015074","Cesano Boscone","11340","11945","23285"
"015076","Cesate","7065","7299","14364"
"015077","Cinisello Balsamo","37185","37969","75154"
"015078","Cisliano","2545","2655","5200"
"015081","Cologno Monzese","23013","24166","47179"
"015082","Colturano","1029","1027","2056"
"015085","Corbetta","9422","9734","19156"
"015086","Cormano","10188","10848","21036"
"015087","Cornaredo","10165","10581","20746"
"015093","Corsico","16807","18004","34811"
"015096","Cuggiono","4047","4151","8198"
"015097","Cusago","2414","2455","4869"
"015098","Cusano Milanino","9110","9884","18994"
"015099","Dairago","3105","3241","6346"
"015101","Dresano","1512","1542","3054"
"015103","Gaggiano","4652","4891","9543"
"015105","Garbagnate Milanese","13188","13876","27064"
"015106","Gessate","4574","4563","9137"
"015108","Gorgonzola","10389","11059","21448"
"015110","Grezzago","1645","1531","3176"
"015112","Gudo Visconti","775","833","1608"
"015113","Inveruno","4212","4356","8568"
"015114","Inzago","5671","5794","11465"
"015115","Lacchiarella","4498","4633","9131"
"015116","Lainate","13000","13457","26457"
"015118","Legnano","29550","31430","60980"
"015122","Liscate","2000","1931","3931"
"015125","Locate di Triulzi","5137","5223","10360"
"015130","Magenta","12243","12823","25066"
"015131","Magnago","4761","4786","9547"
"015134","Marcallo con Casone","3199","3204","6403"
"015136","Masate","1966","1951","3917"
"015139","Mediglia","6204","6169","12373"
"015140","Melegnano","8748","9421","18169"
"015142","Melzo","9027","9513","18540"
"015144","Mesero","2072","2062","4134"
"015146","Milano","663800","699063","1362863"
