"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"036001","Bastiglia","2116","2128","4244"
"036002","Bomporto","5246","5152","10398"
"036003","Campogalliano","4215","4301","8516"
"036004","Camposanto","1723","1674","3397"
"036005","Carpi","36732","37309","74041"
"036006","Castelfranco Emilia","17092","16533","33625"
"036007","Castelnuovo Rangone","7545","7571","15116"
"036008","Castelvetro di Modena","5559","5401","10960"
"036009","Cavezzo","3523","3713","7236"
"036010","Concordia sulla Secchia","4225","4316","8541"
"036011","Fanano","1475","1509","2984"
"036012","Finale Emilia","7773","7797","15570"
"036013","Fiorano Modenese","8252","8358","16610"
"036014","Fiumalbo","610","567","1177"
"036015","Formigine","17080","17416","34496"
"036016","Frassinoro","862","835","1697"
"036017","Guiglia","2224","2132","4356"
"036018","Lama Mocogno","1343","1336","2679"
"036019","Maranello","8668","8692","17360"
"036020","Marano sul Panaro","2630","2689","5319"
"036021","Medolla","3255","3276","6531"
"036022","Mirandola","12173","12748","24921"
"036023","Modena","90080","94281","184361"
"036024","Montecreto","509","442","951"
"036025","Montefiorino","1077","1042","2119"
"036026","Montese","1707","1667","3374"
"036027","Nonantola","8095","8091","16186"
"036028","Novi di Modena","5252","5161","10413"
"036029","Palagano","993","1041","2034"
"036030","Pavullo nel Frignano","9184","9221","18405"
"036031","Pievepelago","1044","1052","2096"
"036032","Polinago","832","772","1604"
"036033","Prignano sulla Secchia","1988","1910","3898"
"036034","Ravarino","3169","3219","6388"
"036035","Riolunato","345","312","657"
"036036","San Cesario sul Panaro","3368","3308","6676"
"036037","San Felice sul Panaro","5525","5524","11049"
"036038","San Possidonio","1795","1782","3577"
"036039","San Prospero","3184","3077","6261"
"036040","Sassuolo","20433","20690","41123"
"036041","Savignano sul Panaro","4761","4830","9591"
"036042","Serramazzoni","4611","4369","8980"
"036043","Sestola","1203","1198","2401"
"036044","Soliera","7686","7774","15460"
"036045","Spilamberto","6471","6497","12968"
"036046","Vignola","12958","13352","26310"
"036047","Zocca","2489","2357","4846"
