"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"108001","Agrate Brianza","7877","8014","15891"
"108002","Aicurzio","1014","1058","2072"
"108003","Albiate","3271","3449","6720"
"108004","Arcore","8739","9199","17938"
"108005","Barlassina","3452","3533","6985"
"108006","Bellusco","3699","3788","7487"
"108007","Bernareggio","5878","5828","11706"
"108008","Besana in Brianza","7663","7840","15503"
"108009","Biassono","6026","6404","12430"
"108010","Bovisio-Masciago","8258","8695","16953"
"108011","Briosco","3021","3110","6131"
"108012","Brugherio","17235","18236","35471"
"108013","Burago di Molgora","2138","2232","4370"
"108014","Camparada","1206","1055","2261"
"108015","Carate Brianza","8836","9218","18054"
"108016","Carnate","4031","3961","7992"
"108017","Cavenago di Brianza","3796","3794","7590"
"108018","Ceriano Laghetto","3285","3390","6675"
"108019","Cesano Maderno","20104","20073","40177"
"108020","Cogliate","4158","4311","8469"
"108021","Concorezzo","7924","8229","16153"
"108022","Correzzana","1644","1645","3289"
"108023","Desio","20683","21189","41872"
"108024","Giussano","13213","13296","26509"
"108025","Lazzate","3796","3926","7722"
"108026","Lesmo","4116","4260","8376"
"108027","Limbiate","17946","17919","35865"
"108028","Lissone","23047","23745","46792"
"108029","Macherio","3778","3804","7582"
"108030","Meda","11746","11989","23735"
"108031","Mezzago","2253","2226","4479"
"108032","Misinto","2886","2863","5749"
"108033","Monza","59781","63891","123672"
"108034","Muggiò","11511","12074","23585"
"108035","Nova Milanese","11291","11777","23068"
"108036","Ornago","2700","2787","5487"
"108037","Renate","2014","1969","3983"
"108038","Ronco Briantino","1910","1867","3777"
"108039","Seregno","21824","23416","45240"
"108040","Seveso","11802","12180","23982"
"108041","Sovico","4070","4243","8313"
"108042","Sulbiate","2301","2231","4532"
"108043","Triuggio","4412","4364","8776"
"108044","Usmate Velate","5338","5402","10740"
"108045","Varedo","6872","7167","14039"
"108046","Vedano al Lambro","3513","3850","7363"
"108047","Veduggio con Colzano","2095","2087","4182"
"108048","Verano Brianza","4525","4601","9126"
"108049","Villasanta","6910","7395","14305"
"108050","Vimercate","12832","13509","26341"
"108051","Busnago","3429","3453","6882"
"108052","Caponago","2523","2527","5050"
"108053","Cornate d'Adda","5607","5527","11134"
"108054","Lentate sul Seveso","8071","7978","16049"
"108055","Roncello","2382","2390","4772"
