"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"003001","Agrate Conturbia","811","768","1579"
"003002","Ameno","415","451","866"
"003006","Armeno","995","1094","2089"
"003008","Arona","6323","7309","13632"
"003012","Barengo","365","369","734"
"003016","Bellinzago Novarese","4656","4688","9344"
"003018","Biandrate","716","668","1384"
"003019","Boca","569","576","1145"
"003021","Bogogno","647","677","1324"
"003022","Bolzano Novarese","572","538","1110"
"003023","Borgolavezzaro","989","1036","2025"
"003024","Borgomanero","10190","11012","21202"
"003025","Borgo Ticino","2581","2564","5145"
"003026","Briga Novarese","1313","1417","2730"
"003027","Briona","540","589","1129"
"003030","Caltignaga","1230","1223","2453"
"003032","Cameri","5323","5544","10867"
"003036","Carpignano Sesia","1163","1294","2457"
"003037","Casalbeltrame","548","499","1047"
"003039","Casaleggio Novara","444","473","917"
"003040","Casalino","810","776","1586"
"003041","Casalvolone","460","428","888"
"003042","Castellazzo Novarese","165","166","331"
"003043","Castelletto sopra Ticino","4793","5041","9834"
"003044","Cavaglietto","198","189","387"
"003045","Cavaglio d'Agogna","559","584","1143"
"003047","Cavallirio","646","644","1290"
"003049","Cerano","3462","3533","6995"
"003051","Colazza","283","270","553"
"003052","Comignago","661","603","1264"
"003055","Cressa","759","800","1559"
"003058","Cureggio","1271","1348","2619"
"003060","Divignano","720","708","1428"
"003062","Dormelletto","1223","1333","2556"
"003065","Fara Novarese","1004","1005","2009"
"003066","Fontaneto d'Agogna","1323","1333","2656"
"003068","Galliate","7781","8103","15884"
"003069","Garbagna Novarese","688","709","1397"
"003070","Gargallo","856","895","1751"
"003073","Ghemme","1722","1707","3429"
"003076","Gozzano","2771","2693","5464"
"003077","Granozzo con Monticello","642","660","1302"
"003079","Grignasco","2089","2210","4299"
"003082","Invorio","2125","2165","4290"
"003083","Landiona","249","269","518"
"003084","Lesa","1065","1138","2203"
"003088","Maggiora","777","850","1627"
"003090","Mandello Vitta","109","104","213"
"003091","Marano Ticino","789","834","1623"
"003093","Massino Visconti","554","573","1127"
"003095","Meina","1095","1245","2340"
"003097","Mezzomerico","616","604","1220"
"003098","Miasino","380","425","805"
"003100","Momo","1169","1236","2405"
"003103","Nebbiuno","917","942","1859"
"003104","Nibbiola","417","416","833"
"003106","Novara","50565","52673","103238"
"003108","Oleggio","7043","7227","14270"
"003109","Oleggio Castello","1124","1101","2225"
"003112","Orta San Giulio","548","538","1086"
"003114","Paruzzaro","1027","1094","2121"
"003115","Pella","415","459","874"
"003116","Pettenasco","636","660","1296"
"003119","Pisano","379","415","794"
"003120","Pogno","673","692","1365"
"003121","Pombia","1073","1046","2119"
"003122","Prato Sesia","911","918","1829"
"003129","Recetto","552","477","1029"
"003130","Romagnano Sesia","1829","1930","3759"
"003131","Romentino","2794","2864","5658"
"003133","San Maurizio d'Opaglio","1400","1531","2931"
"003134","San Nazzaro Sesia","366","335","701"
"003135","San Pietro Mosezzo","1010","950","1960"
"003138","Sillavengo","293","283","576"
"003139","Sizzano","651","669","1320"
"003140","Soriso","347","375","722"
"003141","Sozzago","540","565","1105"
"003143","Suno","1310","1352","2662"
"003144","Terdobbiate","238","224","462"
"003146","Tornaco","430","446","876"
"003149","Trecate","10728","10577","21305"
"003153","Vaprio d'Agogna","475","477","952"
"003154","Varallo Pombia","2456","2567","5023"
"003158","Vespolate","1033","1047","2080"
"003159","Vicolungo","409","442","851"
"003164","Vinzaglio","302","262","564"
"003166","Gattico-Veruno","2580","2731","5311"
