Codice comune,Comune,Totale maschi,Totale femmine,Totale
114001,Aritzo,755,517,1272
114002,Atzara,495,479,974
114003,Austis,357,354,711
114005,Birori,233,248,481
114006,Bitti,1190,1286,2476
114007,Bolotana,1042,1202,2244
114008,Borore,940,962,1902
114009,Bortigali,578,640,1218
114010,Desulo,994,1001,1995
114011,Dorgali,4122,4116,8238
114012,Dualchi,268,291,559
114013,Fonni,1727,1825,3552
114014,Gadoni,307,331,638
114016,Gavoi,1180,1224,2404
114017,Irgoli,1098,1096,2194
114018,Lei,226,207,433
114019,Loculi,257,219,476
114021,Lodine,145,147,292
114022,Lula,609,589,1198
114023,Macomer,4407,4541,8948
114024,Mamoiada,1159,1190,2349
114025,Meana Sardo,762,756,1518
114026,Noragugume,128,141,269
114027,Nuoro,15684,17034,32718
114028,Oliena,3166,3239,6405
114029,Ollolai,563,566,1129
114030,Olzai,383,369,752
114032,Onifai,341,387,728
114033,Oniferi,417,406,823
114034,Orani,1280,1296,2576
114035,Orgosolo,1891,1912,3803
114036,Orosei,3450,3388,6838
114037,Orotelli,909,915,1824
114038,Ortueri,488,473,961
114039,Orune,1011,1011,2022
114040,Osidda,103,106,209
114041,Ottana,1073,1074,2147
114042,Ovodda,720,709,1429
114043,Posada,1561,1518,3079
114044,Sarule,702,748,1450
114045,Seulo,404,341,745
114046,Silanus,927,964,1891
114047,Sindia,748,810,1558
114048,Siniscola,5622,5517,11139
114049,Sorgono,723,711,1434
114050,Teti,301,260,561
114051,Tiana,210,208,418
114052,Tonara,957,849,1806
