Codice comune,Comune,Totale maschi,Totale femmine,Totale
116001,Arzana,1104,1095,2199
116002,Bari Sardo,1825,1945,3770
116003,Baunei,1656,1710,3366
116004,Cardedu,974,1028,2002
116005,Elini,271,284,555
116006,Gairo,626,646,1272
116007,Girasole,687,682,1369
116008,Ilbono,959,1007,1966
116009,Jerzu,1444,1468,2912
116010,Lanusei,2396,2485,4881
116011,Loceri,658,687,1345
116012,Lotzorai,1020,1102,2122
116013,Osini,360,321,681
116014,Perdasdefogu,864,825,1689
116023,Seui,587,550,1137
116015,Talana,437,476,913
116016,Tertenia,1911,1923,3834
116018,Triei,537,523,1060
116019,Ulassai,659,706,1365
116020,Urzulei,511,513,1024
116021,Ussassai,223,209,432
116022,Villagrande Strisaili,1415,1419,2834
