Codice comune,Comune,Totale maschi,Totale femmine,Totale
115001,Abbasanta,1244,1295,2539
115002,Aidomaggiore,185,189,374
115003,Albagiara,107,112,219
115004,Ales,625,604,1229
115005,Allai,170,163,333
115006,Arborea,1843,1858,3701
115007,Ardauli,350,388,738
115008,Assolo,168,153,321
115009,Asuni,148,147,295
115010,Baradili,40,40,80
115011,Baratili San Pietro,587,607,1194
115012,Baressa,263,265,528
115013,Bauladu,305,308,613
115015,Bonarcado,752,769,1521
115016,Boroneddu,61,74,135
115017,Bosa,3560,3732,7292
115018,Busachi,537,562,1099
115019,Cabras,4415,4311,8726
115020,Cuglieri,1206,1205,2411
115021,Curcuris,146,143,289
115022,Flussio,179,207,386
115023,Fordongianus,381,416,797
115024,Ghilarza,1917,2121,4038
115025,Gonnoscodina,221,200,421
115027,Gonnostramatza,380,397,777
115028,Laconi,786,803,1589
115029,Magomadas,304,290,594
115030,Marrubiu,2276,2223,4499
115031,Masullas,498,481,979
115032,Milis,712,682,1394
115033,Modolo,82,88,170
115034,Mogorella,198,190,388
115035,Mogoro,1886,1898,3784
115036,Montresta,218,216,434
115037,Morgongiori,302,295,597
115038,Narbolia,812,808,1620
115039,Neoneli,288,301,589
115040,Norbello,607,518,1125
115041,Nughedu Santa Vittoria,205,217,422
115042,Nurachi,821,839,1660
115043,Nureci,142,140,282
115044,Ollastra,536,531,1067
115045,Oristano,14157,15731,29888
115046,Palmas Arborea,736,758,1494
115047,Pau,133,138,271
115048,Paulilatino,1038,1000,2038
115049,Pompu,115,102,217
115050,Riola Sardo,1006,949,1955
115051,Ruinas,276,293,569
115052,Sagama,96,90,186
115053,Samugheo,1311,1325,2636
115055,San Vero Milis,1212,1202,2414
115056,Santa Giusta,2283,2275,4558
115057,Santu Lussurgiu,1084,1066,2150
115058,Scano di Montiferro,664,696,1360
115059,Sedilo,961,958,1919
115060,Seneghe,782,795,1577
115061,Senis,170,199,369
115062,Sennariolo,77,76,153
115063,Siamaggiore,421,427,848
115064,Siamanna,370,365,735
115065,Siapiccia,166,168,334
115066,Simala,140,141,281
115067,Simaxis,1065,1055,2120
115068,Sini,301,219,520
115069,Siris,127,100,227
115071,Solarussa,1098,1093,2191
115072,Sorradile,162,171,333
115073,Suni,465,503,968
115074,Tadasuni,67,58,125
115075,Terralba,4872,4678,9550
115076,Tinnura,119,123,242
115077,Tramatza,443,444,887
115078,Tresnuraghes,500,537,1037
115080,Uras,1269,1329,2598
115081,Usellus,339,325,664
115082,Villa Sant'Antonio,163,150,313
115083,Villa Verde,122,136,258
115084,Villanova Truschedu,133,150,283
115085,Villaurbana,722,717,1439
115086,Zeddiani,548,559,1107
115087,Zerfaliu,470,509,979
