"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"028001","Abano Terme","9805","10674","20479"
"028002","Agna","1554","1621","3175"
"028003","Albignasego","13369","14232","27601"
"028004","Anguillara Veneta","2039","2037","4076"
"028005","Arquà Petrarca","886","895","1781"
"028006","Arre","1046","1043","2089"
"028007","Arzergrande","2412","2429","4841"
"028008","Bagnoli di Sopra","1704","1657","3361"
"028009","Baone","1523","1501","3024"
"028010","Barbona","292","275","567"
"028011","Battaglia Terme","1930","1939","3869"
"028012","Boara Pisani","1201","1161","2362"
"028013","Borgoricco","4563","4521","9084"
"028014","Bovolenta","1712","1682","3394"
"028015","Brugine","3573","3605","7178"
"028016","Cadoneghe","7661","8102","15763"
"028017","Campodarsego","7492","7636","15128"
"028018","Campodoro","1424","1303","2727"
"028019","Camposampiero","5934","5944","11878"
"028020","Campo San Martino","2787","2760","5547"
"028021","Candiana","1115","1027","2142"
"028023","Carmignano di Brenta","3808","3738","7546"
"028026","Cartura","2285","2279","4564"
"028027","Casale di Scodosia","2329","2308","4637"
"028028","Casalserugo","2625","2668","5293"
"028029","Castelbaldo","715","728","1443"
"028030","Cervarese Santa Croce","2782","2775","5557"
"028031","Cinto Euganeo","964","920","1884"
"028032","Cittadella","9831","10216","20047"
"028033","Codevigo","3206","3074","6280"
"028034","Conselve","4893","5100","9993"
"028035","Correzzola","2694","2579","5273"
"028036","Curtarolo","3573","3577","7150"
"028037","Este","7667","8189","15856"
"028038","Fontaniva","4068","4026","8094"
"028039","Galliera Veneta","3604","3561","7165"
"028040","Galzignano Terme","2115","2156","4271"
"028041","Gazzo","2155","2140","4295"
"028042","Grantorto","2237","2198","4435"
"028043","Granze","913","960","1873"
"028044","Legnaro","4780","4784","9564"
"028045","Limena","4084","4153","8237"
"028046","Loreggia","3931","3794","7725"
"028047","Lozzo Atestino","1534","1542","3076"
"028048","Maserà di Padova","4621","4640","9261"
"028049","Masi","886","937","1823"
"028050","Massanzago","3111","3001","6112"
"028052","Megliadino San Vitale","913","908","1821"
"028053","Merlara","1246","1275","2521"
"028054","Mestrino","5904","6049","11953"
"028055","Monselice","8332","8710","17042"
"028056","Montagnana","4492","4701","9193"
"028057","Montegrotto Terme","5586","6042","11628"
"028058","Noventa Padovana","5548","5720","11268"
"028059","Ospedaletto Euganeo","2771","2807","5578"
"028060","Padova","100717","107485","208202"
"028061","Pernumia","1897","1857","3754"
"028062","Piacenza d'Adige","651","634","1285"
"028063","Piazzola sul Brenta","5522","5552","11074"
"028064","Piombino Dese","4838","4712","9550"
"028065","Piove di Sacco","9904","10387","20291"
"028066","Polverara","1672","1756","3428"
"028067","Ponso","1231","1184","2415"
"028068","Pontelongo","1867","1831","3698"
"028069","Ponte San Nicolò","6382","6768","13150"
"028070","Pozzonovo","1706","1749","3455"
"028071","Rovolon","2448","2415","4863"
"028072","Rubano","8352","8891","17243"
"028073","Saccolongo","2528","2501","5029"
"028075","San Giorgio delle Pertiche","5074","5018","10092"
"028076","San Giorgio in Bosco","3192","3115","6307"
"028077","San Martino di Lupari","6630","6689","13319"
"028078","San Pietro in Gu","2031","2076","4107"
"028079","San Pietro Viminario","1508","1474","2982"
"028080","Santa Giustina in Colle","3621","3518","7139"
"028082","Sant'Angelo di Piove di Sacco","3632","3715","7347"
"028083","Sant'Elena","1225","1289","2514"
"028084","Sant'Urbano","969","945","1914"
"028085","Saonara","5389","5488","10877"
"028086","Selvazzano Dentro","11074","11857","22931"
"028087","Solesino","3355","3357","6712"
"028088","Stanghella","2065","2100","4165"
"028089","Teolo","4392","4538","8930"
"028090","Terrassa Padovana","1391","1325","2716"
"028091","Tombolo","4059","4125","8184"
"028092","Torreglia","3008","3021","6029"
"028093","Trebaseleghe","6524","6444","12968"
"028094","Tribano","2152","2067","4219"
"028095","Urbana","1030","986","2016"
"028096","Veggiano","2446","2366","4812"
"028097","Vescovana","835","811","1646"
"028099","Vigodarzere","6558","6723","13281"
"028100","Vigonza","11552","11913","23465"
"028101","Villa del Conte","2858","2759","5617"
"028102","Villa Estense","1034","987","2021"
"028103","Villafranca Padovana","5195","5385","10580"
"028104","Villanova di Camposampiero","3071","3069","6140"
"028105","Vo'","1606","1605","3211"
"028106","Due Carrare","4498","4476","8974"
"028107","Borgo Veneto","3565","3480","7045"
"028108","Santa Caterina d'Este","1175","1144","2319"
