"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"082001","Alia","1526","1612","3138"
"082002","Alimena","849","973","1822"
"082003","Aliminusa","501","504","1005"
"082004","Altavilla Milicia","4550","4505","9055"
"082005","Altofonte","4746","4996","9742"
"082006","Bagheria","25946","27206","53152"
"082007","Balestrate","3046","3333","6379"
"082008","Baucina","912","926","1838"
"082009","Belmonte Mezzagno","5222","5456","10678"
"082010","Bisacquino","1950","1988","3938"
"082011","Bolognetta","2012","2062","4074"
"082012","Bompietro","544","596","1140"
"082013","Borgetto","3550","3617","7167"
"082014","Caccamo","3713","3816","7529"
"082015","Caltavuturo","1629","1694","3323"
"082016","Campofelice di Fitalia","217","194","411"
"082017","Campofelice di Roccella","3881","3989","7870"
"082018","Campofiorito","554","559","1113"
"082019","Camporeale","1404","1438","2842"
"082020","Capaci","5663","5819","11482"
"082021","Carini","20510","20624","41134"
"082022","Castelbuono","3847","4024","7871"
"082023","Casteldaccia","5805","5973","11778"
"082024","Castellana Sicula","1373","1512","2885"
"082025","Castronovo di Sicilia","1316","1413","2729"
"082026","Cefalà Diana","476","486","962"
"082027","Cefalù","6705","7141","13846"
"082028","Cerda","2344","2427","4771"
"082029","Chiusa Sclafani","1130","1248","2378"
"082030","Ciminna","1595","1724","3319"
"082031","Cinisi","5984","6217","12201"
"082032","Collesano","1736","1873","3609"
"082033","Contessa Entellina","706","731","1437"
"082034","Corleone","5046","5116","10162"
"082035","Ficarazzi","6310","6603","12913"
"082036","Gangi","2838","3080","5918"
"082037","Geraci Siculo","827","809","1636"
"082038","Giardinello","1131","1098","2229"
"082039","Giuliana","823","803","1626"
"082040","Godrano","493","488","981"
"082041","Gratteri","421","432","853"
"082042","Isnello","752","641","1393"
"082043","Isola delle Femmine","3390","3573","6963"
"082044","Lascari","1870","1899","3769"
"082045","Lercara Friddi","2858","3184","6042"
"082046","Marineo","2903","3041","5944"
"082047","Mezzojuso","1226","1273","2499"
"082048","Misilmeri","14466","14731","29197"
"082049","Monreale","19163","19681","38844"
"082050","Montelepre","2729","2924","5653"
"082051","Montemaggiore Belsito","1296","1449","2745"
"082052","Palazzo Adriano","837","857","1694"
"082053","Palermo","299720","326553","626273"
"082054","Partinico","15369","15560","30929"
"082055","Petralia Soprana","1380","1427","2807"
"082056","Petralia Sottana","1097","1252","2349"
"082057","Piana degli Albanesi","2517","2654","5171"
"082058","Polizzi Generosa","1337","1408","2745"
"082059","Pollina","1385","1422","2807"
"082060","Prizzi","1927","2072","3999"
"082061","Roccamena","622","661","1283"
"082062","Roccapalumba","1039","1080","2119"
"082063","San Cipirello","2321","2466","4787"
"082064","San Giuseppe Jato","3838","4048","7886"
"082065","San Mauro Castelverde","638","641","1279"
"082066","Santa Cristina Gela","518","488","1006"
"082067","Santa Flavia","5399","5584","10983"
"082068","Sciara","1192","1232","2424"
"082069","Sclafani Bagni","170","174","344"
"082070","Termini Imerese","12018","12607","24625"
"082071","Terrasini","6490","6636","13126"
"082072","Torretta","2185","2255","4440"
"082073","Trabia","5483","5361","10844"
"082074","Trappeto","1538","1605","3143"
"082075","Ustica","674","649","1323"
"082076","Valledolmo","1460","1591","3051"
"082077","Ventimiglia di Sicilia","830","878","1708"
"082078","Vicari","1128","1219","2347"
"082079","Villabate","9457","9923","19380"
"082080","Villafrati","1490","1574","3064"
"082081","Scillato","264","300","564"
"082082","Blufi","394","428","822"
